match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,captain,stat_outfielderBlock,stat_fouls,stat_wonContest,stat_blockedScoringAttempt,stat_lastManTackle,stat_penaltyConceded,stat_expectedGoals,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_punches,stat_totalOffside,stat_penaltyMiss,stat_penaltyWon
11392817,home,Stade Brestois,Marco Bizot,marco-bizot,M. Bizot,G,40,194,898,M,100390,EUR,668563200,G,40,40,False,30.0,18.0,23.0,11.0,11.0,14.0,7.0,16.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,7.0,2.0,2.0,90.0,39.0,7.8,12.0,0.00181767,0,-0.1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392817,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,27,27,False,39.0,35.0,7.0,7.0,17.0,19.0,20.0,23.0,,3.0,1.0,3.0,,,,,,,,90.0,63.0,6.5,11.0,0.360021,0,,1.0,3.0,2.0,7.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11392817,home,Stade Brestois,Brendan Chardonnet,brendan-chardonnet,B. Chardonnet,D,5,181,234,M,328035,EUR,788054400,D,5,5,False,29.0,19.0,3.0,1.0,13.0,16.0,6.0,13.0,2.0,4.0,2.0,6.0,,,,,,,,90.0,41.0,6.5,11.0,0.00307174,0,,,,,3.0,1.0,1.0,,,2.0,2.0,2.0,,1.0,,,,True,1.0,1.0,,,,,,,,,,,,,,,,,
11392817,home,Stade Brestois,Lilian Brassier,lilian-brassier,L. Brassier,D,3,184,576,M,988907,EUR,941500800,D,3,3,False,46.0,35.0,11.0,6.0,20.0,21.0,16.0,26.0,,3.0,,10.0,,,,,,,,90.0,60.0,7.1,11.0,0.0556814,1,,,1.0,1.0,4.0,1.0,,1.0,,5.0,2.0,2.0,,,1.0,,,,3.0,3.0,1.0,1.0,1.0,1.0,0.0157,,,,,,,,,,,,
11392817,home,Stade Brestois,Bradley Locko,bradley-locko,B. Locko,D,2,180,637,M,1129382,EUR,1020643200,D,2,2,False,32.0,26.0,5.0,2.0,9.0,9.0,18.0,25.0,1.0,5.0,,7.0,,,,,,,,90.0,53.0,6.5,13.0,0.0523046,0,,,2.0,1.0,5.0,,1.0,4.0,,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,
11392817,home,Stade Brestois,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,20,20,False,50.0,43.0,9.0,6.0,18.0,22.0,25.0,30.0,,3.0,1.0,12.0,,,,,,,,90.0,71.0,6.9,12.0,0.101253,4,,,2.0,,4.0,2.0,1.0,,,2.0,2.0,2.0,2.0,1.0,,,,,,1.0,,2.0,,,0.1151,,1.0,1.0,1.0,0.2109,,,,,,,
11392817,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,20.0,16.0,1.0,,9.0,9.0,8.0,12.0,1.0,3.0,,4.0,,,,,,,,65.0,29.0,6.9,5.0,0.60273,0,,,1.0,1.0,6.0,2.0,,2.0,1.0,2.0,1.0,1.0,,,3.0,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,
11392817,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,M,10,10,False,37.0,30.0,1.0,1.0,10.0,10.0,25.0,42.0,1.0,6.0,,8.0,,,,,,,,83.0,80.0,7.2,30.0,0.247173,0,,1.0,15.0,5.0,13.0,1.0,2.0,11.0,,1.0,1.0,1.0,2.0,2.0,7.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,
11392817,home,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,964,M,916041,EUR,899164800,M,45,45,False,27.0,25.0,,,10.0,10.0,16.0,19.0,1.0,5.0,1.0,,,,,,,,,71.0,39.0,6.9,5.0,0.0782788,1,,,2.0,1.0,4.0,,,5.0,,1.0,1.0,1.0,,,2.0,,,,,1.0,3.0,,,,0.0273,1.0,1.0,,,,,,,,,,
11392817,home,Stade Brestois,Jérémy Le Douaron,jeremy-le-douaron,J. Le Douaron,F,21,189,290,M,1047296,EUR,893116800,M,22,22,False,12.0,7.0,,,3.0,3.0,4.0,11.0,2.0,3.0,1.0,,,,,,,,,71.0,26.0,6.7,11.0,0.00387939,4,,,2.0,,12.0,1.0,2.0,2.0,,,,,,1.0,,,,,,2.0,,,,,0.5534,5.0,2.0,2.0,,1.1235,1.0,1.0,,,,,
