match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,player_sofascoreId,stat_errorLeadToAShot,stat_totalOffside,stat_wonContest,stat_bigChanceMissed,stat_bigChanceCreated,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded
12451063,home,Le Havre,Arthur Desmas,arthur-desmas,A. Desmas,G,16,196,105,M,798306,EUR,765676800,G,30,30,False,21.0,18.0,11.0,8.0,0.0,13.0,13.0,5.0,8.0,1.0,1.0,5.0,1.0,1.0,1.0,90.0,27.0,7.3,3.0,0.00227177,0,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451063,home,Le Havre,Yoann Salmier,yoann-salmier,Y. Salmier,D,21,188,61,M,785518,EUR,722304000,D,22,22,False,54.0,43.0,4.0,3.0,0.0,27.0,31.0,16.0,24.0,1.0,4.0,4.0,,,,90.0,61.0,7.1,12.0,0.0114907,0,,1.0,4.0,4.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451063,home,Le Havre,Étienne Youte Kinkoue,etienne-youte-kinkoue,É. Y. Kinkoue,D,6,195,254,M,980406,EUR,1010966400,D,6,6,False,52.0,47.0,4.0,2.0,0.0,24.0,26.0,23.0,26.0,1.0,1.0,3.0,,,,90.0,67.0,7.8,5.0,0.00759074,1,,,,,3.0,,,,,,1.0,9.0,2.0,0.0407,,,,,,,,,,,,,,,,,,,,,,
12451063,home,Le Havre,Gautier Lloris,gautier-lloris,G. Lloris,D,4,188,195,M,287887,EUR,806025600,D,4,4,False,62.0,53.0,12.0,5.0,0.0,28.0,33.0,25.0,29.0,2.0,5.0,4.0,,,,90.0,80.0,7.4,11.0,0.0146319,0,,,1.0,3.0,,2.0,2.0,1.0,,,,7.0,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12451063,home,Le Havre,Abdoulaye Touré,abdoulaye-toure,A. Touré,M,94,187,3161,M,149732,EUR,762652800,M,94,94,False,47.0,39.0,3.0,,0.0,19.0,21.0,21.0,27.0,3.0,7.0,4.0,,,,90.0,68.0,7.7,10.0,0.0391044,4,,1.0,,2.0,1.0,2.0,2.0,1.0,,,2.0,2.0,,0.8585,,,2.0,,True,1.0,1.0,1.0,1.0,1.0,0.9869,,,,,,,,,,,
12451063,home,Le Havre,Loic Négo,loic-nego,L. Négo,D,7,179,819,M,54308,EUR,663897600,M,7,7,False,26.0,20.0,,,0.0,8.0,9.0,12.0,18.0,2.0,2.0,2.0,,,,90.0,40.0,6.9,8.0,0.0187637,0,,1.0,,2.0,,,,1.0,,,,4.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
12451063,home,Le Havre,Rassoul Ndiaye,rassoul-ndiaye,R. Ndiaye,M,14,179,1884,M,992026,EUR,1008028800,M,19,19,False,28.0,23.0,2.0,2.0,0.0,7.0,9.0,16.0,20.0,2.0,5.0,3.0,,,,68.0,37.0,7.2,7.0,0.014291,2,,1.0,,1.0,,2.0,2.0,,,,,,,0.0744,,,1.0,,,,,1.0,1.0,,0.0749,1.0,,,,,,,,,,
12451063,home,Le Havre,Oussama Targhalline,oussama-targhalline,O. Targhalline,M,28,186,7779,M,1095731,EUR,1021852800,M,5,5,False,34.0,28.0,,,0.0,15.0,16.0,13.0,21.0,,4.0,4.0,,,,81.0,53.0,6.9,16.0,0.378067,0,,3.0,,4.0,1.0,1.0,1.0,,Oussama Targhalline,,,1.0,1.0,,1.0,4.0,3.0,1.0,,,2.0,,,,,1.0,targhaoussama,1.0,2.0,,,,,,,
12451063,home,Le Havre,Yanis Zouaoui,yanis-zouaoui,Y. Zouaoui,D,18,183,294,M,1397882,EUR,893721600,M,18,18,False,35.0,23.0,5.0,,0.0,10.0,17.0,17.0,25.0,,4.0,7.0,,,,90.0,73.0,7.1,22.0,0.0908602,0,,7.0,,6.0,,2.0,2.0,3.0,Yanis Zouaoui,,,1.0,2.0,,,2.0,1.0,2.0,,4.0,2.0,,,,,2.0,,,,1.0,,,,,,
12451063,home,Le Havre,André Ayew,andre-ayew,A. Ayew,F,24,176,5860,M,27035,EUR,629856000,F,28,28,False,29.0,18.0,,,0.0,3.0,5.0,15.0,24.0,10.0,13.0,3.0,,,,90.0,44.0,7.2,16.0,0.0177896,2,,,5.0,10.0,,1.0,1.0,,,,1.0,1.0,,0.1623,1.0,1.0,,1.0,,,3.0,1.0,,,,3.0,andreayew10,,,2.0,,,,,,
