match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_challengeLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_accurateCross,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside
13981422,home,Genoa,Nicola Leali,nicola-leali,N. Leali,G,1,193,635,M,98059,EUR,729907200,G,1,1,False,33.0,14.0,20.0,2.0,0.0,13.0,18.0,1.0,15.0,1.0,8.0,1.0,1.0,1.0,90.0,40.0,6.2,19.0,0.00022094,0,-0.06,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,home,Genoa,Brooke Norton-Cuffy,brooke-norton-cuffy,B. Norton-Cuffy,D,15,181,1189,M,1087514,EUR,1073865600,D,15,15,False,40.0,31.0,4.0,2.0,0.0,23.0,25.0,8.0,15.0,4.0,,,,,90.0,61.0,7.2,11.0,0.00218348,0,-0.01,0.01,0.25,,,1.0,2.0,2.0,6.0,1.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,home,Genoa,Alessandro Marcandalli,alessandro-marcandalli,A. Marcandalli,D,27,190,311,M,1068885,EUR,1035504000,D,27,27,False,43.0,38.0,1.0,,0.0,37.0,39.0,1.0,4.0,3.0,5.0,,,,90.0,49.0,6.7,6.0,0.00088123,0,-0.03,0.02,0.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,D,22,22,False,78.0,67.0,7.0,1.0,0.0,57.0,63.0,10.0,15.0,6.0,5.0,,,,90.0,90.0,7.1,12.0,0.00302452,0,-0.03,0.14,0.36,,,2.0,3.0,3.0,5.0,,1.0,,,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
13981422,home,Genoa,Aarón Martín,aaron-martin,A. Martín,D,3,180,1144,M,797286,EUR,861667200,D,3,3,False,49.0,43.0,6.0,3.0,0.0,29.0,32.0,14.0,17.0,1.0,3.0,,,,90.0,64.0,6.9,11.0,0.0121818,1,0.16,0.08,0.15,,,,,2.0,3.0,,2.0,2.0,2.0,2.0,,1.0,1.0,,2.0,1.0,0.0306,0.0451,-0.12,,,,,,,,,,,,,,,,,
13981422,home,Genoa,Patrizio Masini,patrizio-masini,P. Masini,M,73,182,291,M,970998,EUR,980553600,M,73,73,False,45.0,32.0,6.0,2.0,0.0,24.0,29.0,8.0,16.0,3.0,9.0,,,,90.0,68.0,7.4,16.0,0.00824931,0,0.1,-0.03,0.31,,,4.0,3.0,7.0,13.0,1.0,6.0,3.0,1.0,2.0,,,,1.0,,,,,,2.0,4.0,,,,,,,,,,,,,,,
13981422,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,39.0,32.0,2.0,2.0,0.0,20.0,23.0,12.0,16.0,4.0,2.0,,,,87.0,54.0,7.4,10.0,0.0727824,0,0.12,0.08,0.25,,,,2.0,3.0,8.0,1.0,5.0,5.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
13981422,home,Genoa,Valentín Carboni,valentin-carboni,V. Carboni,M,21,185,7112,M,1153083,EUR,1109980800,M,23,23,False,18.0,11.0,1.0,,0.0,7.0,8.0,4.0,10.0,,5.0,,,,73.0,31.0,7.3,12.0,0.00530144,1,0.12,0.02,0.22,,,,,3.0,5.0,,2.0,2.0,2.0,1.0,,2.0,2.0,,1.0,1.0,0.1268,0.6592,0.27,1.0,1.0,,valencarboni,1.0,,,,,,,,,,,,
13981422,home,Genoa,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171,4030,M,108673,EUR,736732800,M,8,8,False,45.0,32.0,5.0,3.0,0.0,18.0,22.0,14.0,23.0,2.0,5.0,,,,87.0,63.0,7.0,20.0,0.02414,3,0.19,0.21,0.18,,,,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,,1.0,,,4.0,,0.3427,,-0.44,,,,,,2.0,1.0,,,,,,,,,,
13981422,home,Genoa,Albert Grønbæk,albert-gronbaek,A. Grønbæk,M,11,176,1696,M,1000263,EUR,990576000,M,11,11,False,12.0,9.0,,,0.0,3.0,4.0,6.0,8.0,,1.0,,,,60.0,28.0,7.0,12.0,0.0799859,0,0.19,0.16,-0.01,,,,1.0,2.0,4.0,,,,5.0,,,3.0,2.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,
