match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,player_id,player_name,playerName,reason,rescinded,from
10388493,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10388493,,,,,90,3.0,,1,,,substitution,121529041.0,False,True,regular,,,,,,,
10388493,,,,,90,0.0,,1,,,injuryTime,,,,,4.0,,,,,,
10388493,,3.0,1.0,,85,,,6,,,goal,167888707.0,,True,regular,,576266.0,Philipp Lienhart,,,,
10388493,,,,,82,,,9,,,substitution,121528949.0,False,True,regular,,,,,,,
10388493,,,,,82,,,9,,,substitution,121528948.0,False,True,regular,,,,,,,
10388493,,,,,79,,,12,,,card,120601062.0,,True,yellow,,1131338.0,Robert Wagner,Robert Wagner,Time wasting,False,
10388493,,,,,76,,,15,,,substitution,121528920.0,False,True,regular,,,,,,,
10388493,,,,,75,,,16,,,substitution,121528919.0,False,True,regular,,,,,,,
10388493,,,,,75,,,16,,,card,120601050.0,,True,yellow,,569784.0,Maximilian Eggestein,Maximilian Eggestein,Foul,False,
10388493,,,,,69,,,22,,,substitution,121528877.0,False,False,regular,,,,,,,
10388493,,,,,69,,,22,,,substitution,121528876.0,False,False,regular,,,,,,,
10388493,,,,,68,,,23,,,card,120601027.0,,False,yellow,,878081.0,Ermedin Demirović,Ermedin Demirović,Argument,False,
10388493,,,,,62,,,29,,,substitution,121528853.0,False,False,regular,,,,,,,
10388493,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10388493,,,,,45,0.0,,1,,,injuryTime,,,,,2.0,,,,,,
10388493,,,,,37,,,9,,,card,120600824.0,,True,yellow,,576266.0,Philipp Lienhart,Philipp Lienhart,Foul,False,
10388493,,,,,36,,,10,,,card,120600825.0,,False,yellow,,770083.0,Mergim Berisha,Mergim Berisha,Foul,False,
10388493,,2.0,1.0,,30,,,16,,,goal,167887216.0,,True,regular,,280009.0,Lucas Höler,,,,
10388493,,1.0,1.0,,29,,,17,,,goal,167887197.0,,False,penalty,,770083.0,Mergim Berisha,,,,penalty
10388493,,1.0,0.0,,13,,,33,,,goal,167887021.0,,True,regular,,111483.0,Michael Gregoritsch,,,,
10388493,,,,,7,,,39,,,card,120600697.0,,False,yellow,,792142.0,Felix Uduokhai,Felix Uduokhai,Foul,False,
