match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_wasFouled,stat_totalCross,stat_totalContest,stat_unsuccessfulTouch,stat_accurateCross,stat_wonContest,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_bigChanceMissed
11407483,home,Roma,Rui Patrício,rui-patricio,R. Patrício,G,190,3199,M,rpatricio1,17737,EUR,571881600,G,1,1,False,33.0,20.0,23.0,10.0,13.0,17.0,7.0,16.0,9.0,2.0,5.0,7.0,90.0,44.0,8.3,13.0,0.0019602,0,1.1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407483,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,190,4038,M,,611210,EUR,829699200,D,23,23,False,38.0,27.0,7.0,,21.0,24.0,6.0,14.0,2.0,,,,90.0,53.0,6.7,12.0,0.00253342,0,,23,3.0,2.0,7.0,5.0,1.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11407483,home,Roma,Diego Llorente,diego-llorente,D. Llorente,D,185,1146,M,,305278,EUR,745459200,D,14,14,False,20.0,16.0,4.0,1.0,15.0,19.0,1.0,1.0,1.0,,,,90.0,35.0,6.6,4.0,0.00227373,0,,3,,1.0,3.0,3.0,2.0,,10.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11407483,home,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,190,9220,M,evanndicka,848287,EUR,935107200,D,5,5,False,27.0,23.0,7.0,3.0,22.0,23.0,1.0,4.0,,,,,90.0,31.0,6.5,4.0,0.00023517,0,,5,3.0,2.0,3.0,3.0,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
11407483,home,Roma,Rasmus Kristensen,rasmus-kristensen,R. Kristensen,D,186,1609,M,,921789,EUR,868579200,M,43,43,False,29.0,19.0,3.0,1.0,9.0,17.0,10.0,13.0,3.0,,,,90.0,46.0,6.6,13.0,0.01561,0,,13,1.0,1.0,4.0,5.0,1.0,,2.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11407483,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,186,2731,M,,186855,EUR,794188800,M,4,4,False,40.0,27.0,4.0,2.0,17.0,21.0,11.0,21.0,10.0,,,,90.0,51.0,7.1,14.0,0.132537,0,,4,4.0,4.0,5.0,8.0,,,2.0,,,3.0,2.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
11407483,home,Roma,Leandro Paredes,leandro-paredes,L. Paredes,M,180,25603,M,LeoParedes,255389,EUR,772848000,M,16,16,False,29.0,23.0,6.0,3.0,14.0,17.0,9.0,13.0,6.0,,,,90.0,40.0,6.8,8.0,0.0025799,1,,5,,,2.0,3.0,,,1.0,,2.0,2.0,2.0,2.0,,,1.0,1.0,,1.0,,,,1.0,0.0203,,,,,,,,,,
11407483,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,186,5687,M,lorepelle7,555540,EUR,835142400,M,7,7,False,24.0,21.0,2.0,1.0,15.0,17.0,6.0,7.0,5.0,,,,85.0,39.0,6.8,6.0,0.00316437,0,,7,,,1.0,5.0,1.0,,3.0,,2.0,1.0,,,,,3.0,,1.0,3.0,,1.0,,,,True,1.0,,,,,,,,
11407483,home,Roma,Nicola Zalewski,nicola-zalewski,N. Zalewski,M,175,16244,M,nico_zale,984184,EUR,1011744000,M,59,59,False,21.0,18.0,3.0,1.0,15.0,15.0,3.0,7.0,5.0,,,,64.0,40.0,5.9,9.0,0.125199,0,,59,,1.0,11.0,7.0,5.0,1.0,2.0,,,4.0,3.0,3.0,,,1.0,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,
11407483,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,177,117714,M,LaJoya,256219,EUR,753321600,F,21,21,False,11.0,8.0,4.0,2.0,1.0,1.0,8.0,11.0,2.0,,,,25.0,20.0,7.2,5.0,0.229206,1,,21,,,3.0,2.0,,,,,,,,2.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,,0.2288,,,1.0,1.0,1.0,,,,,
11407483,home,Roma,Romelu Lukaku,romelu-lukaku,R. Lukaku,F,191,56823,M,RLukaku,78893,EUR,737251200,F,90,90,False,27.0,19.0,2.0,,10.0,12.0,9.0,15.0,6.0,,,,87.0,37.0,6.8,11.0,0.0492772,1,,9,2.0,1.0,7.0,2.0,,3.0,,,,,,2.0,,,1.0,,,,,,,,0.2917,,,,,,1.0,1.0,0.1989,,
11407483,home,Roma,Sardar Azmoun,sardar-azmoun,S. Azmoun,F,186,7717,M,sardarazmoun,150998,EUR,788918400,F,17,17,True,15.0,12.0,,,9.0,11.0,3.0,4.0,3.0,,,,37.0,19.0,6.7,4.0,0.00068501,1,,20,1.0,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,0.1239,,,,,1.0,,,,,
11407483,home,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,178,5712,M,stewel92,45925,EUR,720144000,F,92,92,True,3.0,1.0,1.0,,1.0,2.0,,1.0,2.0,,,,28.0,8.0,6.5,3.0,2.85e-06,0,,22,,,1.0,1.0,,,1.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
11407483,home,Roma,Edoardo Bove,edoardo-bove,E. Bove,M,181,2073,M,,986352,EUR,1021507200,M,52,52,True,,,,,,,,,,,,,13.0,,6.5,,,0,,15,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407483,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,189,4489,M,,793986,EUR,935712000,G,99,99,True,,,,,,,,,,,,,,,,,,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407483,home,Roma,Pietro Boer,pietro-boer,P. Boer,G,195,243,M,,1008563,EUR,1021161600,G,63,63,True,,,,,,,,,,,,,,,,,,0,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407483,home,Roma,Rick Karsdorp,rick-karsdorp,R. Karsdorp,D,182,705,M,,363792,EUR,792460800,D,2,2,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
