match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_penaltyConceded,stat_expectedGoalsOnTarget,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_outfielderBlock,stat_hitWoodwork,stat_punches,stat_totalKeeperSweeper,stat_ownGoals,stat_penaltyWon,stat_penaltyMiss
12117304,home,Grêmio,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188,1568,M,47339,EUR,574473600,G,1,1,False,21.0,12.0,14.0,5.0,0.0,9.0,11.0,3.0,10.0,8.0,1.0,2.0,1.0,1.0,3.0,90.0,31.0,7.2,9.0,0.00047781,0,-0.7503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117304,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,D,18,18,False,71.0,64.0,4.0,1.0,0.0,25.0,26.0,39.0,45.0,3.0,,,,,,90.0,87.0,7.1,12.0,0.0604837,1,,1.0,2.0,4.0,6.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0203,1.0,,,,,,,,,,,,,,,,,,,,,,,
12117304,home,Grêmio,Pedro Geromel,pedro-geromel,P. Geromel,D,3,190,681,M,13338,EUR,496108800,D,3,3,False,51.0,46.0,5.0,2.0,0.0,39.0,42.0,7.0,9.0,7.0,,,,,,76.0,61.0,6.8,5.0,0.00173341,1,,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,,,1.0,0.0217,,,,True,,,,,,,,,,,,,,,,,,,,
12117304,home,Grêmio,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,865,M,168745,EUR,752284800,D,5,5,False,24.0,18.0,4.0,3.0,0.0,16.0,19.0,2.0,5.0,,,,,,,45.0,33.0,6.8,6.0,0.00085712,0,,2.0,3.0,4.0,3.0,,,,5.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
12117304,home,Grêmio,Reinaldo,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,D,6,6,False,38.0,34.0,5.0,4.0,0.0,15.0,15.0,21.0,28.0,5.0,,,,,,90.0,67.0,7.2,9.0,0.116713,1,,2.0,,3.0,6.0,1.0,1.0,,,2.0,4.0,2.0,1.0,1.0,1.0,0.0337,3.0,,,,5.0,2.0,1.0,1.0,0.0423,,,,,,,,,,,,,,,
12117304,home,Grêmio,Dodi,dodi,Dodi,M,17,169,1040,M,870804,EUR,829699200,M,17,17,False,39.0,35.0,2.0,1.0,0.0,19.0,22.0,16.0,17.0,1.0,,,,,,90.0,50.0,6.9,4.0,0.00593385,0,,2.0,1.0,3.0,7.0,,,,2.0,1.0,5.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12117304,home,Grêmio,Pepê,pepe,Pepê,M,6,183,730,M,946945,EUR,884044800,M,23,23,False,11.0,10.0,,,0.0,7.0,7.0,3.0,4.0,4.0,,,,,,54.0,21.0,6.1,4.0,0.00233187,0,,,,7.0,2.0,,,,2.0,1.0,,,1.0,2.0,2.0,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,
12117304,home,Grêmio,Edenilson,edenilson,Edenilson,M,8,175,1388,M,221636,EUR,629942400,M,15,15,False,24.0,18.0,3.0,2.0,0.0,4.0,4.0,14.0,21.0,2.0,,,,,,53.0,36.0,6.5,10.0,0.0255436,0,,1.0,,6.0,4.0,2.0,,,,2.0,3.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
12117304,home,Grêmio,Franco Cristaldo,franco-cristaldo,F. Cristaldo,M,10,175,2295,M,558820,EUR,840067200,M,10,10,False,51.0,44.0,4.0,2.0,0.0,15.0,16.0,30.0,41.0,4.0,,,,,,90.0,75.0,7.3,19.0,0.321137,2,,1.0,1.0,8.0,3.0,4.0,1.0,1.0,,2.0,1.0,1.0,3.0,,2.0,0.063,2.0,,,,6.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12117304,home,Grêmio,Martin Braithwaite,martin-braithwaite,M. Braithwaite,F,22,180,6777,M,66471,EUR,676080000,F,22,22,False,14.0,13.0,1.0,1.0,0.0,4.0,5.0,9.0,9.0,2.0,,,,,,90.0,24.0,7.3,3.0,0.035148,4,,3.0,4.0,5.0,6.0,,,1.0,,,2.0,2.0,1.0,,1.0,0.3775,,,,,,,2.0,,0.3549,1.0,,,1.0,,braithwaite,1.0,1.0,,,,,,,
