match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_interceptionWon,stat_totalCross,stat_aerialLost,stat_outfielderBlock,stat_totalTackle,stat_fouls,stat_clearanceOffLine,stat_keyPass,stat_wonTackle,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalOffside,player_sofascoreId,captain,stat_shotOffTarget,stat_goals,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_accurateCross,stat_penaltyConceded
14109673,home,Kocaelispor,Aleksandar Jovanović,,,aleksandar-jovanovic,A. Jovanović,G,1,191,617,M,800971,EUR,723600000,G,1,1,False,21.0,15.0,11.0,5.0,0.0,11.0,11.0,4.0,10.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,90.0,32.0,8.2,7.0,0.00152481,0.2525,0,0.3616,0.05,-0.02,0.22,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109673,home,Kocaelispor,Anfernee Dijksteel,,,anfernee-dijksteel,A. Dijksteel,D,2,183,244,M,869199,EUR,846374400,D,2,2,False,24.0,23.0,2.0,2.0,0.0,13.0,14.0,10.0,10.0,3.0,7.0,3.0,,,,,,90.0,45.0,7.1,5.0,0.0046541,,0,,0.09,0.06,0.29,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14109673,home,Kocaelispor,Botond Balogh,,,botond-balogh,B. Balogh,D,5,189,1287,M,983510,EUR,1023321600,D,5,5,False,42.0,35.0,13.0,8.0,0.0,27.0,28.0,8.0,14.0,6.0,8.0,4.0,2.0,,,,,90.0,54.0,7.6,8.0,0.00789096,,0,,0.13,0.03,0.26,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14109673,home,Kocaelispor,Hrvoje Smolčić,,,hrvoje-smolcic,H. Smolčić,D,6,181,720,M,974582,EUR,966470400,D,6,6,False,36.0,32.0,3.0,,0.0,21.0,22.0,11.0,14.0,2.0,6.0,,,,,,,61.0,52.0,6.9,7.0,0.00235106,,0,,0.04,0.03,0.43,,1.0,4.0,1.0,,,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14109673,home,Kocaelispor,Massadio Haïdara,,,massadio-haidara,M. Haïdara,D,21,179,604,M,143344,EUR,723254400,D,21,21,False,20.0,17.0,,,0.0,8.0,9.0,9.0,11.0,2.0,4.0,2.0,,,,,,77.0,39.0,7.4,6.0,0.00772438,,0,,0.0,0.04,0.38,,1.0,2.0,,,,1.0,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14109673,home,Kocaelispor,Show,,,show,Show,M,14,180,737,M,933115,EUR,920678400,M,14,14,False,30.0,26.0,5.0,3.0,0.0,19.0,20.0,7.0,10.0,2.0,3.0,6.0,1.0,,,,,90.0,37.0,6.8,5.0,0.0103814,,0,,0.05,0.12,0.32,,,5.0,,,,,,,2.0,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,
14109673,home,Kocaelispor,Habib Keita,Habib Keita,,habib-keita,H. Keita,M,8,182,539,M,1082953,EUR,1012867200,M,8,8,False,29.0,24.0,7.0,5.0,0.0,14.0,16.0,10.0,13.0,3.0,1.0,4.0,1.0,,,,,69.0,40.0,7.1,7.0,0.0164658,,0,,0.12,0.07,0.21,,,2.0,1.0,,,,1.0,1.0,,1.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
14109673,home,Kocaelispor,Can Keleş,,,can-keles,C. Keleş,F,70,180,519,M,918408,EUR,999388800,M,70,70,False,14.0,11.0,1.0,,0.0,7.0,8.0,4.0,6.0,3.0,,2.0,1.0,,,,,45.0,22.0,6.7,3.0,0.00123383,,2,,-0.04,0.02,-0.03,,,1.0,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,0.0521,0.0177,-0.12,,,,,,,,,,
14109673,home,Kocaelispor,Tayfur Bingöl,,,tayfur-bingol,T. Bingöl,M,75,180,459,M,255957,EUR,726710400,M,75,75,False,26.0,15.0,5.0,1.0,0.0,3.0,5.0,12.0,21.0,7.0,1.0,7.0,3.0,,,,,90.0,50.0,6.6,20.0,0.0206702,,1,,0.0,0.06,0.0,,2.0,8.0,2.0,2.0,,4.0,1.0,,,,2.0,3.0,,2.0,1.0,1.0,1.0,,0.0452,,-0.06,2.0,,,,,,,,,
14109673,home,Kocaelispor,Rigoberto Rivas,,,rigoberto-rivas,R. Rivas,M,99,178,347,M,837742,EUR,901843200,M,99,99,False,13.0,11.0,,,0.0,3.0,3.0,8.0,10.0,2.0,1.0,,,,,,,69.0,22.0,6.8,8.0,0.0316423,,1,,0.25,0.17,0.13,,1.0,3.0,1.0,,,3.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,0.0225,,-0.16,1.0,,,,,,,,,
