match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialWon,stat_fouls,stat_totalOffside,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_accurateCross,stat_wasFouled,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_errorLeadToAShot
12530798,home,Sivasspor,Đorđe Nikolić,,,dorde-nikolic,Đ. Nikolić,G,195.0,79,M,797144,EUR,860889600,G,13,13,False,35.0,24.0,16.0,5.0,0.0,20.0,20.0,4.0,15.0,1.0,11.0,1.0,2.0,2.0,90.0,44.0,6.5,11.0,0.00361209,0,-0.3828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530798,home,Sivasspor,Murat Paluli,,,murat-paluli,M. Paluli,D,175.0,36,M,893014,EUR,776390400,D,7,7,False,30.0,21.0,2.0,,0.0,10.0,12.0,11.0,20.0,3.0,3.0,,,,90.0,55.0,6.8,17.0,0.047703,0,,7,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12530798,home,Sivasspor,Uroš Radaković,,,uros-radakovic,U. Radaković,D,194.0,313,M,151900,EUR,765072000,D,26,26,False,48.0,41.0,9.0,4.0,0.0,27.0,28.0,14.0,21.0,5.0,,,,,90.0,60.0,6.9,8.0,0.0332665,0,,26,1.0,,1.0,2.0,,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12530798,home,Sivasspor,Noah Sonko Sundberg,,,noah-sonko-sundberg,N. S. Sundberg,D,186.0,238,M,279541,EUR,834019200,D,27,27,False,45.0,43.0,4.0,3.0,0.0,33.0,33.0,10.0,13.0,10.0,3.0,,,,90.0,62.0,7.0,7.0,0.0141048,0,,20,1.0,,2.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,
12530798,home,Sivasspor,Uğur Çiftçi,,,ugur-ciftci,U. Çiftçi,D,180.0,65,M,142850,EUR,704937600,D,3,3,False,37.0,28.0,7.0,4.0,0.0,13.0,16.0,15.0,25.0,7.0,3.0,,,,90.0,65.0,6.8,18.0,0.0264922,1,,58,4.0,2.0,2.0,,,,,,,1.0,,,1.0,,,1.0,2.0,True,1.0,0.0234,,,,,,,,,,,,,
12530798,home,Sivasspor,Samuel Moutoussamy,Samuel,Moutoussamy,moutoussamy-samuel,S. Moutoussamy,M,178.0,6621,M,892624,EUR,839808000,M,12,12,False,48.0,40.0,,,0.0,14.0,17.0,26.0,32.0,2.0,6.0,,,,90.0,62.0,6.9,13.0,0.0357735,1,,92,1.0,,5.0,4.0,1.0,1.0,3.0,1.0,,,2.0,,,1.0,1.0,,1.0,,,0.0821,1.0,0.5046,,,,,,,,,,,
12530798,home,Sivasspor,Achilleas Poungouras,Achilleas,Poungouras,achilleas-poungouras,A. Poungouras,D,187.0,79,M,783466,EUR,818812800,M,44,44,False,40.0,33.0,3.0,,0.0,15.0,18.0,18.0,22.0,,7.0,,,,90.0,47.0,6.9,8.0,0.0127877,1,,15,,,,4.0,,,,,,1.0,3.0,3.0,,1.0,,,1.0,,,0.0665,,,1.0,,,,,,,,,,
12530798,home,Sivasspor,Emrah Başsan,,,emrah-bassan,E. Başsan,M,177.0,60,M,174141,EUR,703468800,M,17,17,False,12.0,10.0,3.0,1.0,0.0,7.0,7.0,4.0,9.0,1.0,1.0,,,,68.0,27.0,6.8,7.0,0.0559915,0,,14,4.0,,4.0,5.0,2.0,,1.0,,,,4.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,
12530798,home,Sivasspor,Alex Pritchard,,,alex-pritchard,A. Pritchard,M,171.0,97,M,180009,EUR,736387200,M,10,10,False,45.0,37.0,4.0,3.0,0.0,12.0,13.0,27.0,35.0,2.0,8.0,,,,90.0,68.0,7.1,17.0,0.129503,1,,,3.0,1.0,6.0,3.0,1.0,4.0,1.0,1.0,,1.0,,,2.0,,,,1.0,,1.0,0.0438,,,,2.0,2.0,,,,,,,,
12530798,home,Sivasspor,Garry Rodrigues,,,garry-rodrigues,G. Rodrigues,M,173.0,946,M,787429,EUR,659664000,M,24,24,False,31.0,23.0,3.0,1.0,1.0,7.0,8.0,16.0,24.0,,4.0,,,,90.0,44.0,6.9,13.0,0.0521926,1,,10,1.0,1.0,3.0,4.0,,2.0,,,,,,,1.0,1.0,,1.0,2.0,,1.0,0.3046,,,,,3.0,1.0,1.0,1.0,,,,,
