match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock
10406920,home,KV Oostende,Dillon Phillips,dillon-phillips,D. Phillips,G,12,188,49,M,377166,EUR,802828800,G,1,1,False,19.0,5.0,17.0,3.0,2.0,2.0,3.0,17.0,1.0,4.0,2.0,3.0,90.0,26.0,6.6,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406920,home,KV Oostende,Osaze Urhoghide,osaze-urhoghide,O. Urhoghide,D,3,188,130,M,915129,EUR,962668800,D,2,2,False,43.0,34.0,5.0,1.0,15.0,17.0,19.0,27.0,,11.0,,,90.0,63.0,6.9,15.0,1,1.0,1.0,1.0,5.0,7.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,
10406920,home,KV Oostende,Anton Tanghe,tanghe-anton,A. Tanghe,D,3,194,72,M,1005175,EUR,917481600,D,33,33,False,33.0,20.0,9.0,2.0,12.0,16.0,8.0,17.0,2.0,5.0,,,90.0,39.0,6.5,13.0,1,,4.0,1.0,4.0,1.0,,,,,1.0,,,,,1.0,,True,1.0,,,,,,,,,,,,
10406920,home,KV Oostende,Brecht Capon,brecht-capon,B. Capon,D,,179,7,,42106,EUR,577670400,D,27,27,False,29.0,19.0,3.0,1.0,4.0,8.0,15.0,21.0,4.0,4.0,,,61.0,38.0,6.5,13.0,0,,2.0,,5.0,1.0,1.0,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,
10406920,home,KV Oostende,Robbie D'Haese,robbie-dhaese,R. D'Haese,M,,180,34,M,889388,EUR,919900800,M,29,29,False,18.0,15.0,2.0,1.0,2.0,2.0,15.0,18.0,,2.0,,,65.0,34.0,6.6,5.0,0,2.0,2.0,,4.0,2.0,,2.0,1.0,,,1.0,,1.0,,1.0,1.0,,,Robbie,D'Haese,2.0,,,,,,,,,
10406920,home,KV Oostende,Kenny Rocha Santos,kenny-rocha-santos,K. R. Santos,M,10,174,108,M,867520,EUR,946857600,M,10,10,False,37.0,26.0,5.0,1.0,6.0,10.0,22.0,35.0,,8.0,,,89.0,56.0,7.0,19.0,2,8.0,1.0,,2.0,6.0,,,,2.0,1.0,4.0,2.0,2.0,2.0,,1.0,,,,,2.0,1.0,1.0,,,,,,,
10406920,home,KV Oostende,Cameron McGeehan,cameron-mcgeehan,C. McGeehan,M,8,180,56,M,149817,EUR,797126400,M,8,8,False,37.0,28.0,3.0,2.0,11.0,14.0,19.0,25.0,,4.0,,,90.0,55.0,9.0,10.0,4,2.0,6.0,2.0,8.0,6.0,1.0,,,1.0,2.0,4.0,3.0,,,1.0,3.0,,,,,2.0,,,3.0,2.0,,,,,
10406920,home,KV Oostende,Tatsuhiro Sakamoto,sakamoto-tatsuhiro,T. Sakamoto,M,7,170,1000,M,978927,EUR,845942400,M,18,18,False,23.0,15.0,1.0,,5.0,7.0,11.0,18.0,1.0,2.0,,,90.0,55.0,6.9,16.0,2,2.0,,1.0,6.0,6.0,2.0,,,1.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,,1.0,,,1.0,,,,,,,,,
10406920,home,KV Oostende,Indy Boonen,indy-boonen,I. Boonen,M,25,173,47,M,839637,EUR,915408000,F,11,11,False,18.0,13.0,,,2.0,2.0,11.0,19.0,,3.0,,,61.0,34.0,6.7,12.0,1,3.0,1.0,1.0,7.0,4.0,3.0,1.0,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,
10406920,home,KV Oostende,Fraser Hornby,fraser-hornby,F. Hornby,F,9,195,400,M,914877,EUR,937180800,F,9,9,False,28.0,18.0,,,2.0,3.0,16.0,25.0,1.0,8.0,,,90.0,53.0,7.4,18.0,8,,6.0,5.0,11.0,6.0,4.0,1.0,,3.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,,,,,,4.0,1.0,1.0,1.0,,,
