match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,player_firstName,player_lastName,stat_errorLeadToAGoal,stat_fouls,stat_totalCross,stat_wonContest,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalOffside,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist,stat_bigChanceCreated
11396201,home,Darmstadt 98,Marcel Schuhen,marcel-schuhen,M. Schuhen,G,1,188,101,M,132654,EUR,726883200,G,1,1,False,39.0,24.0,28.0,13.0,13.0,15.0,11.0,24.0,13.0,2.0,3.0,4.0,90.0,52.0,7.5,15.0,0.0101154,0,0.1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396201,home,Darmstadt 98,Christoph Zimmermann,christoph-zimmermann,C. Zimmermann,D,,194,50,M,142568,EUR,726796800,D,4,4,False,36.0,28.0,3.0,1.0,18.0,21.0,10.0,15.0,4.0,,,,90.0,54.0,6.9,9.0,0.0084586,1,,2.0,2.0,5.0,4.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0204,,,,,,,,,,,,,,,,,,,,
11396201,home,Darmstadt 98,Christoph Klarer,christoph-klarer,C. Klarer,D,4,191,230,M,865554,EUR,960940800,D,14,14,False,28.0,24.0,1.0,,19.0,22.0,5.0,6.0,2.0,,,,90.0,40.0,6.9,4.0,0.0106879,0,,2.0,2.0,2.0,4.0,,,,5.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396201,home,Darmstadt 98,Matej Maglica,matej-maglica,M. Maglica,D,5,196,199,M,1082797,EUR,906681600,D,5,5,False,57.0,44.0,11.0,4.0,24.0,28.0,20.0,29.0,4.0,,,,90.0,68.0,6.2,14.0,0.00789983,0,,3.0,4.0,5.0,7.0,,1.0,,6.0,,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
11396201,home,Darmstadt 98,Emir Karić,emir-karic,E. Karić,D,17,186,635,M,796032,EUR,865814400,M,19,19,False,40.0,31.0,3.0,2.0,12.0,14.0,19.0,27.0,4.0,,,,79.0,65.0,7.5,12.0,0.0568817,1,,,,2.0,7.0,,2.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0932,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
11396201,home,Darmstadt 98,Jannik Müller,jannik-muller,J. Müller,D,24,187,18,M,169249,EUR,758851200,M,20,20,False,32.0,19.0,4.0,2.0,8.0,10.0,11.0,22.0,3.0,,,,90.0,48.0,7.0,13.0,0.01935,0,,1.0,2.0,2.0,4.0,,,,4.0,,3.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
11396201,home,Darmstadt 98,Tobias Kempe,tobias-kempe,T. Kempe,M,,184,86,M,37630,EUR,614908800,M,11,11,False,20.0,15.0,1.0,1.0,6.0,10.0,10.0,11.0,1.0,,,,63.0,28.0,6.6,6.0,0.0142217,0,,2.0,,3.0,1.0,,,,2.0,1.0,,,,1.0,,,,,1.0,1.0,,1.0,True,1.0,,,,,,,,,,,
11396201,home,Darmstadt 98,Fabian Nürnberger,fabian-nurnberger,F. Nürnberger,D,15,180,308,M,940886,EUR,933120000,M,15,15,False,39.0,33.0,4.0,1.0,18.0,18.0,16.0,24.0,4.0,,,,90.0,62.0,7.2,11.0,0.14485,3,,,2.0,5.0,3.0,1.0,1.0,2.0,1.0,,3.0,1.0,,,0.1653,,,,2.0,3.0,,,,1.0,1.0,1.0,0.4527,2.0,,,,,,,
11396201,home,Darmstadt 98,Luca Pfeiffer,luca-pfeiffer,L. Pfeiffer,F,16,196,147,M,842212,EUR,840499200,F,24,24,False,28.0,22.0,,,9.0,9.0,13.0,19.0,3.0,,,,90.0,45.0,7.1,10.0,0.110159,1,,5.0,5.0,10.0,9.0,,2.0,1.0,4.0,,,1.0,,2.0,0.1168,,,,2.0,,1.0,1.0,,,2.0,,,2.0,,,,,,,
11396201,home,Darmstadt 98,Oscar Vilhelmsson,oscar-vilhelmsson,O. Wilhelmsson,F,11,188,219,M,993211,EUR,1065052800,F,29,29,False,16.0,10.0,,,2.0,2.0,8.0,14.0,2.0,,,,80.0,29.0,6.7,13.0,0.0110413,1,,9.0,5.0,13.0,8.0,,2.0,,1.0,,,,,3.0,0.1425,,,,3.0,,,5.0,,,,1.0,0.0583,,,,,,,,
