match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_lastManTackle,stat_ownGoals,stat_fouls,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_shotOffTarget,stat_penaltyConceded,stat_hitWoodwork,player_sofascoreId
12448241,home,Heracles Almelo,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193,109,M,856743,EUR,957916800,G,1,1,False,33.0,15.0,24.0,6.0,0.0,9.0,11.0,6.0,22.0,1.0,10.0,3.0,6.0,1.0,90.0,47.0,7.0,19.0,0.00227821,0,-0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448241,home,Heracles Almelo,Mimeirhel Benita,mimeirhel-benita,M. Benita,D,2,176,216,M,1130308,EUR,1069027200,D,2,2,False,17.0,8.0,4.0,1.0,0.0,3.0,7.0,5.0,11.0,4.0,9.0,,,,85.0,52.0,7.3,16.0,0.0216821,0,,Mimeirhel Benita,,1.0,2.0,2.0,4.0,10.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12448241,home,Heracles Almelo,Damon Mirani,damon-mirani,D. Mirani,D,4,182,56,M,318575,EUR,831945600,D,4,4,False,22.0,16.0,4.0,,0.0,10.0,10.0,6.0,12.0,7.0,4.0,,,,90.0,34.0,6.5,7.0,0.00434484,0,,,,,2.0,,2.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12448241,home,Heracles Almelo,Ivan Mesík,ivan-mesik,I. Mesík,D,24,187,163,M,918484,EUR,991353600,D,24,24,False,36.0,26.0,10.0,1.0,0.0,23.0,26.0,3.0,10.0,9.0,2.0,,,,90.0,56.0,6.8,10.0,0.0364921,0,,,,,2.0,,3.0,3.0,,,,4.0,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12448241,home,Heracles Almelo,Ruben Roosken,ruben-roosken,R. Roosken,D,12,183,99,M,988990,EUR,951955200,D,12,12,False,15.0,8.0,3.0,,0.0,5.0,5.0,3.0,10.0,1.0,2.0,,,,60.0,24.0,6.4,8.0,0.00127177,0,,,,,,,2.0,3.0,2.0,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12448241,home,Heracles Almelo,Juho Talvitie,juho-talvitie,J. Talvitie,M,32,183,251,M,1149147,EUR,1111708800,M,23,23,False,12.0,9.0,,,0.0,6.0,6.0,3.0,6.0,2.0,2.0,,,,66.0,30.0,6.3,10.0,0.00660933,1,,Juho Talvitie,,,,,5.0,3.0,1.0,3.0,,,1.0,2.0,1.0,3.0,1.0,,,,1.0,1.0,0.0838,,,,,,,,,,,,,,
12448241,home,Heracles Almelo,Brian De Keersmaecker,brian-de-keersmaecker,B. D. Keersmaeker,M,14,182,235,M,981222,EUR,957571200,M,14,14,False,30.0,26.0,6.0,4.0,0.0,21.0,23.0,5.0,8.0,3.0,7.0,,,,90.0,45.0,7.1,8.0,0.00331685,1,,,,1.0,1.0,,3.0,3.0,1.0,3.0,2.0,2.0,,,,2.0,1.0,,,,,,0.7884,True,1.0,1.0,0.8724,1.0,,,,,,,,,
12448241,home,Heracles Almelo,Daniel van Kaam,daniel-van-kaam,D. v. Kaam,M,8,175,86,M,876257,EUR,961718400,M,26,26,False,13.0,11.0,,,0.0,6.0,7.0,5.0,9.0,2.0,,,,,85.0,26.0,6.8,5.0,0.014487,0,,,,3.0,,,1.0,3.0,,,,1.0,1.0,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
12448241,home,Heracles Almelo,Bryan Limbombe,bryan-limbombe,B. Limbombe,M,7,172,160,M,996988,EUR,989798400,M,7,7,False,10.0,4.0,2.0,,0.0,1.0,3.0,4.0,8.0,1.0,3.0,,,,90.0,31.0,6.5,12.0,0.489519,3,,,,1.0,2.0,,9.0,4.0,,4.0,2.0,,,1.0,1.0,1.0,1.0,,,2.0,3.0,2.0,0.1857,,1.0,,0.1933,1.0,1.0,1.0,1.0,1.0,,,,,
12448241,home,Heracles Almelo,Mario Engels,mario-engels,M. Engels,M,8,183,72,M,132674,EUR,751248000,F,8,8,False,10.0,5.0,1.0,1.0,0.0,1.0,2.0,4.0,8.0,1.0,7.0,,,,90.0,26.0,6.8,12.0,0.28819,1,,,,,1.0,1.0,8.0,3.0,,1.0,,,1.0,2.0,2.0,3.0,,,,4.0,2.0,,0.1463,,1.0,,0.2628,1.0,,,,2.0,,,,,
