match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,stat_shotOffTarget,stat_accurateCross,stat_aerialLost,stat_interceptionWon,stat_totalOffside,stat_keyPass,stat_wasFouled,stat_dispossessed,stat_wonContest,stat_onTargetScoringAttempt,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_goalAssist,stat_bigChanceCreated,stat_goals,player_sofascoreId
10433774,home,Alanyaspor,Rúnar Alex Rúnarsson,runar-alex-runarsson,R. Rúnarsson,G,31,185.0,415,M,187023,EUR,793065600,G,13,13,False,25.0,23.0,3.0,1.0,21.0,21.0,2.0,4.0,5.0,1.0,90.0,30.0,5.8,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433774,home,Alanyaspor,Pedro Pereira,pedro-pereira,P. Pereira,M,13,185.0,286,M,807291,EUR,885427200,D,27,27,False,21.0,15.0,,,12.0,14.0,3.0,8.0,1.0,,45.0,33.0,6.7,9.0,0,,,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433774,home,Alanyaspor,Furkan Bayır,furkan-bayir,F. Bayır,D,23,188.0,77,M,1003161,EUR,950054400,D,4,4,False,94.0,84.0,6.0,1.0,59.0,62.0,25.0,32.0,12.0,,90.0,99.0,6.3,11.0,1,,,,3.0,3.0,4.0,,2.0,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10433774,home,Alanyaspor,Zouhair Feddal,zouhair-feddal,Z. Feddal,D,,191.0,532,,220131,EUR,630374400,D,89,89,False,73.0,67.0,4.0,1.0,51.0,53.0,17.0,21.0,3.0,,90.0,88.0,6.9,7.0,0,,,1.0,,6.0,2.0,,4.0,1.0,2.0,,,2.0,1.0,,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,
10433774,home,Alanyaspor,Jure Balkovec,jure-balkovec,J. Balkovec,D,29,185.0,292,M,171625,EUR,779068800,D,29,29,False,26.0,23.0,3.0,2.0,13.0,13.0,11.0,19.0,4.0,,71.0,44.0,6.4,8.0,0,,,6.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
10433774,home,Alanyaspor,Arnaud Lusamba,arnaud-lusamba,A. Lusamba,M,11,180.0,284,M,361342,EUR,852336000,M,97,97,False,47.0,42.0,3.0,2.0,15.0,15.0,27.0,32.0,5.0,,90.0,65.0,6.9,10.0,0,,,,,5.0,8.0,3.0,,,4.0,2.0,3.0,,1.0,,,2.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,
10433774,home,Alanyaspor,Umut Güneş,umut-gunes,U. Güneş,M,20,177.0,131,M,876782,EUR,953164800,M,6,6,False,36.0,33.0,3.0,2.0,19.0,20.0,14.0,16.0,1.0,,70.0,44.0,6.1,7.0,1,,,,,5.0,2.0,,,,1.0,,,4.0,1.0,,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,
10433774,home,Alanyaspor,Daniel Candeias,daniel-candeias,D. Candeias,M,21,177.0,77,M,41835,EUR,572745600,M,21,21,False,50.0,40.0,4.0,2.0,14.0,18.0,27.0,37.0,1.0,,90.0,70.0,6.4,16.0,1,Daniel,Candeias,5.0,1.0,5.0,2.0,2.0,2.0,,,,,1.0,,1.0,1.0,3.0,,,,,,1.0,,,,,,,,,,
10433774,home,Alanyaspor,Efecan Karaca,efecan-karaca,E. Karaca,M,7,166.0,109,M,60510,EUR,627177600,M,7,7,False,41.0,34.0,2.0,2.0,8.0,9.0,27.0,36.0,6.0,,90.0,59.0,6.5,15.0,1,,,4.0,1.0,5.0,6.0,1.0,,,,,3.0,,3.0,1.0,1.0,,,1.0,2.0,4.0,2.0,1.0,,True,,,,,,,,
10433774,home,Alanyaspor,Oğuz Aydın,oguz-aydin,O. Aydın,M,70,183.0,3374,M,999396,EUR,972604800,M,70,70,False,37.0,28.0,5.0,2.0,6.0,6.0,25.0,37.0,3.0,,89.0,56.0,7.0,16.0,4,,,6.0,,4.0,2.0,1.0,,,,,3.0,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,
