match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,player_firstName,player_lastName,stat_goalAssist,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_hitWoodwork,stat_bigChanceCreated,stat_totalOffside,captain,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_outfielderBlock,stat_penaltyConceded
11450077,home,Fenerbahçe,Dominik Livaković,dominik-livakovic,D. Livaković,G,40,186,12815,M,Livakovic40,190419,EUR,789609600,G,40,40,False,28.0,26.0,4.0,2.0,24.0,25.0,2.0,3.0,5.0,1.0,1.0,90.0,33.0,6.7,3.0,0.00112884,0,-0.3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450077,home,Fenerbahçe,Mert Müldür,mert-muldur,M. Müldür,D,18,184,2870,M,,836683,EUR,923097600,D,16,16,False,17.0,15.0,,,6.0,6.0,10.0,13.0,1.0,,,45.0,31.0,6.6,5.0,0.0732413,0,,2.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11450077,home,Fenerbahçe,Serdar Aziz,serdar-aziz,S. Aziz,D,,183,609,M,,43528,EUR,656640000,D,4,4,False,56.0,49.0,6.0,2.0,30.0,32.0,19.0,24.0,4.0,,,90.0,73.0,6.9,7.0,0.00648191,3,,,,1.0,8.0,4.0,1.0,,,2.0,1.0,2.0,,5.0,1.0,2.0,1.0,4.0,2.0,2.0,0.3438,,,,,,,,,,,,,,,,,
11450077,home,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189,3123,M,,1048324,EUR,988243200,D,24,24,False,37.0,30.0,7.0,1.0,24.0,25.0,6.0,12.0,6.0,,,45.0,39.0,6.3,7.0,0.00851881,0,,,,2.0,5.0,3.0,,,,,,2.0,,3.0,,,,1.0,1.0,1.0,,Jayden Oosterwolde,,,,,,,,,,,,,,,,
11450077,home,Fenerbahçe,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174,20994,M,ferdikadioglu,825844,EUR,939254400,D,7,7,False,62.0,49.0,7.0,3.0,23.0,24.0,26.0,40.0,6.0,,,90.0,92.0,8.4,23.0,0.0459524,2,,2.0,,,6.0,9.0,,4.0,2.0,2.0,6.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,0.6518,,,1.0,1.0,1.0,1.0,4.0,0.7703,,,,,,,,,
11450077,home,Fenerbahçe,Rade Krunić,rade-krunic,R. Krunić,M,33,184,2497,M,,155449,EUR,749952000,M,33,33,False,44.0,40.0,3.0,3.0,20.0,20.0,20.0,24.0,6.0,,,90.0,55.0,7.3,5.0,0.0522242,2,,,,2.0,5.0,5.0,,2.0,2.0,1.0,,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,0.0682,,,,1.0,,,,,1.0,,,,,,,,
11450077,home,Fenerbahçe,Fred,fred,Fred,M,7,169,11619,M,fred08,243623,EUR,731289600,M,35,35,False,60.0,47.0,6.0,2.0,17.0,21.0,31.0,40.0,14.0,,,90.0,79.0,7.5,21.0,0.221687,2,,1.0,1.0,2.0,6.0,7.0,,1.0,,,4.0,,2.0,2.0,,1.0,1.0,1.0,2.0,1.0,0.306,,,1.0,3.0,,,3.0,,,1.0,,,,,,,
11450077,home,Fenerbahçe,Cengiz Ünder,cengiz-under,C. Ünder,F,11,173,4739,M,cengizunder,758876,EUR,868838400,M,20,20,False,14.0,7.0,1.0,,1.0,4.0,7.0,14.0,4.0,,,61.0,26.0,6.5,12.0,0.12061,2,,4.0,1.0,,6.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,0.063,,,,,,,,,,,,,,,,,
11450077,home,Fenerbahçe,Mert Hakan Yandaş,mert-hakan-yandas,M. H. Yandaş,M,8,174,1764,M,,856849,EUR,777254400,M,8,8,False,33.0,30.0,1.0,1.0,7.0,7.0,26.0,38.0,2.0,,,74.0,65.0,8.1,16.0,0.225154,1,,12.0,3.0,,6.0,8.0,1.0,4.0,2.0,,5.0,2.0,2.0,1.0,,,,,1.0,1.0,0.0131,,,,,1.0,1.0,1.0,0.4605,,,1.0,,,,,,
11450077,home,Fenerbahçe,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181,12216,M,dusantadic,38560,EUR,595987200,M,10,10,False,39.0,28.0,,,4.0,5.0,28.0,44.0,3.0,,,90.0,71.0,7.2,23.0,0.44883,0,,10.0,4.0,,8.0,7.0,,5.0,3.0,,4.0,1.0,4.0,2.0,,,,,,,,,,,3.0,,,1.0,,,1.0,1.0,,,,,,
