match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_keyPass,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_bigChanceCreated,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_aerialWon,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_hitWoodwork,stat_bigChanceMissed
12764153,home,Ferencváros TC,Dénes Dibusz,denes-dibusz,D. Dibusz,G,90,188.0,864,M,75425,EUR,658713600,G,90,90,False,True,29.0,25.0,7.0,3.0,0.0,22.0,24.0,3.0,5.0,2.0,1.0,6.0,2.0,2.0,5.0,1.0,1.0,90.0,42.0,7.2,4.0,0.00122483,0,-0.0991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764153,home,Ferencváros TC,Stefan Gartenmann,stefan-gartenmann,S. Gartenmann,D,3,185.0,252,M,803671,EUR,854841600,D,3,3,False,,30.0,25.0,4.0,2.0,0.0,15.0,19.0,11.0,15.0,4.0,5.0,3.0,,,,,,77.0,55.0,6.6,14.0,0.116389,0,,4.0,1.0,1.0,6.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
12764153,home,Ferencváros TC,Ibrahim Cissé,ibrahim-cisse,I. Cissé,D,27,185.0,841,M,603740,EUR,830995200,D,27,27,False,,51.0,43.0,7.0,2.0,0.0,32.0,34.0,11.0,18.0,1.0,3.0,3.0,,,,,,90.0,62.0,6.6,9.0,0.00410198,0,,1.0,,1.0,1.0,,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
12764153,home,Ferencváros TC,Raul Gustavo,raul-gustavo,Raul Gustavo,D,34,188.0,521,M,1047422,EUR,924912000,D,34,34,False,,38.0,30.0,9.0,3.0,0.0,22.0,25.0,8.0,13.0,5.0,6.0,4.0,1.0,,,,,90.0,53.0,6.6,10.0,0.00171731,0,,,,2.0,2.0,,,,1.0,,4.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,
12764153,home,Ferencváros TC,Cristian Ramírez,cristian-ramirez,C. Ramírez,D,2,173.0,494,M,155778,EUR,776649600,D,99,99,False,,36.0,27.0,4.0,2.0,1.0,13.0,16.0,15.0,24.0,3.0,3.0,3.0,,,,,,90.0,59.0,7.4,14.0,0.0597599,0,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,
12764153,home,Ferencváros TC,Mohammad Abu Fani,mohammad-abu-fani,M. A. Fani,M,15,164.0,535,M,836849,EUR,893635200,M,15,15,False,,53.0,41.0,15.0,9.0,0.0,22.0,26.0,20.0,34.0,2.0,2.0,8.0,,,,,,84.0,72.0,6.6,22.0,0.134774,2,,7.0,1.0,,12.0,7.0,,,1.0,,2.0,1.0,1.0,2.0,,,2.0,1.0,,,3.0,2.0,0.1109,,,,,,,,,,
12764153,home,Ferencváros TC,Habib Maïga,habib-maiga,H. Maïga,M,80,179.0,213,M,359246,EUR,820454400,M,80,80,False,,36.0,30.0,5.0,3.0,0.0,14.0,16.0,16.0,20.0,5.0,3.0,10.0,,,,,,90.0,53.0,7.0,10.0,0.0142653,0,,,,,5.0,,1.0,1.0,2.0,,4.0,1.0,,3.0,,,2.0,2.0,,,2.0,,,,,,,,,,,,
12764153,home,Ferencváros TC,Adama Malouda Traoré,adama-malouda-traore,A. M. Traoré,M,20,177.0,1208,M,1172372,EUR,802310400,M,20,20,False,,20.0,20.0,,,0.0,6.0,6.0,14.0,16.0,4.0,1.0,6.0,1.0,,,,,77.0,40.0,7.2,9.0,0.0850105,3,,2.0,,,4.0,1.0,3.0,,,,3.0,1.0,,,,,3.0,2.0,,,,,0.2455,2.0,1.0,0.0889,,,,,,,
12764153,home,Ferencváros TC,Matheus Saldanha,matheus-saldanha,M. Saldanha,F,90,185.0,1436,M,1018290,EUR,934934400,M,11,11,False,,8.0,5.0,1.0,,0.0,3.0,3.0,3.0,6.0,6.0,,3.0,1.0,,,,,60.0,21.0,6.8,8.0,0.00899018,1,,1.0,1.0,,4.0,1.0,2.0,1.0,,,3.0,1.0,,1.0,,,2.0,2.0,,,1.0,,0.0467,,1.0,0.4059,1.0,,,,,,
12764153,home,Ferencváros TC,Eldar Ćivić,eldar-civic,E. Ćivić,D,77,182.0,209,M,280469,EUR,833241600,M,17,17,False,,12.0,8.0,2.0,2.0,0.0,4.0,6.0,5.0,10.0,4.0,,2.0,1.0,,,,,60.0,27.0,6.6,11.0,0.109311,0,,4.0,1.0,1.0,5.0,1.0,1.0,,,,2.0,1.0,,1.0,,,2.0,,1.0,,1.0,,,,,,1.0,,,,,,
12764153,home,Ferencváros TC,Barnabás Varga,barnabas-varga,B. Varga,F,25,181.0,5649,M,852434,EUR,783043200,F,19,19,False,,13.0,10.0,,,0.0,5.0,5.0,6.0,9.0,7.0,3.0,4.0,5.0,,,,,90.0,34.0,7.7,8.0,0.107327,2,,1.0,1.0,6.0,8.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,5.0,2.0,,,,0.39,1.0,1.0,0.6414,1.0,1.0,,,,,
12764153,home,Ferencváros TC,Kristoffer Zachariassen,kristoffer-zachariassen,K. Zachariassen,M,16,180.0,333,M,548312,EUR,759628800,M,16,16,True,,6.0,4.0,,,0.0,,,5.0,7.0,4.0,1.0,,,,,,,30.0,18.0,6.9,5.0,0.0115566,2,,1.0,1.0,1.0,4.0,,1.0,,,,3.0,1.0,,,,,3.0,,,,2.0,,0.1638,2.0,,,1.0,,,,,,
12764153,home,Ferencváros TC,Mohamed Ali Ben Romdhane,ben-romdhane-mohamed-ali,M. Romdhane,M,5,185.0,9787,M,966891,EUR,936576000,M,7,7,True,,9.0,7.0,2.0,1.0,0.0,3.0,5.0,4.0,6.0,2.0,,2.0,1.0,,,,,30.0,16.0,6.4,6.0,0.00939058,1,,2.0,,,2.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,1.0,0.0214,,,,,,mohamed_ali_ben_romdhan,,,,
12764153,home,Ferencváros TC,Cebrail Makreckis,cebrail-makreckis,C. Makreckis,D,25,180.0,372,M,991090,EUR,957916800,M,25,25,True,,12.0,10.0,1.0,,0.0,7.0,8.0,3.0,4.0,1.0,,,,,,,,13.0,16.0,6.8,2.0,0.0419597,1,,,,,,,,,,,1.0,2.0,,,,,,,,,,,0.0692,1.0,,,,,,,,,
12764153,home,Ferencváros TC,Kady Borges,kady-borges,K. Borges,M,20,173.0,14779,M,1194442,EUR,830995200,M,10,10,True,,4.0,2.0,,,0.0,,,2.0,4.0,1.0,,1.0,,,,,,13.0,10.0,6.6,4.0,0.0104732,3,,,,,3.0,,2.0,,,,1.0,,,1.0,,,,,,,,1.0,0.227,,2.0,0.285,,,,,,,
12764153,home,Ferencváros TC,Aleksandar Pešić,aleksandar-pesic,A. Pešić,F,8,190.0,364,M,41069,EUR,706406400,F,8,8,True,,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,,,,13.0,2.0,6.4,1.0,0.00021288,0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
12764153,home,Ferencváros TC,Ádám Varga,adam-varga,Á. Varga,G,1,191.0,122,M,921139,EUR,918777600,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Ádám,Varga,,,,,,,,,,,,,,,,,
