match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,captain,stat_shotOffTarget,stat_lastManTackle,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAShot,player_firstName,player_lastName,stat_accurateCross,stat_hitWoodwork,stat_bigChanceMissed,stat_goodHighClaim,stat_totalKeeperSweeper,stat_outfielderBlock
11369340,home,Real Betis,Claudio Bravo,claudio-bravo,C. Bravo,G,184,2223,M,13249,EUR,419040000,G,1,1,False,26.0,20.0,14.0,8.0,15.0,15.0,5.0,11.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,90.0,39.0,7.7,7.0,0.0,0.0,0.0007455,0,0.4132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369340,home,Real Betis,Héctor Bellerín,hector-bellerin,H. Bellerín,D,178,3870,M,188365,EUR,795571200,D,2,2,False,53.0,44.0,4.0,4.0,29.0,34.0,15.0,23.0,1.0,5.0,1.0,5.0,,,,90.0,75.0,7.3,18.0,0.0,0.0,0.455078,0,,2,Bellerín,4.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11369340,home,Real Betis,Germán Pezzella,german-pezzella,G. Pezzella,D,187,3493,M,158241,EUR,677980800,D,6,6,False,69.0,65.0,4.0,3.0,50.0,51.0,15.0,18.0,3.0,8.0,6.0,11.0,,,,90.0,84.0,8.2,4.0,0.0995,0.0,0.0175744,1,,6,germanpezzella,,,1.0,1.0,1.0,4.0,4.0,,,1.0,,2.0,True,1.0,1.0,,,,,,,,,,,,,,,,,
11369340,home,Real Betis,Marc Bartra,marc-bartra,M. Bartra,D,183,1917,M,99519,EUR,663897600,D,15,15,False,42.0,37.0,4.0,2.0,31.0,35.0,6.0,7.0,1.0,1.0,1.0,7.0,,,,45.0,49.0,6.6,8.0,0.0897,0.0,0.0019375,1,,5,,,,3.0,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11369340,home,Real Betis,Juan Miranda,juan-miranda,J. Miranda,D,185,2208,M,855829,EUR,948240000,D,3,3,False,36.0,30.0,5.0,1.0,13.0,16.0,17.0,21.0,1.0,2.0,4.0,2.0,,,,90.0,56.0,7.1,10.0,0.0,0.0,0.016263,0,,33,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
11369340,home,Real Betis,Guido Rodríguez,guido-rodriguez,G. Rodríguez,M,185,3908,M,609752,EUR,766108800,M,5,5,False,45.0,40.0,3.0,3.0,21.0,24.0,19.0,21.0,1.0,2.0,1.0,6.0,,,,88.0,52.0,6.9,7.0,0.0207,0.0,0.0249463,1,,2,guiido_rodriguez,,,2.0,,,,,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
11369340,home,Real Betis,Marc Roca,marc-roca,M. Roca,M,184,1491,M,847128,EUR,848966400,M,21,21,False,51.0,45.0,4.0,1.0,26.0,28.0,19.0,24.0,1.0,3.0,1.0,5.0,,,,90.0,67.0,7.8,11.0,0.2966,0.1974,0.0191619,3,,21,,1.0,,7.0,1.0,,1.0,1.0,,1.0,4.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,
11369340,home,Real Betis,Assane Diao,assane-diao,A. Diao,F,185,18044,M,1493689,EUR,1126051200,M,38,38,False,31.0,28.0,1.0,1.0,12.0,14.0,17.0,19.0,,7.0,,5.0,,,,72.0,55.0,7.7,12.0,0.3422,0.274,0.298457,1,,38,,2.0,1.0,6.0,5.0,3.0,3.0,3.0,4.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,
11369340,home,Real Betis,Isco,isco,Isco,M,176,26276,M,103417,EUR,703814400,M,22,22,False,30.0,25.0,2.0,1.0,6.0,7.0,23.0,30.0,1.0,3.0,,2.0,,,,62.0,48.0,8.1,12.0,0.13,0.3734,0.384265,3,,22,iscoalarcon,7.0,5.0,6.0,2.0,2.0,,,3.0,,,,4.0,,,,,1.0,1.0,,1.0,,2.0,,,,,4.0,1.0,,,,
11369340,home,Real Betis,Rodri Sánchez,rodri-sanchez,R. Sánchez,M,175,565,M,1031421,EUR,958435200,M,17,17,False,44.0,41.0,3.0,3.0,18.0,19.0,23.0,26.0,,4.0,,4.0,,,,90.0,62.0,6.6,11.0,0.3319,0.0,0.118527,1,,10,,1.0,1.0,7.0,3.0,1.0,,,3.0,3.0,,2.0,,,1.0,,2.0,2.0,,1.0,,,,,,,,,,1.0,,,
