match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_unsuccessfulTouch,stat_wasFouled,stat_penaltyWon,stat_outfielderBlock,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,player_sofascoreId,stat_challengeLost,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_bigChanceCreated,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_errorLeadToAShot,stat_penaltyConceded
14062141,home,Eintracht Frankfurt,Kauã Santos,kaua-dos-santos,Kauã,G,40,196,2816,M,1134203,EUR,1050019200,G,40,40,False,37.0,19.0,25.0,7.0,0.0,14.0,17.0,5.0,20.0,3.0,3.0,2.0,11.0,4.0,3.0,3.0,1.0,90.0,50.0,7.5,18.0,0.00208528,57.933950139795,9.0,24.99,7.665,0.6563,0,-0.2594,0.01,-0.02,-0.18,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Rasmus Kristensen,rasmus-kristensen,R. Kristensen,D,13,186,1615,M,921789,EUR,868579200,D,13,13,False,50.0,41.0,6.0,1.0,0.0,21.0,24.0,20.0,26.0,2.0,4.0,5.0,3.0,,,,,90.0,75.0,6.4,13.0,0.0485332,60.578293167818,8.0,36.225,14.28,,0,,0.3,0.05,-0.53,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Robin Koch,robin-koch,R. Koch,D,4,190,1832,M,581302,EUR,837561600,D,4,4,False,30.0,25.0,4.0,,0.0,19.0,21.0,6.0,9.0,,3.0,6.0,4.0,,,,,90.0,46.0,6.4,7.0,0.00169942,39.828558624577,4.0,-21.21,4.725,,0,,0.03,0.0,-0.35,,,3.0,,,2.0,2.0,1.0,1.0,,True,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Arthur Theate,arthur-theate,A. Theate,D,3,186,2196,M,965778,EUR,959212800,D,3,3,False,41.0,35.0,8.0,5.0,0.0,20.0,21.0,15.0,20.0,2.0,8.0,5.0,4.0,,,,,83.0,64.0,7.0,9.0,0.0319395,81.249534625503,12.0,22.05,11.76,,0,,0.06,0.07,-0.09,,,2.0,,,3.0,6.0,3.0,1.0,,,1.0,,,,2.0,11.81668041372,1.0,,,,,,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Ritsu Doan,ritsu-doan,R. Doan,M,20,172,5674,M,790965,EUR,897955200,M,20,20,False,30.0,21.0,5.0,3.0,0.0,10.0,12.0,11.0,18.0,3.0,6.0,4.0,6.0,,,,,90.0,48.0,6.8,14.0,0.0423797,83.170876726846,8.0,19.215,15.435,,0,,0.21,0.14,-0.14,,3.0,5.0,,,,3.0,2.0,,,,4.0,2.0,,,,15.735400376222,1.0,doanritsu,1.0,,,,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Oscar Højlund,oscar-hojlund,O. Højlund,M,6,184,1040,M,1149113,EUR,1104796800,M,6,6,False,32.0,27.0,,,0.0,13.0,17.0,14.0,15.0,,3.0,2.0,4.0,,,,,77.0,41.0,6.4,6.0,0.0196199,43.417904657103,4.0,-38.325,-4.725,,0,,-0.1,-0.33,-0.15,,,4.0,,,,3.0,2.0,2.0,,,,1.0,,,1.0,,,,2.0,Oscar Höjlund,,,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Hugo Larsson,hugo-larsson,H. Larsson,M,16,187,2774,M,1142211,EUR,1088294400,M,16,16,False,29.0,25.0,5.0,4.0,0.0,10.0,12.0,15.0,17.0,1.0,2.0,1.0,6.0,,,,,90.0,37.0,6.6,5.0,0.0676658,29.597392698943,6.0,-13.86,1.995,,0,,0.11,0.0,-0.14,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,Hugo Larsson,,1.0,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Nathaniel Brown,nathaniel-brown,N. Brown,D,21,179,1784,M,1159759,EUR,1055721600,M,21,21,False,45.0,32.0,6.0,2.0,0.0,20.0,27.0,12.0,18.0,1.0,5.0,2.0,2.0,,,,,90.0,60.0,6.5,16.0,0.0261015,104.21544396243,15.0,27.3,13.44,,0,,-0.01,0.1,0.2,,,6.0,1.0,,1.0,4.0,4.0,3.0,1.0,,1.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Can Uzun,can-uzun,C. Uzun,M,42,186,10657,M,1440948,EUR,1131667200,F,42,42,False,35.0,27.0,3.0,2.0,0.0,10.0,13.0,17.0,22.0,,1.0,,1.0,,,,,63.0,50.0,6.7,13.0,0.0253423,55.569239585673,6.0,32.865,14.28,,3,,-0.07,0.27,-0.11,,,7.0,,,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,30.422607153039,2.0,can.uzun10,2.0,Can Uzun,,,3.0,2.0,1.0,1.0,0.8521,0.771,0.29,,,,,,,,,,,
14062141,home,Eintracht Frankfurt,Ansgar Knauff,ansgar-knauff,A. Knauff,M,7,180,2079,M,997012,EUR,1010620800,F,7,7,False,10.0,9.0,,,0.0,5.0,5.0,4.0,5.0,,1.0,,2.0,,,,,77.0,18.0,6.4,4.0,0.0942573,32.687715942814,6.0,-3.57,3.885,,4,,0.14,0.13,0.13,,2.0,5.0,,,,,,,,,4.0,,1.0,,,7.7691955825555,1.0,,,,,,1.0,2.0,1.0,,0.2562,0.222,-0.45,1.0,,,,,,,,,,
