match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,captain,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_fouls,stat_aerialWon,stat_clearanceOffLine,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,stat_errorLeadToAGoal,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_hitWoodwork
11453094,home,Abha,Ciprian Tătărușanu,ciprian-tatarusanu,C. Tătărușanu,G,198.0,624,M,44453,EUR,508291200,G,16,16,False,15.0,12.0,5.0,2.0,12.0,15.0,2.0,7.0,2.0,4.0,90.0,27.0,5.3,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453094,home,Abha,Fahad Bin Jumayah,fahad-bin-jumayah,F. B. Jumayah,D,170.0,22,M,893514,EUR,800064000,D,14,14,False,11.0,10.0,2.0,1.0,4.0,5.0,2.0,2.0,,,67.0,30.0,6.1,5.0,0,14,True,7.0,8.0,2.0,1.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
11453094,home,Abha,Ziyad Al-Sahafi,ziyad-al-sahafi,Z. Al-Sahafi,D,182.0,36,M,831259,EUR,782352000,D,30,30,False,28.0,22.0,8.0,3.0,17.0,20.0,1.0,4.0,,,90.0,34.0,5.4,6.0,0,21,,5.0,8.0,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11453094,home,Abha,Marcel Tisserand,marcel-tisserand,M. Tisserand,D,190.0,461,M,338651,EUR,726624000,D,26,26,False,44.0,34.0,15.0,6.0,23.0,24.0,4.0,2.0,,,90.0,60.0,6.1,11.0,1,32,,11.0,20.0,,,,2.0,4.0,,2.0,2.0,4.0,1.0,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,
11453094,home,Abha,Ibrahim Al-Zubaidi,ibrahim-al-zubaidi,I. Al-Zubaidi,D,172.0,16,M,793916,EUR,623462400,D,15,15,False,39.0,30.0,3.0,,18.0,21.0,1.0,5.0,,,90.0,55.0,5.7,11.0,0,,,12.0,18.0,,,,2.0,3.0,,1.0,,,,,,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,
11453094,home,Abha,Mohammed Naji,mohammed-naji,M. Naji,D,170.0,4,M,893173,EUR,751939200,M,3,3,False,13.0,8.0,5.0,2.0,5.0,6.0,2.0,2.0,,,37.0,20.0,6.2,7.0,0,4,,3.0,7.0,,,,2.0,1.0,,,,,,,1.0,,,Mohammed,Naji,,,1.0,1.0,,1.0,,,,,,,,,,,
11453094,home,Abha,Uroš Matić,uros-matic,U. Matić,M,185.0,66,M,63273,EUR,643420800,M,8,8,False,42.0,39.0,4.0,3.0,24.0,24.0,1.0,3.0,,,90.0,53.0,5.9,9.0,1,,,16.0,22.0,4.0,1.0,,3.0,,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
11453094,home,Abha,Abdulelah Alshamary,abdulelah-alshamary,A. Alshamary,M,172.0,38,M,931838,EUR,917136000,M,80,80,False,23.0,19.0,1.0,1.0,5.0,6.0,,3.0,,,58.0,34.0,6.3,7.0,0,8,,15.0,19.0,2.0,1.0,,3.0,3.0,,1.0,,,1.0,1.0,,2.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
11453094,home,Abha,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,187.0,2715,M,76227,EUR,633571200,M,5,5,False,17.0,12.0,2.0,2.0,4.0,6.0,,4.0,,,67.0,25.0,6.0,10.0,2,4,,8.0,11.0,,,,3.0,1.0,,,,1.0,,,5.0,,,Grzegorz,Krychowiak,,,3.0,1.0,,,,2.0,,,,,,,,,
11453094,home,Abha,Mohammed Al-Konaideri,mohammed-al-konaideri,M. Al-Konaideri,D,175.0,21,M,1019340,EUR,971222400,M,13,13,False,26.0,21.0,5.0,2.0,11.0,14.0,1.0,6.0,,,90.0,43.0,6.7,9.0,0,12,,11.0,16.0,4.0,1.0,,,4.0,,,,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
11453094,home,Abha,François Kamano,francois-kamano,F. Kamano,M,182.0,1456,M,580800,EUR,830995200,F,11,11,False,15.0,15.0,1.0,1.0,8.0,8.0,,,,,58.0,20.0,6.8,2.0,1,45,,8.0,9.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
11453094,home,Abha,Mohammed Said Al-Qahtani,mohammed-said-al-qahtani,M. S. Al-Qahtani,M,176.0,8,M,1177090,EUR,1016323200,M,29,29,True,21.0,15.0,2.0,1.0,8.0,11.0,,,,,53.0,33.0,5.4,8.0,2,,,7.0,11.0,1.0,,,1.0,5.0,1.0,,,1.0,2.0,1.0,1.0,2.0,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,
11453094,home,Abha,Meshal Al Mutairi,meshal-al-mutairi,M. A. Mutairi,M,170.0,44,M,1522212,EUR,922320000,M,77,77,True,8.0,8.0,,,4.0,4.0,,,,,32.0,9.0,6.4,1.0,0,10,,4.0,4.0,,,,,,,,,,,,1.0,,1.0,Meshal Al Mutairi,,,,,,,,,,,,,,,,,,
11453094,home,Abha,Ahmed Abdu,ahmed-abdoh-jaber,A. Abdu,F,183.0,56,M,873363,EUR,822528000,F,71,71,True,3.0,2.0,,,1.0,1.0,,1.0,,,32.0,10.0,6.5,3.0,2,71,,1.0,2.0,,,2.0,4.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,
11453094,home,Abha,Saleh Al Qumayzi,saleh-al-qumayzi,S. Al Qumayzi,D,180.0,9,M,160891,EUR,688780800,D,17,17,True,10.0,8.0,2.0,,5.0,6.0,1.0,4.0,,,23.0,19.0,6.8,3.0,0,,,3.0,5.0,1.0,,1.0,1.0,5.0,,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
11453094,home,Abha,Saad Bguir,bguir-saad,S. Bguir,M,178.0,637,M,563030,EUR,764294400,M,10,10,True,6.0,5.0,,,3.0,3.0,,2.0,,,23.0,12.0,6.2,4.0,0,18,,3.0,5.0,2.0,1.0,,3.0,,1.0,1.0,,1.0,,,,,,Saad,Bguir,,,,,,1.0,,,,,,,,,,,
