match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_expectedGoals,stat_dispossessed,stat_unsuccessfulTouch,stat_penaltyWon,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_penaltyMiss,captain,stat_blockedScoringAttempt,player_sofascoreId,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_ownGoals,stat_penaltyConceded
12764178,home,Celtic,Kasper Schmeichel,kasper-schmeichel,K. Schmeichel,G,1,189,3870,M,1076,EUR,531532800,G,1,1,False,33.0,30.0,2.0,0.0,30.0,31.0,2.0,8.0,3.0,4.0,1.0,1.0,90.0,39.0,7.7,3.0,9.49e-05,0,1.2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764178,home,Celtic,Alistair Johnston,alistair-johnston,A. Johnston,D,2,180,903,M,984419,EUR,907804800,D,2,2,False,52.0,43.0,6.0,0.0,29.0,32.0,22.0,1.0,,,,,90.0,78.0,7.4,12.0,0.0396122,0,,,,3.0,15.0,2.0,1.0,1.0,1.0,3.0,7.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12764178,home,Celtic,Cameron Carter-Vickers,cameron-carter-vickers,C. Carter-Vickers,D,20,185,947,M,795972,EUR,883526400,D,20,20,False,72.0,67.0,,0.0,61.0,63.0,9.0,6.0,,,,,90.0,80.0,7.1,5.0,0.00242396,0,,,,,6.0,,,4.0,9.0,8.0,10.0,,,2.0,2.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12764178,home,Celtic,Auston Trusty,auston-trusty,A. Trusty,D,6,188,826,M,822459,EUR,902880000,D,6,6,False,76.0,69.0,1.0,0.0,55.0,59.0,17.0,2.0,,,,,90.0,92.0,7.7,7.0,0.00459516,1,,,,,14.0,,,3.0,2.0,4.0,5.0,,,6.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,0.129,,,,,,,,,,,,,,,,,
12764178,home,Celtic,Greg Taylor,greg-taylor,G. Taylor,D,32,174,526,M,839097,EUR,878688000,D,3,3,False,43.0,33.0,6.0,0.0,19.0,20.0,24.0,2.0,,,,,69.0,66.0,6.9,15.0,0.0186767,0,,,,1.0,14.0,1.0,,2.0,1.0,7.0,4.0,2.0,,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12764178,home,Celtic,Arne Engels,engels-arne,A. Engels,M,27,185,1612,M,1001867,EUR,1062979200,M,27,27,False,34.0,24.0,5.0,0.0,10.0,10.0,33.0,5.0,,,,,69.0,59.0,7.1,24.0,0.341838,2,,,,2.0,16.0,9.0,2.0,,1.0,2.0,5.0,1.0,,,,1.0,1.0,3.0,,,1.0,,,,0.837,1.0,2.0,,,1.0,2.0,0.6903,5.0,1.0,,,,,,,,
12764178,home,Celtic,Callum McGregor,callum-mcgregor,C. McGregor,M,42,178,978,M,97046,EUR,740016000,M,42,42,False,64.0,61.0,9.0,0.0,31.0,32.0,33.0,7.0,,,,,90.0,77.0,8.0,5.0,0.16031,1,,,,7.0,30.0,1.0,,2.0,,4.0,6.0,3.0,3.0,,1.0,3.0,1.0,,1.0,1.0,,,,,0.0183,,,,,,1.0,0.2348,1.0,,True,,,,,,,
12764178,home,Celtic,Reo Hatate,reo-hatate,R. Hatate,M,41,172,2324,M,891153,EUR,880070400,M,41,41,False,58.0,47.0,8.0,0.0,24.0,27.0,31.0,6.0,,,,,90.0,82.0,8.3,15.0,0.461159,4,,,,3.0,23.0,,,,1.0,4.0,8.0,3.0,2.0,2.0,,4.0,3.0,1.0,1.0,,,2.0,,,0.1323,2.0,,,,1.0,2.0,0.2239,2.0,,,,,,,,,
12764178,home,Celtic,Nicolas-Gerrit Kühn,nicolas-gerrit-kuhn,N. Kühn,F,19,174,2316,M,877835,EUR,946684800,F,10,10,False,20.0,11.0,2.0,0.0,2.0,4.0,16.0,5.0,,,,,89.0,32.0,6.8,12.0,0.0356125,1,,,,,9.0,,,1.0,,4.0,6.0,2.0,1.0,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,0.2037,,1.0,,1.0,,,,1.0,,,1.0,,,,,,
12764178,home,Celtic,Kyogo Furuhashi,furuhashi-kyogo,K. Furuhashi,F,9,170,4163,M,877766,EUR,790560000,F,8,8,False,5.0,1.0,,0.0,,,5.0,1.0,,,,,75.0,20.0,6.7,8.0,0.00412725,2,,,,,1.0,,,,,3.0,4.0,1.0,1.0,1.0,,1.0,,2.0,1.0,,,1.0,,,0.1112,2.0,2.0,,1.0,,,,,,,1.0,Kyogo_Furuhashi,,,,,
