match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_wonTackle,stat_blockedScoringAttempt,stat_keyPass,captain,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_goals,stat_unsuccessfulTouch,stat_totalOffside,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10382008,home,FC Volendam,Filip Stanković,filip-stankovic,F. Stanković,G,1,185,1035,M,986355,EUR,1014595200,G,1,1,False,37.0,23.0,30.0,16.0,8.0,11.0,15.0,26.0,1.0,6.0,2.0,2.0,90.0,45.0,7.3,16.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382008,home,FC Volendam,Brian Plat,brian-plat,B. Plat,D,4,191,60,M,980673,EUR,954892800,D,3,3,False,7.0,6.0,,,2.0,2.0,4.0,6.0,1.0,1.0,,,36.0,14.0,6.6,3.0,0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382008,home,FC Volendam,Xavier Mbuyamba,xavier-mbuyamba,X. Mbuyamba,D,3,195,632,M,974020,EUR,1009756800,D,31,31,False,52.0,39.0,6.0,3.0,22.0,25.0,17.0,27.0,7.0,5.0,,,90.0,67.0,7.4,13.0,1,,7.0,12.0,1.0,4.0,,,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10382008,home,FC Volendam,Benaissa Benamar,benaissa-benamar,B. Benamar,D,5,191,226,M,970791,EUR,860457600,D,6,6,False,46.0,37.0,11.0,5.0,26.0,30.0,11.0,16.0,3.0,8.0,,,90.0,59.0,7.3,11.0,0,,2.0,7.0,1.0,1.0,,,1.0,5.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10382008,home,FC Volendam,Derry Murkin,derry-murkin,D. Murkin,D,2,183,178,M,946561,EUR,933033600,D,5,5,False,24.0,20.0,1.0,,6.0,8.0,14.0,18.0,1.0,3.0,,,90.0,46.0,7.2,11.0,1,2.0,3.0,6.0,3.0,4.0,,,,1.0,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,
10382008,home,FC Volendam,Carel Eiting,carel-eiting,C. Eiting,M,6,178,347,M,803025,EUR,887155200,M,8,8,False,27.0,21.0,1.0,1.0,7.0,9.0,19.0,28.0,,5.0,,,90.0,46.0,8.3,13.0,1,10.0,7.0,7.0,2.0,2.0,,,,4.0,3.0,1.0,,,,2.0,1.0,1.0,,7.0,True,1.0,5.0,1.0,3.0,1.0,,,,,,,
10382008,home,FC Volendam,Damon Mirani,damon-mirani,D. Mirani,D,4,182,56,M,318575,EUR,831945600,M,4,4,False,46.0,31.0,5.0,2.0,11.0,13.0,20.0,33.0,4.0,2.0,,,90.0,61.0,8.8,16.0,4,,5.0,12.0,,1.0,,,3.0,10.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,2.0,,,,,,3.0,1.0,2.0,1.0,,,,
10382008,home,FC Volendam,Calvin Twigt,calvin-twigt,C. Twigt,M,8,183,95,M,1084944,EUR,1043884800,M,17,17,False,36.0,32.0,,,14.0,15.0,18.0,23.0,,7.0,,,90.0,50.0,6.6,9.0,0,2.0,6.0,5.0,4.0,1.0,Calvin Twigt,,3.0,1.0,,2.0,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,
10382008,home,FC Volendam,Daryl van Mieghem,daryl-van-mieghem,D. v. Mieghem,M,7,175,120,M,163539,EUR,628819200,F,7,7,False,25.0,21.0,3.0,1.0,8.0,8.0,13.0,19.0,,2.0,,,85.0,35.0,6.8,9.0,2,2.0,3.0,2.0,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,2.0,,1.0,,,,,,,
10382008,home,FC Volendam,Henk Veerman,henk-veerman,H. Veerman,F,9,201,406,M,313264,EUR,667526400,F,9,9,False,9.0,5.0,,,1.0,2.0,4.0,7.0,,,,,45.0,11.0,6.4,6.0,0,,1.0,,,,Henk,Veerman,1.0,,,,,,,1.0,,,,,,,,,,,,,2.0,2.0,,,
