match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_unsuccessfulTouch,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_wasFouled,stat_fouls,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_errorLeadToAGoal,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_errorLeadToAShot,stat_clearanceOffLine
11067303,home,Corinthians,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,12,12,False,True,31.0,24.0,18.0,11.0,20.0,22.0,4.0,9.0,6.0,2.0,3.0,90.0,36.0,7.7,7.0,0.00227992,0,1.0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067303,home,Corinthians,Fagner,fagner,Fagner,D,23,168,3781,M,Fagner,25554,EUR,613526400,D,23,23,False,,41.0,24.0,9.0,3.0,16.0,20.0,8.0,23.0,2.0,,,90.0,64.0,7.4,20.0,0.0147993,1,,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0188,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11067303,home,Corinthians,Gil,gil,Gil,D,4,191,1081,M,,106402,EUR,550454400,D,4,4,False,,50.0,39.0,7.0,4.0,35.0,41.0,4.0,9.0,7.0,,,90.0,59.0,7.4,11.0,0.00214644,0,,,2.0,5.0,,,3.0,1.0,2.0,2.0,1.0,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,
11067303,home,Corinthians,Lucas Veríssimo,lucas-verissimo,L. Veríssimo,D,28,188,1027,M,,826343,EUR,804643200,D,3,3,False,,48.0,41.0,5.0,4.0,32.0,35.0,9.0,13.0,5.0,,,90.0,59.0,7.4,8.0,0.00149144,0,,,1.0,3.0,,,5.0,1.0,3.0,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11067303,home,Corinthians,Matheus Bidu,matheus-bidu,M. Bidu,D,21,172,6254,M,,981703,EUR,925776000,D,21,21,False,,56.0,47.0,6.0,2.0,26.0,26.0,23.0,33.0,6.0,,,73.0,76.0,7.3,12.0,0.125058,1,,3.0,2.0,5.0,,,1.0,1.0,2.0,1.0,1.0,0.0155,1.0,,,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0215,,,,,,,,,,,,,
11067303,home,Corinthians,Gabriel Moscardo,gabriel-moscardo,G. Moscardo,M,17,185,5063,M,gabrielmoscardo,1485309,EUR,1127865600,M,44,44,False,,21.0,20.0,,,14.0,14.0,6.0,7.0,5.0,,,60.0,32.0,6.6,3.0,0.00369971,0,,,3.0,3.0,1.0,,,,2.0,1.0,,,,,,,,,,,,1.0,,,3.0,1.0,,,,,,,,,,,
11067303,home,Corinthians,Maycon,maycon,Maycon,M,8,175,3568,M,,831778,EUR,868924800,M,7,7,False,,56.0,50.0,7.0,3.0,26.0,29.0,24.0,27.0,7.0,,,90.0,72.0,7.3,8.0,0.134257,1,,,1.0,3.0,,,3.0,1.0,,1.0,1.0,0.0314,2.0,,,,,,,,1.0,1.0,,0.0923,2.0,1.0,,,,,,,,,,,
11067303,home,Corinthians,Giuliano,giuliano,Giuliano,M,,172,929,M,,90862,EUR,644112000,M,20,20,False,,26.0,21.0,1.0,,10.0,11.0,11.0,15.0,8.0,,,90.0,41.0,6.9,8.0,0.09558,1,,,3.0,4.0,1.0,,1.0,,1.0,4.0,2.0,0.0276,1.0,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,
11067303,home,Corinthians,Renato Augusto,renato-augusto,R. Augusto,M,7,185,1895,M,,34152,EUR,571276800,M,8,8,False,,32.0,28.0,,,7.0,9.0,21.0,23.0,,,,87.0,44.0,7.1,8.0,0.394021,0,,,1.0,2.0,,,,,2.0,1.0,,,,,,,,3.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,
11067303,home,Corinthians,Ángel Romero,angel-romero,Á. Romero,F,29,177,10605,M,ÁRomero,1197041,EUR,710208000,M,11,11,False,,24.0,19.0,1.0,,7.0,7.0,12.0,21.0,4.0,,,61.0,48.0,6.2,18.0,0.00852291,2,,4.0,5.0,5.0,,1.0,1.0,,,2.0,1.0,0.3535,,,,,1.0,3.0,,2.0,1.0,1.0,,,4.0,1.0,,,1.0,,,,,,,,
