match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,rescinded,player_id,player_name,from,confirmed,length,reason
11450022,FT,2.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11450022,,,,,90,12.0,,1,,,substitution,122621867.0,False,False,regular,,,,,,,,
11450022,,,,,90,5.0,,1,,,card,121285554.0,,True,yellow,Rey Manaj,False,587882.0,Rey Manaj,,,,
11450022,,2.0,2.0,,90,4.0,,1,,,goal,181416836.0,,True,penalty,,,587882.0,Rey Manaj,penalty,,,
11450022,,,,,90,1.0,,1,,,varDecision,25157.0,,True,penaltyNotAwarded,,,587882.0,Rey Manaj,,False,,
11450022,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,,10.0,
11450022,,,,,89,,,2,,,substitution,122621822.0,False,True,regular,,,,,,,,
11450022,,,,,89,,,2,,,substitution,122621821.0,False,True,regular,,,,,,,,
11450022,,,,,88,,,3,,,card,121285530.0,,True,yellow,Bengali-Fodé Koita,False,51407.0,Bengali-Fodé Koita,,,,Argument
11450022,,,,,85,,,6,,,substitution,122621805.0,False,True,regular,,,,,,,,
11450022,,1.0,2.0,,80,,,11,,,goal,181416136.0,,False,regular,,,226986.0,İrfan Can Kahveci,,,,
11450022,,,,,73,,,18,,,substitution,122621735.0,False,True,regular,,,,,,,,
11450022,,,,,73,,,18,,,substitution,122621734.0,False,True,regular,,,,,,,,
11450022,,,,,71,,,20,,,substitution,122621724.0,False,False,regular,,,,,,,,
11450022,,,,,71,,,20,,,substitution,122621723.0,False,False,regular,,,,,,,,
11450022,,,,,64,,,27,,,substitution,122621697.0,False,False,regular,,,,,,,,
11450022,,,,,64,,,27,,,substitution,122621696.0,False,False,regular,,,,,,,,
11450022,,,,,63,,,28,,,card,121285481.0,,True,yellow,Uğur Çiftçi,False,142850.0,Uğur Çiftçi,,,,Foul
11450022,,1.0,1.0,,57,,,34,,,goal,181415322.0,,True,regular,,,51407.0,Bengali-Fodé Koita,,,,
11450022,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11450022,,0.0,1.0,,45,2.0,,1,,,goal,181414096.0,,False,regular,,,243623.0,Fred,,,,
11450022,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,,2.0,
11450022,,,,,35,,,11,,,card,121285377.0,,False,yellow,İsmail Yüksek,False,952600.0,İsmail Yüksek,,,,Foul
11450022,,,,,-5,,,6,,,card,121285532.0,,True,yellow,İbrahim Akdağ,False,847053.0,İbrahim Akdağ,,,,Argument
