match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_interceptionWon,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalCross,stat_dispossessed,stat_accurateCross,player_sofascoreId,stat_goals,stat_errorLeadToAShot
14065106,home,SV Werder Bremen,Karl Hein,karl-hein,K. Hein,G,13,193,4097,M,991591,EUR,1018656000,G,13,13,False,57.0,45.0,23.0,11.0,0.0,38.0,43.0,7.0,14.0,1.0,1.0,2.0,9.0,2.0,3.0,1.0,2.0,2.0,90.0,66.0,7.4,12.0,0.00172618,0.0793,0,0.2911,0.09,0.0,0.22,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065106,home,SV Werder Bremen,Yukinari Sugawara,yukinari-sugawara,Y. Sugawara,D,3,179,2828,M,905347,EUR,962150400,D,3,3,False,38.0,28.0,7.0,2.0,0.0,21.0,25.0,7.0,13.0,2.0,5.0,6.0,,,,,,,90.0,58.0,7.2,15.0,0.00810164,,1,,0.08,0.03,0.32,,,,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.1179,0.4014,0.09,,,,,,,,,,,,,,,,
14065106,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,61.0,56.0,11.0,6.0,0.0,49.0,50.0,7.0,11.0,2.0,3.0,7.0,3.0,,,,,,90.0,73.0,7.4,6.0,0.0168991,,0,,0.22,0.06,0.26,,,,,,,,,1.0,,1.0,,,,,,True,2.0,1.0,,,,,,,,,,,,,
14065106,home,SV Werder Bremen,Karim Coulibaly,karim-coulibaly,K. Coulibaly,D,31,191,703,M,1797852,EUR,1179878400,D,31,31,False,60.0,52.0,8.0,4.0,0.0,50.0,53.0,2.0,7.0,3.0,7.0,8.0,4.0,,,,,,90.0,77.0,7.2,9.0,0.00077389,,1,,-0.07,0.02,0.43,,,,5.0,,1.0,1.0,,3.0,1.0,,1.0,1.0,0.2164,,-0.37,,1.0,,4.0,1.0,1.0,2.0,,,,,,,,,
14065106,home,SV Werder Bremen,Felix Agu,agu-felix,F. Agu,M,27,180,629,M,933398,EUR,938390400,D,27,27,False,22.0,18.0,2.0,1.0,0.0,12.0,14.0,6.0,8.0,,1.0,1.0,5.0,,,,,,44.0,35.0,7.3,6.0,0.105482,,0,,0.2,0.03,0.44,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,
14065106,home,SV Werder Bremen,Jens Stage,jens-stage,J. Stage,M,6,187,697,M,830142,EUR,847411200,M,6,6,False,40.0,21.0,,,0.0,14.0,18.0,7.0,22.0,5.0,10.0,2.0,3.0,,,,,,90.0,56.0,6.9,21.0,0.130723,,2,,-0.07,-0.55,-0.04,,,,5.0,1.0,3.0,2.0,1.0,1.0,1.0,,2.0,,0.1674,0.1088,0.01,,2.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,
14065106,home,SV Werder Bremen,Senne Lynen,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,14,14,False,39.0,34.0,2.0,2.0,0.0,27.0,29.0,7.0,10.0,1.0,2.0,3.0,8.0,,,,,,90.0,52.0,7.0,7.0,0.00935284,,0,,0.17,0.03,0.16,,,,3.0,2.0,,,,1.0,,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,
14065106,home,SV Werder Bremen,Cameron Puertas,cameron-puertas,C. Puertas,M,18,178,1148,M,916176,EUR,903398400,M,18,18,False,29.0,22.0,1.0,1.0,0.0,9.0,12.0,13.0,17.0,1.0,6.0,1.0,3.0,,,,,,81.0,65.0,6.4,24.0,0.0561987,,3,,-0.1,0.31,-0.12,,,,12.0,3.0,3.0,,,3.0,2.0,5.0,1.0,,0.1159,,-0.29,,1.0,,1.0,,1.0,,2.0,,2.0,4.0,4.0,,,,
14065106,home,SV Werder Bremen,Justin Njinmah,justin-njinmah,J. Njinmah,F,11,185,714,M,1005343,EUR,974246400,F,11,11,False,19.0,11.0,1.0,,0.0,4.0,6.0,7.0,13.0,4.0,6.0,,3.0,,,,,,60.0,30.0,6.7,14.0,0.01793,,1,,-0.05,0.04,-0.06,,,,5.0,1.0,3.0,,,2.0,1.0,2.0,,,0.02,,0.02,,,,1.0,,,,,,1.0,,,,,,
14065106,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,F,20,20,False,29.0,23.0,1.0,,0.0,8.0,12.0,15.0,17.0,,2.0,,4.0,,,,,,90.0,43.0,7.2,11.0,0.185699,,1,,0.57,0.46,0.14,,,,6.0,,3.0,1.0,,1.0,1.0,2.0,1.0,,0.0963,,-0.44,,2.0,4.0,3.0,,,,,1.0,1.0,1.0,,1.0,,,
