match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_wonContest,stat_hitWoodwork,stat_bigChanceCreated,captain,stat_savedShotsFromInsideTheBox,stat_ownGoals
11406867,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12749,M,yannsommer,16206,EUR,598320000,G,1,1,False,28.0,26.0,7.0,6.0,24.0,26.0,2.0,2.0,3.0,1.0,90.0,32.0,7.0,2.0,0.00078515,0,0.0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406867,home,Inter,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10877,M,benpavard21,787505,EUR,827971200,D,28,28,False,69.0,63.0,5.0,5.0,33.0,34.0,31.0,36.0,7.0,,90.0,83.0,8.2,6.0,0.40726,0,,1.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11406867,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5573,M,,126816,EUR,571449600,D,15,15,False,55.0,55.0,2.0,2.0,38.0,38.0,17.0,17.0,4.0,,90.0,65.0,7.1,,0.0142122,1,,,,1.0,2.0,1.0,4.0,,1.0,,,1.0,,1.0,1.0,0.0295,,,,,,,,,,,,,,,,,
11406867,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15274,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,65.0,59.0,3.0,1.0,32.0,35.0,28.0,34.0,3.0,,89.0,80.0,7.3,12.0,0.0142474,2,,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,0.1265,2.0,1.0,1.0,1.0,1.0,1.0,0.5826,,,,,,,,,,
11406867,home,Inter,Matteo Darmian,matteo-darmian,M. Darmian,M,36,182,3779,M,,19352,EUR,628560000,M,36,36,False,25.0,20.0,1.0,1.0,7.0,8.0,14.0,21.0,1.0,,73.0,51.0,6.9,12.0,0.0344691,0,,4.0,1.0,,1.0,3.0,1.0,1.0,,3.0,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,
11406867,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21290,M,nicolo_barella,363856,EUR,855273600,M,23,23,False,74.0,62.0,3.0,2.0,21.0,27.0,41.0,49.0,7.0,,89.0,87.0,6.8,18.0,0.0452114,2,,2.0,,,8.0,2.0,,,,1.0,1.0,,2.0,1.0,2.0,0.3808,1.0,3.0,2.0,,1.0,1.0,0.464,,,1.0,1.0,,,,,,
11406867,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32988,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,106.0,100.0,12.0,9.0,40.0,42.0,61.0,72.0,7.0,,90.0,126.0,7.8,14.0,0.0932754,2,,8.0,1.0,,,2.0,2.0,,2.0,1.0,,,1.0,,1.0,0.0782,,,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,
11406867,home,Inter,Henrikh Mkhitaryan,henrikh-mkhitaryan,H. Mkhitaryan,M,22,178,8680,M,micki_taryan,37151,EUR,601344000,M,22,22,False,48.0,42.0,1.0,1.0,18.0,20.0,24.0,30.0,7.0,,90.0,67.0,7.2,11.0,0.133013,2,,2.0,,1.0,4.0,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0583,2.0,1.0,,1.0,,2.0,,,,1.0,,,,,,,
11406867,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15308,M,dimarco32,284361,EUR,879120000,M,32,32,False,26.0,22.0,1.0,,10.0,10.0,16.0,23.0,3.0,,73.0,41.0,7.7,7.0,0.5209,2,,7.0,4.0,1.0,2.0,2.0,2.0,,,2.0,1.0,,4.0,,1.0,0.2002,,,,2.0,,,,,,,,,,1.0,,,
11406867,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25521,M,m_thuram,791702,EUR,870825600,F,9,9,False,14.0,6.0,1.0,,1.0,1.0,6.0,15.0,3.0,,77.0,34.0,7.1,13.0,0.112929,1,,2.0,1.0,4.0,5.0,8.0,1.0,,,1.0,,1.0,1.0,1.0,,0.1156,3.0,,3.0,,,2.0,,,,1.0,,3.0,,,,,
