match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_wasFouled,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_hitWoodwork,stat_goalAssist,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_crossNotClaimed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,player_sofascoreId
10382229,home,Sparta Rotterdam,Tobias Lauritsen,tobias-lauritsen,T. Lauritsen,F,9,192,737,M,796943,EUR,872899200,F,9,9,False,15.0,10.0,,,1.0,2.0,9.0,13.0,1.0,,,,,,85.0,32.0,6.6,9.0,5,,8.0,5.0,12.0,,,,,1.0,1.0,3.0,1.0,3.0,3.0,3.0,,3.0,2.0,,,,1.0,,,,,,,1.0,,,,,
10382229,home,Sparta Rotterdam,Aaron Meijers,aaron-meijers,A. Meijers,D,14,176,30,M,32386,EUR,562377600,D,15,15,True,9.0,5.0,2.0,,2.0,2.0,3.0,9.0,,3.0,,,,,28.0,19.0,6.6,6.0,0,2.0,2.0,3.0,4.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,Aaron,Meijers,,,,,1.0,,,,,,,,
10382229,home,Sparta Rotterdam,Jeremy van Mullem,jeremy-van-mullem,J. v. Mullem,D,14,184,54,M,990722,EUR,921715200,D,16,16,True,9.0,5.0,,,1.0,3.0,4.0,6.0,1.0,1.0,,,,,19.0,15.0,6.7,5.0,1,,2.0,2.0,3.0,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Koki Saito,koki-saito,K. Saito,M,14,170,1063,M,905356,EUR,997401600,M,19,19,True,6.0,6.0,,,2.0,2.0,4.0,4.0,,2.0,,,,,19.0,11.0,6.7,1.0,2,,1.0,4.0,2.0,1.0,,,1.0,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,
10382229,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,14,14,True,1.0,,1.0,,,,,1.0,,1.0,,,,,10.0,1.0,6.4,1.0,0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Delano van Crooij,delano-van-crooy,D. v. Crooij,G,,182,15,M,108714,EUR,676080000,G,30,30,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Youri Schoonderwaldt,youri-schoonderwaldt,Y. Schoonderwaldt,G,13,195,40,M,996720,EUR,952905600,G,20,20,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Augustin Drakpe,augustin-drakpe,A. Drakpe,D,14,185,105,M,1048332,EUR,1007769600,D,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Augustin,Drakpe,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Rick Meissen,rick-meissen,R. Meissen,D,3,193,44,M,1048906,EUR,1014508800,D,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Rick Meijssen,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Pedro Alemañ,pedro-aleman-serna,P. Alemañ,M,8,182,58,M,996933,EUR,1016668800,M,18,18,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Mohammed Tahiri,mohammed-tahiri,M. Tahiri,F,19,177,95,M,1066323,EUR,980121600,F,21,21,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Elias Hoff Melkersen,elias-hoff-melkersen,E. H. Melkersen,F,9,178,111,M,984722,EUR,1041292800,F,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382229,home,Sparta Rotterdam,Patrick Brouwer,patrick-brouwer,P. Brouwer,F,27,176,92,M,1066319,EUR,984960000,M,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
