match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_outfielderBlock,stat_wasFouled,stat_totalContest,stat_wonContest,stat_accurateCross,stat_challengeLost,stat_goals,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,captain,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_totalOffside
14109653,home,Galatasaray,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192,4886,M,754330,EUR,828662400,G,1,1,False,34.0,20.0,25.0,12.0,0.0,12.0,15.0,8.0,19.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,90.0,45.0,6.3,14.0,0.00135343,0.1106,1.0,0,0.2617,0.1,0.03,-0.22,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109653,home,Galatasaray,Roland Sallai,roland-sallai,R. Sallai,F,7,182,8501,M,355088,EUR,864259200,D,7,7,False,34.0,28.0,3.0,1.0,1.0,16.0,20.0,12.0,14.0,1.0,2.0,,,,,,90.0,69.0,7.0,12.0,0.0378121,,1.0,2,,-0.05,0.22,-0.14,,,,rolandsallai,1.0,2.0,2.0,6.0,8.0,2.0,2.0,2.0,6.0,3.0,1.0,3.0,0.0956,0.3546,0.15,,,,,,,,,,,,,,
14109653,home,Galatasaray,Wilfried Singo,wilfried-singo,W. Singo,D,90,190,12176,M,978285,EUR,977702400,D,90,90,False,39.0,30.0,6.0,1.0,0.0,18.0,20.0,12.0,19.0,2.0,6.0,,,,,,90.0,56.0,7.0,14.0,0.0273757,,,0,,0.01,0.11,0.18,,,,stephane_singo,,2.0,3.0,5.0,7.0,1.0,,2.0,3.0,2.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,
14109653,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,178963,EUR,778896000,D,42,42,False,51.0,47.0,5.0,2.0,0.0,35.0,36.0,12.0,15.0,4.0,3.0,,,,,,90.0,60.0,6.7,5.0,0.00393756,,1.0,0,,0.09,0.11,-0.14,,,,abdulkerimbard1,,1.0,1.0,1.0,3.0,,,2.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,
14109653,home,Galatasaray,Ismail Jakobs,ismail-jakobs,I. Jakobs,D,4,184,7106,M,897291,EUR,934848000,D,4,4,False,48.0,42.0,3.0,1.0,0.0,24.0,27.0,18.0,21.0,2.0,4.0,,,,,,69.0,69.0,7.4,12.0,0.113282,,2.0,0,,0.25,0.13,0.18,,,,ismaijakobs,5.0,,,,5.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,2.0,2.0,1.0,,,,,,,,,
14109653,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,754794,EUR,823996800,M,34,34,False,35.0,32.0,4.0,2.0,0.0,15.0,16.0,17.0,19.0,,6.0,,,,,,68.0,43.0,7.6,3.0,0.00839382,,,1,,0.09,0.03,-0.08,,,,ltorreira34,,1.0,,5.0,4.0,,1.0,1.0,2.0,1.0,,3.0,0.0201,0.1182,0.55,,2.0,,,,1.0,1.0,,,,,,,
14109653,home,Galatasaray,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,50691,M,45853,EUR,656726400,M,20,20,False,49.0,46.0,3.0,3.0,0.0,23.0,26.0,23.0,23.0,,5.0,,,,,,75.0,52.0,7.0,3.0,0.493585,,1.0,1,,0.36,0.16,-0.09,,,,IGunny,,,,3.0,,,,1.0,,,,1.0,0.0145,,-0.1,,,,,,2.0,,1.0,,,,,,
14109653,home,Galatasaray,Leroy Sané,leroy-sane,L. Sané,M,10,184,41260,M,293519,EUR,821318400,M,10,10,False,34.0,27.0,1.0,1.0,0.0,15.0,16.0,12.0,18.0,,7.0,1.0,,,,,90.0,62.0,6.8,21.0,0.27804,,1.0,2,,0.06,0.6,-0.27,,,,LeroySane,7.0,,2.0,6.0,7.0,2.0,,3.0,2.0,,3.0,2.0,0.0846,,-0.52,,,4.0,3.0,,1.0,,,2.0,,,,,
14109653,home,Galatasaray,Yunus Akgün,yunus-akgun,Y. Akgün,M,11,173,9047,M,857738,EUR,962928000,M,11,11,False,28.0,25.0,,,1.0,12.0,12.0,13.0,16.0,,2.0,,,,,,68.0,38.0,8.7,6.0,0.231526,,2.0,3,,0.05,0.66,-0.03,,,,yunusakgun17,1.0,,,1.0,4.0,,2.0,,1.0,1.0,2.0,,0.328,0.7409,0.49,,1.0,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,
14109653,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13210,M,904096,EUR,959040000,M,53,53,False,26.0,16.0,,,0.0,4.0,4.0,12.0,22.0,,3.0,,,,,,74.0,38.0,6.6,16.0,0.0823451,,,1,,0.11,0.47,-0.06,,,,barisalperyilmaz,1.0,2.0,3.0,6.0,4.0,,1.0,,,,2.0,5.0,0.2614,0.5271,0.17,,1.0,1.0,,,,,,,,,,,
