match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_wonTackle,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,player_sofascoreId,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget
12499294,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,30.0,20.0,16.0,6.0,0.0,16.0,18.0,4.0,12.0,1.0,11.0,2.0,6.0,1.0,90.0,44.0,8.2,10.0,0.0073758,0,1.6356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499294,home,Torino,Mërgim Vojvoda,mergim-vojvoda,M. Vojvoda,D,31,187,1424,M,798147,EUR,791596800,D,27,27,False,8.0,7.0,,,0.0,5.0,6.0,2.0,2.0,,1.0,,,,20.0,12.0,6.5,2.0,0.00237402,0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12499294,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,59.0,52.0,4.0,3.0,0.0,38.0,39.0,14.0,20.0,5.0,1.0,,,,90.0,68.0,7.3,8.0,0.00489805,0,,2.0,3.0,2.0,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12499294,home,Torino,Adam Masina,adam-masina,A. Masina,D,,189,5428,M,259995,EUR,757468800,D,5,5,False,70.0,63.0,1.0,1.0,0.0,43.0,46.0,20.0,24.0,4.0,4.0,,,,90.0,87.0,7.5,10.0,0.00979872,0,,3.0,5.0,11.0,2.0,2.0,3.0,,9.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,
12499294,home,Torino,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,16,178,644,M,934409,EUR,963705600,M,16,16,False,9.0,8.0,1.0,1.0,0.0,6.0,6.0,2.0,6.0,,3.0,,,,45.0,20.0,6.6,7.0,0.00139147,0,,,2.0,2.0,1.0,1.0,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
12499294,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,M,28,28,False,45.0,43.0,2.0,2.0,0.0,15.0,16.0,28.0,30.0,3.0,6.0,,,,90.0,57.0,7.0,5.0,0.029705,1,,,1.0,4.0,,,2.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,3.0,0.2615,,,,,,,,,
12499294,home,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2109,M,189135,EUR,791683200,M,77,77,False,26.0,20.0,2.0,2.0,0.0,12.0,14.0,8.0,12.0,,,,,,62.0,36.0,6.6,11.0,0.0627728,0,,,4.0,2.0,1.0,1.0,4.0,2.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,,
12499294,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,8,8,False,31.0,25.0,3.0,2.0,0.0,14.0,18.0,12.0,15.0,,2.0,,,,74.0,45.0,6.9,12.0,0.199423,2,,1.0,4.0,4.0,,,2.0,1.0,1.0,,,,,,2.0,2.0,,,,1.0,3.0,0.0817,1.0,1.0,1.0,1.0,,,,,
12499294,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,M,20,20,False,50.0,39.0,3.0,,0.0,23.0,25.0,16.0,31.0,1.0,5.0,,,,90.0,70.0,6.7,21.0,0.084673,0,,,1.0,2.0,1.0,1.0,3.0,,,1.0,,,,,6.0,,,,,,1.0,,,,,,,,,,
12499294,home,Torino,Duván Zapata,duvan-zapata,D. Zapata,F,91,189,6003,M,38162,EUR,670464000,F,91,91,False,16.0,9.0,,,0.0,4.0,4.0,5.0,12.0,,1.0,,,,74.0,25.0,6.8,10.0,0.0355213,2,,2.0,6.0,6.0,1.0,,2.0,3.0,3.0,,,,,,,1.0,,,,2.0,3.0,0.1025,,,,,duvanzapata91,True,,,
