match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_errorLeadToAShot,captain,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_goals
14025245,home,Nottingham Forest,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,26,26,False,23.0,9.0,14.0,1.0,0.0,8.0,13.0,1.0,10.0,1.0,1.0,2.0,7.0,1.0,2.0,3.0,1.0,2.0,2.0,90.0,33.0,5.1,15.0,0.00019012,0.1131,0,-0.8425,-0.07,0.01,-0.77,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025245,home,Nottingham Forest,Neco Williams,williams-neco,N. Williams,D,3,183,3198,M,927356,EUR,987120000,D,3,3,False,29.0,21.0,1.0,,0.0,14.0,16.0,7.0,13.0,,3.0,1.0,3.0,,,,,,,90.0,54.0,5.9,16.0,0.0062783,,1,,-0.29,0.11,-0.3,,,,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5275,-0.36,,,,,,,,,,,,,,,
14025245,home,Nottingham Forest,Nikola Milenković,nikola-milenkovic,N. Milenković,D,31,195,5064,M,836168,EUR,876614400,D,31,31,False,56.0,51.0,4.0,2.0,0.0,33.0,35.0,18.0,21.0,2.0,5.0,1.0,3.0,,,,,,,90.0,66.0,6.1,6.0,0.0234077,,3,,0.08,0.3,-0.53,,,,,2.0,3.0,1.0,1.0,1.0,2.0,,1.0,,,,2.0,,0.3123,-0.54,milenkovicn_4,1.0,1.0,0.0768,,,,,,,,,,,
14025245,home,Nottingham Forest,Morato,morato,F. Morato,D,4,190,2248,M,985086,EUR,993859200,D,4,4,False,45.0,42.0,4.0,2.0,0.0,37.0,38.0,5.0,7.0,1.0,7.0,2.0,1.0,,,,,,,90.0,56.0,6.6,3.0,0.00338192,,0,,0.08,0.04,-0.27,,,,,,4.0,1.0,,,,1.0,1.0,3.0,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,
14025245,home,Nottingham Forest,Murillo,murillo,Murillo,D,5,180,9781,M,1199282,EUR,1025740800,D,5,5,False,45.0,35.0,7.0,3.0,0.0,25.0,27.0,10.0,18.0,,1.0,4.0,3.0,,,,,,,74.0,55.0,6.5,10.0,0.00687513,,0,,0.25,0.07,-0.12,,Murillo,,,1.0,1.0,,1.0,,,,2.0,,,,,,,,murillosantiago40,1.0,,,,,,,,,,,,,
14025245,home,Nottingham Forest,Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,47,175,18055,M,287643,EUR,850608000,D,35,35,False,30.0,23.0,5.0,2.0,0.0,13.0,14.0,10.0,16.0,,5.0,3.0,3.0,,,,,,,74.0,50.0,6.5,10.0,0.129924,,0,,0.27,0.03,-0.46,,,,3.0,2.0,6.0,3.0,2.0,,,,1.0,4.0,3.0,,,,,,OZinchenko,1.0,,,1.0,1.0,1.0,,,,,,,,
14025245,home,Nottingham Forest,Douglas Luiz,douglas-luiz,D. Luiz,M,21,175,11801,M,867887,EUR,894672000,M,12,12,False,22.0,19.0,1.0,,0.0,13.0,13.0,6.0,9.0,,1.0,,1.0,,,,,,,53.0,29.0,6.9,8.0,0.217211,,0,,0.54,0.09,-0.12,,,,1.0,,3.0,,2.0,,,,,,,1.0,1.0,,,,Douglas_Luiz,,,,,1.0,1.0,1.0,,,,,,,
14025245,home,Nottingham Forest,Ibrahim Sangaré,ibrahim-sangare,I. Sangaré,M,6,191,10181,M,843754,EUR,881020800,M,6,6,False,47.0,43.0,2.0,1.0,0.0,15.0,18.0,28.0,29.0,1.0,7.0,1.0,2.0,,,,,,,90.0,61.0,7.3,6.0,0.03382,,2,,0.33,0.04,-0.09,,,,1.0,1.0,5.0,1.0,2.0,,1.0,2.0,,4.0,1.0,,1.0,2.0,0.2468,0.03,ibrahim_sangare,1.0,1.0,0.4771,,,1.0,,,,,,,,
14025245,home,Nottingham Forest,Elliot Anderson,elliot-anderson,E. Anderson,M,8,179,7705,M,994546,EUR,1036540800,M,8,8,False,63.0,53.0,6.0,2.0,0.0,32.0,34.0,21.0,29.0,,7.0,,9.0,,,,,,,90.0,85.0,6.7,18.0,0.231578,,0,,0.32,0.53,-0.33,,,,4.0,2.0,7.0,1.0,3.0,,,,2.0,1.0,,4.0,4.0,1.0,,,,2.0,,,3.0,,2.0,2.0,1.0,,,,,,
14025245,home,Nottingham Forest,Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,865912,EUR,948931200,F,10,10,False,40.0,32.0,2.0,2.0,0.0,13.0,14.0,19.0,26.0,,2.0,1.0,4.0,,,,,,,90.0,55.0,5.8,13.0,0.198842,,4,,0.22,0.15,-0.3,,,,1.0,,6.0,2.0,3.0,1.0,2.0,,1.0,,,2.0,1.0,2.0,0.4998,-0.47,Morgangibbs27,1.0,,,,1.0,1.0,,1.0,True,2.0,1.0,,,
