match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_saves,stat_keeperSaveValue,stat_bigChanceMissed,stat_outfielderBlock,stat_errorLeadToAShot,stat_bigChanceCreated
14083253,home,Sevilla,Ørjan Nyland,,,orjan-nyland,Ø. Nyland,G,13,192,1050,M,22209,EUR,652924800,G,13,13,False,21.0,16.0,11.0,6.0,0.0,11.0,12.0,5.0,9.0,1.0,1.0,1.0,4.0,90.0,24.0,6.3,5.0,0.00305108,0,-1.1437,0.07,0.0,-0.16,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083253,home,Sevilla,César Azpilicueta,,,cesar-azpilicueta,C. Azpilicueta,D,3,178,4642,M,21555,EUR,620265600,D,3,3,False,43.0,41.0,1.0,1.0,0.0,20.0,20.0,21.0,23.0,1.0,8.0,3.0,4.0,90.0,78.0,6.9,16.0,0.0496841,0,,0.25,0.07,-0.32,,Dave,3.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
14083253,home,Sevilla,Tanguy Nianzou,,,tanguy-nianzou,T. Nianzou,D,5,192,1231,M,1003007,EUR,1023408000,D,5,5,False,32.0,28.0,5.0,2.0,0.0,16.0,16.0,12.0,16.0,2.0,7.0,6.0,1.0,61.0,49.0,6.7,6.0,0.00598674,0,,0.17,0.06,-0.15,,,,,5.0,,1.0,,,3.0,2.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,
14083253,home,Sevilla,Marcão,,,marcao,Marcão,D,23,185,1053,M,840951,EUR,833932800,D,23,23,False,38.0,35.0,1.0,,0.0,18.0,19.0,17.0,19.0,3.0,8.0,7.0,4.0,90.0,54.0,6.5,5.0,0.00658982,2,,0.12,0.22,-0.39,,,1.0,,6.0,2.0,,,,3.0,1.0,,2.0,3.0,1.0,1.0,1.0,0.0609,-0.28,,,,,,,,,,,,,,
14083253,home,Sevilla,Juanlu Sánchez,,,juanlu-sanchez,J. Sánchez,M,16,186,1123,M,1010655,EUR,1060905600,M,16,16,False,32.0,25.0,2.0,,0.0,5.0,6.0,20.0,26.0,4.0,12.0,1.0,5.0,79.0,57.0,6.7,20.0,0.0143115,0,,-0.26,0.03,-0.12,,,4.0,,7.0,1.0,4.0,2.0,,2.0,2.0,4.0,4.0,1.0,,,,,,3.0,,,,,,,,,,,,,
14083253,home,Sevilla,Nemanja Gudelj,,,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,68332,EUR,690249600,M,6,6,False,16.0,13.0,1.0,,0.0,3.0,4.0,10.0,12.0,,2.0,1.0,3.0,61.0,24.0,6.6,3.0,0.00691079,0,,0.04,0.03,-0.05,,,,,1.0,,,,2.0,2.0,1.0,,,,1.0,,,,,,True,,,,,,,,,,,,
14083253,home,Sevilla,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191,1300,M,859021,EUR,947635200,M,19,19,False,30.0,24.0,3.0,1.0,0.0,7.0,8.0,17.0,22.0,,5.0,3.0,2.0,90.0,46.0,6.6,8.0,0.0135641,0,,0.0,0.01,-0.04,,,,,4.0,,,,2.0,3.0,2.0,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,
14083253,home,Sevilla,Alfon González,,,alfon-gonzalez,A. González,F,17,172,607,M,1468090,EUR,925776000,M,17,17,False,12.0,12.0,,,0.0,4.0,4.0,8.0,8.0,1.0,2.0,2.0,5.0,61.0,28.0,6.6,8.0,0.00979476,1,,0.13,0.15,-0.04,,,1.0,,3.0,,3.0,,,,,3.0,1.0,,,,1.0,0.0187,-0.1,,,,,,,,,,,,,,
14083253,home,Sevilla,Ruben Vargas,,,ruben-vargas,R. Vargas,M,11,179,2690,M,872919,EUR,902275200,F,11,11,False,27.0,18.0,,,1.0,3.0,4.0,15.0,23.0,1.0,2.0,,4.0,79.0,46.0,7.1,18.0,0.207956,1,,0.37,0.22,-0.01,,,7.0,4.0,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,0.0223,0.01,2.0,,1.0,0.0289,3.0,,,,,,,,,
14083253,home,Sevilla,Lucien Agoumé,,,lucien-agoume,L. Agoumé,M,18,185,2096,M,960006,EUR,1013212800,F,18,18,False,52.0,45.0,5.0,2.0,0.0,7.0,8.0,38.0,44.0,1.0,2.0,,7.0,90.0,58.0,6.7,7.0,0.0375412,0,,0.33,0.15,0.15,,,,,5.0,,,,2.0,1.0,1.0,,,2.0,3.0,,,,,,,,,1.0,,,,,,,,,
