match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_outfielderBlock,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,captain,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_dispossessed,stat_totalKeeperSweeper,stat_blockedScoringAttempt,stat_totalOffside
11368633,home,Deportivo Alavés,Jesús Owono,,,jesus-owono,J. Owono,G,13,183.0,434,M,990659,EUR,983404800,G,31,31,False,27.0,18.0,17.0,8.0,10.0,10.0,8.0,17.0,1.0,1.0,5.0,2.0,2.0,3.0,90.0,34.0,6.9,9.0,0.00231564,0,-0.0447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368633,home,Deportivo Alavés,Nahuel Tenaglia,,,nahuel-tenaglia,N. Tenaglia,D,14,182.0,1025,M,896073,EUR,824860800,D,14,14,False,30.0,26.0,4.0,3.0,13.0,14.0,14.0,19.0,1.0,3.0,3.0,,,,90.0,46.0,6.9,7.0,0.405248,1,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0223,2.0,,,,,,,,,,,,,,,,,,
11368633,home,Deportivo Alavés,Abdelkabir Abqar,,,abqar-abdelkabir,A. Abqar,D,3,188.0,4060,M,1101232,EUR,921024000,D,5,5,False,31.0,28.0,4.0,1.0,17.0,19.0,11.0,12.0,1.0,2.0,3.0,,,,90.0,40.0,6.5,3.0,0.00434802,0,,,,2.0,4.0,1.0,,3.0,1.0,1.0,1.0,,,abdel.abqar,1.0,1.0,,,,,,,,,,,,,,,
11368633,home,Deportivo Alavés,Rafa Marín,,,rafa-marin,R. Marín,D,4,190.0,2354,M,984623,EUR,1021766400,D,16,16,False,38.0,35.0,8.0,6.0,23.0,24.0,12.0,14.0,2.0,8.0,3.0,,,,90.0,54.0,7.2,4.0,0.00438427,1,,,,1.0,2.0,,,3.0,2.0,5.0,2.0,0.2215,,,,1.0,1.0,1.0,1.0,1.0,0.3196,,,,,,,,,,
11368633,home,Deportivo Alavés,Javi López,,,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,27,27,False,22.0,17.0,2.0,,3.0,4.0,15.0,20.0,,4.0,4.0,,,,80.0,39.0,7.0,9.0,0.0546617,2,,2.0,1.0,1.0,3.0,,1.0,,,,,0.0984,1.0,,2.0,1.0,,1.0,2.0,2.0,0.1962,3.0,2.0,,,,,,,,
11368633,home,Deportivo Alavés,Carlos Benavídez,,,carlos-benavidez,C. Benavídez,M,23,185.0,382,M,873717,EUR,891216000,M,23,23,False,18.0,16.0,1.0,1.0,,,16.0,19.0,,3.0,2.0,,,,63.0,28.0,6.8,5.0,0.143826,0,,1.0,,,2.0,1.0,,,,2.0,1.0,,,,1.0,,,,1.0,,,2.0,1.0,True,,,,,,,
11368633,home,Deportivo Alavés,Ander Guevara,,,ander-guevara,A. Guevara,M,6,180.0,265,M,891931,EUR,868233600,M,6,6,False,30.0,25.0,1.0,1.0,11.0,13.0,14.0,17.0,,5.0,2.0,,,,90.0,41.0,7.1,5.0,0.144278,0,,,,,1.0,,,1.0,,4.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,
11368633,home,Deportivo Alavés,Carlos Vicente,,,vicente-carlos,C. Vicente,M,23,179.0,1926,M,1084399,EUR,924825600,M,22,22,False,7.0,5.0,1.0,1.0,1.0,1.0,6.0,10.0,1.0,3.0,3.0,,,,63.0,20.0,7.0,8.0,0.625704,1,,4.0,2.0,,6.0,1.0,,,,,,0.0972,2.0,,,3.0,,1.0,1.0,,0.0757,4.0,2.0,,2.0,,,,,,
11368633,home,Deportivo Alavés,Jon Guridi,,,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,32.0,29.0,3.0,2.0,10.0,10.0,19.0,22.0,2.0,4.0,3.0,,,,90.0,43.0,8.9,4.0,0.0213706,4,,,,1.0,3.0,,1.0,,2.0,1.0,1.0,0.6645,,,,2.0,,3.0,1.0,,1.6905,1.0,1.0,,,2.0,,,,,
11368633,home,Deportivo Alavés,Giuliano Simeone,,,giuliano-simeone,G. Simeone,M,20,178.0,16028,M,1099352,EUR,1040169600,M,20,20,False,18.0,13.0,1.0,,4.0,5.0,10.0,16.0,1.0,1.0,4.0,,,,73.0,30.0,6.7,11.0,0.202857,0,,3.0,1.0,,5.0,1.0,,1.0,,,,,3.0,giulisimeone,,1.0,,,1.0,,,2.0,,,1.0,,1.0,1.0,,,
