match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,captain,stat_totalCross,stat_totalTackle,stat_wonTackle,stat_penaltyWon,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_goals,stat_goalAssist,stat_totalOffside,player_firstName,player_lastName,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_outfielderBlock
10434098,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,187,62,M,94540,EUR,647568000,G,35,35,False,20.0,17.0,5.0,2.0,17.0,18.0,2.0,1.0,12.0,1.0,1.0,1.0,1.0,90.0,26.0,6.7,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434098,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,175,36,M,893014,EUR,776390400,D,2,2,False,66.0,60.0,4.0,3.0,26.0,28.0,38.0,2.0,6.0,,,,,90.0,85.0,6.7,12.0,0,7,34.0,3.0,1.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434098,home,Sivasspor,Aaron Appindangoyé,aaron-appindangoye,A. Appindangoyé,D,185,334,M,785850,EUR,698544000,D,4,4,False,69.0,60.0,11.0,5.0,45.0,47.0,22.0,1.0,4.0,,,,,90.0,77.0,6.7,9.0,2,2,15.0,2.0,5.0,1.0,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10434098,home,Sivasspor,Dimitris Goutas,dimitris-goutas,D. Goutas,D,189,261,M,257497,EUR,765417600,D,6,6,False,66.0,60.0,5.0,4.0,45.0,48.0,18.0,1.0,6.0,,,,,90.0,78.0,7.0,9.0,2,6,15.0,3.0,3.0,4.0,1.0,1.0,,1.0,2.0,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
10434098,home,Sivasspor,Ziya Erdal,ziya-erdal,Z. Erdal,D,182,28,M,138312,EUR,568339200,D,58,58,False,62.0,59.0,3.0,2.0,28.0,28.0,35.0,,5.0,,,,,90.0,78.0,6.5,6.0,0,,31.0,6.0,2.0,2.0,,,1.0,4.0,1.0,1.0,,,,,,,True,1.0,1.0,1.0,,,,,,,,,,,,,,
10434098,home,Sivasspor,Hakan Arslan,hakan-arslan,H. Arslan,M,186,42,M,60646,EUR,585187200,M,37,37,False,27.0,25.0,3.0,3.0,13.0,13.0,14.0,,4.0,,,,,72.0,35.0,7.2,3.0,1,,12.0,4.0,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
10434098,home,Sivasspor,Erdoğan Yeşilyurt,erdogan-yesilyurt,E. Yeşilyurt,D,178,77,M,142541,EUR,752544000,M,17,17,False,39.0,28.0,2.0,1.0,6.0,9.0,41.0,,5.0,,,,,85.0,63.0,7.8,23.0,3,17,25.0,4.0,2.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,2.0,,11.0,,,,4.0,3.0,1.0,2.0,1.0,,,,,,,,
10434098,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,177,130,M,317297,EUR,789868800,M,15,15,False,56.0,49.0,9.0,8.0,24.0,25.0,32.0,1.0,9.0,,,,,89.0,76.0,8.0,9.0,0,8,25.0,6.0,14.0,,,3.0,,1.0,1.0,4.0,3.0,2.0,,,,,,1.0,8.0,6.0,,2.0,,,,,1.0,,,,,,,
10434098,home,Sivasspor,Samu Sáiz,samu-saiz,S. Sáiz,M,174,123,M,99527,EUR,664502400,M,24,24,False,48.0,46.0,4.0,4.0,10.0,10.0,40.0,,3.0,,,,,85.0,62.0,8.8,9.0,2,,37.0,3.0,3.0,,4.0,,,,,1.0,3.0,2.0,,,,2.0,,2.0,1.0,,,4.0,1.0,1.0,1.0,2.0,,,,,,,,
10434098,home,Sivasspor,Max Gradel,max-gradel,M. Gradel,M,177,1287,M,16590,EUR,565228800,M,7,7,False,37.0,28.0,1.0,,5.0,5.0,41.0,,3.0,,,,,90.0,66.0,7.2,22.0,3,,25.0,4.0,7.0,,1.0,1.0,1.0,,,1.0,4.0,4.0,1.0,1.0,1.0,1.0,,9.0,2.0,2.0,,2.0,2.0,2.0,1.0,,1.0,,,,,,,
