match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_expectedGoals,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_shotOffTarget,stat_totalOffside,stat_errorLeadToAGoal,stat_hitWoodwork
12514221,home,Moreirense,Kewin,kewin,Kewin,G,1,187,111,M,865371,EUR,790992000,G,40,40,False,31.0,21.0,17.0,7.0,0.0,19.0,21.0,2.0,10.0,1.0,9.0,1.0,1.0,4.0,90.0,41.0,6.6,11.0,0.00028677,0,-1.2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514221,home,Moreirense,Dinis Pinto,dinis-pinto,D. Pinto,D,76,178,150,M,1160980,EUR,967075200,D,76,76,False,32.0,23.0,3.0,2.0,0.0,10.0,11.0,14.0,24.0,6.0,2.0,,,,90.0,76.0,6.8,20.0,0.0754461,0,,Dinis Pinto,,3.0,1.0,2.0,8.0,6.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
12514221,home,Moreirense,Marcelo,marcelo,Marcelo,D,44,182,57,M,156318,EUR,617500800,D,44,44,False,52.0,40.0,11.0,4.0,0.0,32.0,35.0,8.0,17.0,2.0,3.0,,,,90.0,61.0,6.4,12.0,0.00360021,0,,,,,,2.0,5.0,4.0,,,,1.0,2.0,1.0,,1.0,True,2.0,2.0,1.0,,,,,,,,,,,,,
12514221,home,Moreirense,Maracás,maracas,Maracás,D,26,184,121,M,931485,EUR,767404800,D,26,26,False,45.0,35.0,10.0,6.0,0.0,31.0,36.0,4.0,9.0,7.0,3.0,,,,90.0,59.0,7.0,10.0,0.00274073,0,,,,,,1.0,2.0,6.0,,,,2.0,,,,1.0,,4.0,,1.0,2.0,,,,,,,,,,,,
12514221,home,Moreirense,Godfried Frimpong,godfried-frimpong,G. Frimpong,D,21,180,173,M,931743,EUR,924652800,D,23,23,False,32.0,21.0,4.0,,0.0,15.0,19.0,6.0,15.0,3.0,5.0,,,,90.0,59.0,6.4,20.0,0.0128255,0,,,,2.0,,,2.0,2.0,,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
12514221,home,Moreirense,Sidnei Tavares,sidnei-tavares,S. Tavares,M,8,188,129,M,989889,EUR,1001721600,M,5,5,False,3.0,3.0,1.0,1.0,0.0,3.0,3.0,,1.0,1.0,,,,,30.0,9.0,6.6,2.0,9.88e-06,0,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12514221,home,Moreirense,Rúben Ramos Ismael,ruben-ramos-ismael,Ismael,M,16,184,179,M,1469058,EUR,922320000,M,6,6,False,34.0,29.0,3.0,3.0,0.0,12.0,14.0,17.0,21.0,3.0,1.0,,,,90.0,54.0,7.2,9.0,0.0268081,1,,,,1.0,,1.0,3.0,8.0,1.0,,,1.0,6.0,4.0,2.0,1.0,,1.0,,,1.0,1.0,0.0146,2.0,,,,,,,,,
12514221,home,Moreirense,Pedro Santos,pedro-santos,P. Santos,M,80,178,297,M,1120040,EUR,1044835200,M,21,21,False,16.0,13.0,,,0.0,3.0,4.0,10.0,13.0,,,,,,61.0,26.0,6.9,8.0,0.0501572,0,,,,1.0,,1.0,2.0,3.0,,,,,1.0,1.0,4.0,2.0,,,,,2.0,,,1.0,,,,,,,,,
12514221,home,Moreirense,Alan,alan,Alan,M,11,163,525,M,905455,EUR,952473600,M,11,11,False,35.0,32.0,,,0.0,18.0,19.0,14.0,17.0,,7.0,,,,79.0,50.0,6.9,9.0,0.0231324,3,,,,1.0,,,3.0,4.0,2.0,3.0,3.0,,,,2.0,1.0,,,,,1.0,2.0,0.2187,1.0,1.0,0.1158,,,,,,,
12514221,home,Moreirense,Bernardo Martins,bernardo-martins,B. Martins,M,8,176,81,M,845811,EUR,881193600,M,20,20,False,23.0,19.0,3.0,2.0,0.0,9.0,9.0,10.0,14.0,1.0,5.0,,,,61.0,36.0,7.3,6.0,0.0254762,2,,,,,,1.0,6.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,,2.0,,,,0.1356,1.0,2.0,0.762,1.0,,,,,,
12514221,home,Moreirense,Guilherme Schettine,guilherme-schettine,G. Schettine,F,95,178,325,M,856119,EUR,813283200,F,95,95,False,13.0,10.0,,,0.0,2.0,2.0,8.0,12.0,,2.0,,,,62.0,29.0,7.4,9.0,0.0177584,3,,,,1.0,,2.0,7.0,2.0,1.0,1.0,,,,,3.0,3.0,,1.0,,,1.0,,0.379,,3.0,0.5976,,1.0,1.0,,,,
12514221,home,Moreirense,Lawrence Ofori,lawrence-ofori,L. Ofori,M,80,181,149,M,892170,EUR,898992000,M,80,80,True,35.0,30.0,2.0,1.0,0.0,23.0,25.0,7.0,10.0,,6.0,,,,60.0,44.0,6.9,6.0,0.0176333,0,,,,,,1.0,2.0,5.0,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,
12514221,home,Moreirense,Ivo Rodrigues,ivo-rodrigues,I. Rodrigues,M,7,182,202,M,190171,EUR,796521600,F,8,8,True,7.0,6.0,1.0,1.0,0.0,4.0,4.0,2.0,3.0,,1.0,,,,29.0,14.0,6.6,3.0,0.00230239,0,,,,,,1.0,2.0,1.0,,,,1.0,,,2.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,
12514221,home,Moreirense,Jeremy Antonisse,jeremy-antonisse,J. Antonisse,F,7,177,139,M,1092638,EUR,1017360000,F,10,10,True,5.0,3.0,,,0.0,2.0,2.0,1.0,3.0,,,,,,29.0,7.0,6.2,4.0,0.00093499,0,,Jeremy,Antonisse,,,,4.0,1.0,1.0,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,
