match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_aerialLost,stat_wasFouled,player_sofascoreId,stat_dispossessed,stat_totalContest,stat_wonContest,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_goalAssist,stat_goals,stat_outfielderBlock,stat_hitWoodwork,stat_goodHighClaim,stat_errorLeadToAShot
10388305,home,RB Leipzig,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,21,21,False,45.0,34.0,14.0,4.0,32.0,37.0,2.0,8.0,1.0,7.0,1.0,1.0,90.0,50.0,7.2,11.0,0.0,0.0,0.00057887,0,0.0311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388305,home,RB Leipzig,Lukas Klostermann,lukas-klostermann,L. Klostermann,D,16,188,717,M,319853,EUR,833760000,D,16,16,False,76.0,68.0,9.0,5.0,51.0,56.0,17.0,21.0,3.0,8.0,,,90.0,88.0,7.0,11.0,0.0199,0.0,0.0145859,1,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10388305,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,63.0,61.0,4.0,4.0,46.0,47.0,15.0,16.0,1.0,5.0,,,90.0,74.0,7.6,2.0,0.0,0.0,0.00482034,0,,,1.0,1.0,6.0,,,2.0,3.0,2.0,,,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
10388305,home,RB Leipzig,Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,50096,M,964994,EUR,1011744000,D,32,32,False,57.0,50.0,4.0,4.0,27.0,34.0,23.0,23.0,1.0,1.0,,,59.0,65.0,6.9,9.0,0.0,0.0,0.142335,0,,,2.0,3.0,3.0,,,1.0,,,,,,2.0,,JGvardiol,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10388305,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,M,2,2,False,41.0,28.0,2.0,1.0,12.0,16.0,16.0,28.0,,6.0,,,81.0,67.0,7.2,20.0,0.0713,0.0,0.112034,2,,3.0,1.0,3.0,4.0,,,,1.0,,2.0,1.0,,2.0,1.0,,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,
10388305,home,RB Leipzig,Konrad Laimer,konrad-laimer,K. Laimer,D,27,180,7452,M,355492,EUR,864691200,M,27,27,False,36.0,32.0,2.0,1.0,7.0,8.0,25.0,29.0,,1.0,,,90.0,56.0,6.4,11.0,0.0196,0.1016,0.0671974,1,,1.0,,12.0,9.0,3.0,,,2.0,1.0,1.0,3.0,,1.0,3.0,KonradLaimer,2.0,7.0,4.0,,,,,1.0,,,,,,,,,,
10388305,home,RB Leipzig,Kevin Kampl,kevin-kampl,K. Kampl,M,,178,752,M,84251,EUR,655430400,M,44,44,False,66.0,59.0,5.0,2.0,30.0,31.0,29.0,36.0,,12.0,,,90.0,76.0,7.3,12.0,0.0,0.0,0.0648464,0,,1.0,,1.0,3.0,1.0,,2.0,1.0,,3.0,,,,1.0,,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,
10388305,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,M,22,22,False,29.0,22.0,3.0,2.0,13.0,18.0,9.0,14.0,1.0,6.0,,,59.0,51.0,6.7,15.0,0.0819,0.0,0.005665,1,,3.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
10388305,home,RB Leipzig,Timo Werner,timo-werner,T. Werner,F,36,180,18941,M,232306,EUR,826070400,F,11,11,False,45.0,34.0,2.0,1.0,11.0,11.0,24.0,37.0,,7.0,,,90.0,69.0,6.8,22.0,0.2174,0.0,0.156074,3,,3.0,1.0,6.0,5.0,,1.0,,1.0,,4.0,1.0,,1.0,1.0,timowerner,1.0,5.0,2.0,4.0,,,2.0,,,1.0,1.0,1.0,,,,,,
10388305,home,RB Leipzig,Emil Forsberg,emil-forsberg,E. Forsberg,M,10,179,2256,M,51785,EUR,688176000,F,10,10,False,21.0,19.0,1.0,1.0,3.0,3.0,17.0,20.0,,3.0,,,59.0,29.0,7.2,8.0,0.0,0.0,0.335098,0,,2.0,,5.0,,1.0,,,,,3.0,2.0,,1.0,,,,1.0,,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,
