match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalOffside,stat_expectedGoals,player_firstName,player_lastName,player_sofascoreId,stat_totalTackle,stat_wonTackle,stat_fouls,stat_dispossessed,stat_accurateCross,stat_challengeLost,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_blockedScoringAttempt
12450969,home,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,True,26.0,19.0,13.0,6.0,0.0,15.0,16.0,4.0,10.0,1.0,1.0,1.0,8.0,4.0,90.0,36.0,7.6,7.0,0.00219069,1.0,0,0.1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450969,home,Stade Rennais,Hans Hateboer,hans-hateboer,H. Hateboer,D,33,185,622,M,356352,EUR,758073600,D,33,33,False,,53.0,48.0,7.0,6.0,0.0,28.0,30.0,20.0,24.0,3.0,1.0,1.0,5.0,,90.0,61.0,7.4,6.0,0.0172634,,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0254,,,,,,,,,,,,,,,,,,
12450969,home,Stade Rennais,Christopher Wooh,christopher-wooh,C. Wooh,D,3,190,3805,M,930231,EUR,1000771200,D,4,4,False,,43.0,41.0,4.0,2.0,0.0,28.0,29.0,13.0,14.0,4.0,,,2.0,,90.0,53.0,7.3,2.0,0.0672448,,0,,,,2.0,1.0,,5.0,,1.0,1.0,,,,,chriswooh,1.0,1.0,1.0,,,,,,,,,,,,
12450969,home,Stade Rennais,Alidu Seidu,alidu-seidu,A. Seidu,D,36,173,2225,M,1049515,EUR,960076800,D,36,36,False,,57.0,54.0,4.0,2.0,0.0,31.0,33.0,23.0,24.0,3.0,2.0,1.0,7.0,,90.0,81.0,7.1,9.0,0.0139841,,1,,,2.0,,5.0,1.0,4.0,1.0,,,,0.0603,Alidu Seidu,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
12450969,home,Stade Rennais,Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179,641,M,1009334,EUR,961632000,M,22,22,False,,40.0,36.0,1.0,1.0,1.0,14.0,15.0,23.0,27.0,3.0,2.0,2.0,4.0,,90.0,64.0,7.5,11.0,0.19391,1.0,0,,2.0,1.0,1.0,6.0,,3.0,1.0,1.0,,,,,,,,,3.0,1.0,1.0,2.0,3.0,,,,,,,,
12450969,home,Stade Rennais,Baptiste Santamaria,baptiste-santamaria,B. Santamaria,M,22,183,473,M,344751,EUR,794707200,M,8,8,False,,57.0,53.0,6.0,4.0,1.0,23.0,24.0,30.0,34.0,4.0,1.0,,4.0,,90.0,66.0,7.2,7.0,0.103164,2.0,1,,1.0,2.0,2.0,4.0,1.0,,1.0,,,,0.0288,,,,2.0,,,,,1.0,1.0,,,,,,,,
12450969,home,Stade Rennais,Azor Matusiwa,azor-matusiwa,A. Matusiwa,M,5,173,458,M,856495,EUR,893721600,M,6,6,False,,46.0,44.0,4.0,4.0,0.0,21.0,21.0,23.0,25.0,7.0,2.0,2.0,5.0,,89.0,59.0,7.2,4.0,0.110411,,0,,,,1.0,3.0,,2.0,,,,,,,,,4.0,1.0,2.0,1.0,,,1.0,,,,,,,,
12450969,home,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,999028,EUR,1006214400,M,3,3,False,,31.0,27.0,2.0,,0.0,8.0,9.0,19.0,28.0,4.0,3.0,1.0,4.0,,81.0,46.0,6.7,13.0,0.0326764,2.0,0,,6.0,1.0,1.0,6.0,,,,,1.0,,,,,,1.0,,1.0,,,2.0,1.0,,,,,,,,
12450969,home,Stade Rennais,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,F,11,11,False,,27.0,22.0,1.0,1.0,0.0,5.0,6.0,18.0,28.0,2.0,2.0,,3.0,,82.0,41.0,7.2,14.0,0.145155,,1,,7.0,1.0,,6.0,,1.0,,,1.0,,0.0742,,,,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,0.7469,,,,,
12450969,home,Stade Rennais,Arnaud Kalimuendo,arnaud-kalimuendo,A. Kalimuendo,F,25,175,3552,M,954061,EUR,1011484800,F,9,9,False,,19.0,17.0,,,0.0,5.0,5.0,12.0,14.0,5.0,3.0,1.0,2.0,,68.0,31.0,7.5,8.0,0.0720376,,2,,,,2.0,5.0,1.0,,,,1.0,,0.1445,,,,1.0,1.0,,3.0,,,1.0,1.0,1.0,0.5894,,,,,
