match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_aerialLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoalsOnTarget,stat_bigChanceCreated,captain,stat_accurateCross,stat_shotOffTarget,stat_bigChanceMissed,stat_hitWoodwork
14053640,home,SC Heerenveen,Andries Noppert,andries-noppert,A. Noppert,G,44,203.0,437,M,339339,EUR,765676800,G,44,44,False,47.0,31.0,24.0,9.0,0.0,24.0,27.0,7.0,20.0,2.0,1.0,3.0,1.0,4.0,6.0,1.0,3.0,3.0,1.0,2.0,1.0,90.0,56.0,6.9,16.0,0.00277451,0.6615,0,-0.313,0.1,0.02,-0.28,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,
14053640,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,45,174.0,210,M,1150061,EUR,1077321600,D,45,45,False,53.0,43.0,9.0,5.0,0.0,21.0,22.0,22.0,31.0,2.0,3.0,7.0,,3.0,6.0,2.0,,,,,,90.0,80.0,6.8,15.0,0.0210542,,1,,0.02,0.04,-0.21,,Oliver Braude,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.1474,1.0,0.02,,,,,,,,,,,
14053640,home,SC Heerenveen,Sam Kersten,sam-kersten,S. Kersten,D,4,191.0,85,M,847072,EUR,886118400,D,4,4,False,55.0,53.0,1.0,,0.0,35.0,35.0,18.0,20.0,1.0,2.0,2.0,,9.0,4.0,,,,,,,90.0,72.0,6.8,3.0,0.0120948,,0,,0.27,0.03,0.16,,,,2.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
14053640,home,SC Heerenveen,Nikolai Soyset Hopland,hopland-nikolai-soyset,N. S. Hopland,D,17,186.0,225,M,1121247,EUR,1090627200,D,17,17,False,61.0,56.0,2.0,1.0,0.0,34.0,35.0,22.0,26.0,2.0,1.0,3.0,,2.0,4.0,1.0,,,,,,83.0,68.0,7.6,6.0,0.0113142,,1,,0.18,0.08,-0.21,,,,,,,,,,,,,1.0,0.777,1.0,0.49,,1.0,1.0,1.0,0.9835,,,,,,
14053640,home,SC Heerenveen,Vasilios Zagaritis,vassilis-zagaritis,V. Zagaritis,D,19,178.0,228,M,1064426,EUR,988934400,D,19,19,False,49.0,38.0,1.0,1.0,1.0,17.0,21.0,21.0,28.0,4.0,6.0,13.0,1.0,7.0,1.0,2.0,,,,,,90.0,86.0,7.5,19.0,0.274723,,0,,0.27,0.15,-0.19,,,3.0,2.0,1.0,2.0,2.0,,,1.0,5.0,5.0,1.0,,1.0,,,,,2.0,,1.0,,,,,
14053640,home,SC Heerenveen,Marcus Linday,marcus-linday,M. Linday,M,16,186.0,209,M,1627623,EUR,1054512000,M,16,16,False,46.0,43.0,1.0,1.0,0.0,10.0,12.0,33.0,34.0,1.0,5.0,9.0,1.0,,3.0,1.0,,,,,,90.0,62.0,7.3,7.0,0.0854768,,0,,0.21,0.39,-0.04,,Marcus Linday,,,,3.0,1.0,,1.0,,6.0,3.0,2.0,,1.0,,,,,2.0,,,,,,,
14053640,home,SC Heerenveen,Joris van Overeem,joris-van-overeem,J. v. Overeem,M,6,181.0,105,M,138842,EUR,770428800,M,6,6,False,47.0,34.0,4.0,1.0,0.0,9.0,12.0,25.0,35.0,1.0,6.0,3.0,3.0,3.0,4.0,2.0,,,,,,90.0,67.0,6.8,19.0,0.202395,,1,,0.4,0.03,-0.14,,,1.0,2.0,1.0,,,,,,,,5.0,0.0264,3.0,-0.03,,,,,,,True,1.0,1.0,,
14053640,home,SC Heerenveen,Jacob Trenskow,trenskow-jacob,J. Trenskow,M,20,178.0,430,M,1015627,EUR,975196800,M,20,20,False,32.0,26.0,1.0,,0.0,9.0,10.0,17.0,22.0,,2.0,1.0,1.0,3.0,2.0,,,,,,,90.0,49.0,7.4,14.0,0.115901,,4,,-0.02,-0.26,0.15,,,4.0,,1.0,1.0,1.0,2.0,,,,,2.0,0.4392,1.0,0.48,,1.0,1.0,,0.6084,,,,1.0,,
14053640,home,SC Heerenveen,Ringo Meerveld,ringo-meerveld,R. Meerveld,M,10,177.0,421,M,992018,EUR,1040428800,M,10,10,False,29.0,24.0,2.0,,0.0,2.0,3.0,22.0,26.0,1.0,1.0,6.0,,1.0,2.0,1.0,,,,,,90.0,44.0,8.5,7.0,0.499549,,3,,0.42,0.55,-0.05,,,2.0,,1.0,4.0,4.0,1.0,,1.0,,,,0.5571,4.0,0.27,,2.0,,,0.9437,1.0,,1.0,,1.0,
14053640,home,SC Heerenveen,Maxence Rivera,rivera-maxence,M. Rivera,M,7,168.0,135,M,1014408,EUR,1022716800,M,7,7,False,33.0,30.0,,,0.0,4.0,4.0,26.0,29.0,1.0,8.0,3.0,,,2.0,1.0,,,,,,90.0,50.0,7.8,13.0,0.606685,,3,,0.88,0.7,-0.12,,,5.0,1.0,1.0,4.0,1.0,2.0,,,,,1.0,0.1173,3.0,-0.29,,,,3.0,,1.0,,,1.0,,
