match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_goalAssist,stat_totalContest,stat_wonContest,stat_totalOffside,player_lastName,stat_accurateCross,stat_bigChanceMissed,player_sofascoreId,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltyWon,stat_outfielderBlock
11408451,home,Sporting Braga,Matheus,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,33.0,29.0,7.0,3.0,27.0,30.0,2.0,3.0,1.0,9.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,90.0,41.0,6.8,4.0,0.00065579,0,0.9103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408451,home,Sporting Braga,Victor Gómez,victor-gomez,V. Gómez,D,2,169,297,M,877918,EUR,954547200,D,2,2,False,28.0,24.0,5.0,2.0,12.0,13.0,12.0,21.0,3.0,5.0,,,,,,,,90.0,48.0,7.0,11.0,0.11994,2,,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0592,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11408451,home,Sporting Braga,Serdar Saatçı,serdar-saatci,S. Saatçı,D,15,190,434,M,1084880,EUR,1045180800,D,5,5,False,61.0,53.0,9.0,4.0,39.0,41.0,14.0,21.0,1.0,4.0,,,,,,,,89.0,67.0,6.5,10.0,0.0105304,2,,1.0,,3.0,4.0,1.0,1.0,,,,1.0,0.1006,,Serdar Saatci,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11408451,home,Sporting Braga,Paulo Oliveira,paulo-oliveira,P. Oliveira,D,15,187,180,M,106751,EUR,694828800,D,15,15,False,60.0,54.0,8.0,4.0,44.0,44.0,10.0,16.0,1.0,1.0,,,,,,,,57.0,62.0,6.8,6.0,0.00353113,0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11408451,home,Sporting Braga,Cristián Borja,cristian-borja,C. Borja,D,26,182,1124,M,831038,EUR,729993600,D,26,26,False,45.0,39.0,4.0,,14.0,18.0,25.0,31.0,,4.0,,,,,,,,73.0,62.0,7.0,12.0,0.0357223,1,,4.0,2.0,5.0,2.0,1.0,,,2.0,,3.0,0.0125,1.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,
11408451,home,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,M,11,11,False,19.0,14.0,3.0,2.0,5.0,7.0,9.0,15.0,1.0,5.0,,,,,,,,85.0,44.0,7.0,11.0,0.0215071,2,,3.0,,7.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0678,,,1.0,4.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
11408451,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,966575,EUR,934416000,M,16,16,False,48.0,45.0,6.0,4.0,23.0,24.0,24.0,29.0,,4.0,,,,,,,,73.0,66.0,7.4,8.0,0.0885906,2,,5.0,,3.0,8.0,2.0,,,,1.0,,0.0549,3.0,,,1.0,1.0,5.0,3.0,,,3.0,2.0,,,2.0,,,,,,,,,,,
11408451,home,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,28,28,False,93.0,86.0,11.0,8.0,43.0,46.0,43.0,47.0,3.0,8.0,,,,,,,,90.0,106.0,7.6,8.0,0.0827433,0,,,1.0,2.0,3.0,,,2.0,1.0,1.0,1.0,,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,
11408451,home,Sporting Braga,Bruma,bruma,Bruma,F,7,173,2690,M,97012,EUR,782956800,M,7,7,False,40.0,34.0,,,5.0,5.0,29.0,35.0,,4.0,,,,,,,,85.0,57.0,7.1,11.0,0.121126,6,,,,4.0,5.0,5.0,1.0,,,1.0,,0.3062,1.0,,1.0,,2.0,1.0,1.0,,,4.0,2.0,,,,1.0,,,,,,,,,,
11408451,home,Sporting Braga,Simon Banza,simon-banza,S. Banza,F,9,189,10452,M,825945,EUR,839894400,F,23,23,False,18.0,12.0,3.0,1.0,1.0,2.0,11.0,16.0,,1.0,,,,,,,,90.0,31.0,7.7,11.0,0.0139613,3,,,1.0,4.0,5.0,,,,5.0,1.0,3.0,0.46,,,2.0,,,,,,,2.0,2.0,,,,,simbnz,3.0,1.0,1.0,0.8604,,,,,
