match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_wasFouled,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalCross,stat_shotOffTarget,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceMissed,player_sofascoreId,stat_penaltyWon,captain,stat_totalOffside,stat_penaltyMiss,stat_goals,stat_penaltyConceded,stat_penaltySave,stat_penaltyFaced
12906414,home,Lazio,Christos Mandas,christos-mandas,C. Mandas,G,29,189,1753,M,913762,EUR,1000684800,G,35,35,False,39.0,25.0,23.0,9.0,0.0,22.0,23.0,3.0,16.0,6.0,1.0,1.0,2.0,2.0,90.0,47.0,6.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12906414,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,750,M,273405,EUR,754531200,D,29,29,False,28.0,23.0,1.0,1.0,0.0,14.0,16.0,9.0,12.0,3.0,,,,,90.0,47.0,6.6,10.0,1,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12906414,home,Lazio,Samuel Gigot,samuel-gigot,S. Gigot,D,2,187,801,M,339231,EUR,750384000,D,2,2,False,45.0,39.0,5.0,1.0,1.0,28.0,31.0,11.0,14.0,1.0,,,,,90.0,61.0,7.6,6.0,0,,2.0,1.0,6.0,,,,,,6.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12906414,home,Lazio,Patric,patric,Patric,D,4,184,503,M,217784,EUR,735004800,D,4,4,False,79.0,73.0,9.0,6.0,0.0,45.0,45.0,28.0,34.0,4.0,,,,,90.0,90.0,7.1,6.0,1,,,,1.0,,,,,,5.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
12906414,home,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1317,M,136322,EUR,760147200,D,23,23,False,43.0,38.0,3.0,2.0,0.0,16.0,16.0,22.0,28.0,4.0,,,,,90.0,61.0,7.2,6.0,0,2.0,,3.0,3.0,,,,,,5.0,,,1.0,3.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,
12906414,home,Lazio,Nicolò Rovella,nicolo-rovella,N. Rovella,M,6,179,2973,M,937324,EUR,1007424000,M,6,6,False,72.0,68.0,6.0,6.0,0.0,33.0,35.0,35.0,37.0,4.0,,,,,90.0,86.0,7.4,5.0,1,,,2.0,4.0,2.0,,,,,2.0,,,1.0,4.0,3.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,
12906414,home,Lazio,Fisayo Dele-Bashiru,dele-bashiru-oluwafisayo,F. Dele-Bashiru,M,7,186,3768,M,910121,EUR,981417600,M,7,7,False,34.0,33.0,,,0.0,5.0,5.0,28.0,29.0,2.0,,,,,73.0,42.0,6.8,3.0,1,,,2.0,1.0,1.0,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
12906414,home,Lazio,Loum Tchaouna,loum-tchaouna,L. Tchaouna,F,17,180,1359,M,1004505,EUR,1062979200,M,20,20,False,23.0,16.0,4.0,2.0,0.0,5.0,5.0,14.0,24.0,2.0,,,,,90.0,47.0,6.8,17.0,1,3.0,,6.0,2.0,1.0,,,,,3.0,,,,2.0,1.0,2.0,1.0,,,,,6.0,1.0,6.0,3.0,1.0,,,,,,,,,
12906414,home,Lazio,Pedro,pedro,Pedro,F,9,167,5291,M,35428,EUR,554428800,M,9,9,False,33.0,27.0,2.0,1.0,1.0,12.0,13.0,16.0,23.0,3.0,,,,,60.0,41.0,7.9,10.0,0,,,,2.0,,,1.0,1.0,,,1.0,2.0,,,,,2.0,,,,,3.0,,1.0,1.0,,Pedro,1.0,,,,,,,
12906414,home,Lazio,Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,M,10,176,4726,M,293581,EUR,803260800,M,10,10,False,37.0,32.0,2.0,2.0,1.0,6.0,7.0,27.0,33.0,4.0,,,,,60.0,60.0,6.8,12.0,1,,,5.0,7.0,,,6.0,2.0,1.0,,4.0,1.0,,1.0,,1.0,3.0,,,,,3.0,,1.0,1.0,1.0,,,True,1.0,1.0,,,,
