match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,player_firstName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_wonTackle,player_lastName,stat_aerialWon,stat_fouls,captain,stat_blockedScoringAttempt,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_outfielderBlock,stat_penaltyMiss,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyFaced,player_sofascoreId,stat_goals,stat_penaltyConceded,stat_hitWoodwork
14167927,home,Stade Brestois,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191,1544,M,849114,EUR,942710400,G,1,1,False,27.0,15.0,24.0,13.0,0.0,3.0,5.0,12.0,22.0,10.0,3.0,5.0,90.0,39.0,6.7,13.0,0.00343862,0.4209,0,-0.564,0.02,-0.02,-0.21,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167927,home,Stade Brestois,Kenny Lala,kenny-lala,K. Lala,D,77,178,604,M,141080,EUR,686448000,D,77,77,False,26.0,16.0,9.0,6.0,0.0,9.0,11.0,7.0,15.0,6.0,,,90.0,46.0,6.5,16.0,0.0796311,,1,,0.25,0.04,-0.5,,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.005,-0.03,,,,,,,,,,,,,,,,,,,,,,,,
14167927,home,Stade Brestois,Michel Diaz,michel-diaz,M. Diaz,D,4,193,403,M,1400993,EUR,1058918400,D,4,4,False,15.0,10.0,8.0,4.0,0.0,6.0,8.0,4.0,7.0,1.0,,,90.0,22.0,6.2,5.0,0.00133079,,0,,0.05,0.01,-0.32,,,,3.0,1.0,1.0,,3.0,1.0,2.0,,,,,Michel Diaz,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
14167927,home,Stade Brestois,Soumaila Coulibaly,soumaila-coulibaly,S. Coulibaly,D,44,190,1100,M,1001858,EUR,1066089600,D,44,44,False,26.0,24.0,5.0,4.0,0.0,20.0,21.0,4.0,5.0,4.0,,,90.0,37.0,6.1,2.0,0.00123235,,0,,0.02,0.02,-0.44,,,,1.0,,,,7.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14167927,home,Stade Brestois,Bradley Locko,bradley-locko,B. Locko,D,2,180,637,M,1129382,EUR,1020643200,D,2,2,False,16.0,16.0,,,0.0,12.0,12.0,4.0,4.0,1.0,,,79.0,33.0,6.7,3.0,0.00557779,,0,,0.07,0.07,-0.25,,,,7.0,,,,2.0,,5.0,2.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
14167927,home,Stade Brestois,Joris Chotard,joris-chotard,J. Chotard,M,13,179,541,M,976396,EUR,1001289600,M,13,13,False,30.0,19.0,8.0,4.0,0.0,13.0,18.0,6.0,12.0,4.0,,,90.0,46.0,6.9,13.0,0.00204517,,0,,-0.03,0.12,-0.01,,,,7.0,,,,2.0,2.0,4.0,2.0,2.0,,,,1.0,3.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,
14167927,home,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,194,M,861324,EUR,896486400,M,8,8,False,19.0,12.0,2.0,1.0,0.0,7.0,7.0,5.0,12.0,3.0,,,78.0,26.0,6.3,7.0,0.0019797,,1,,-0.08,0.02,-0.07,,,,1.0,,,,1.0,1.0,1.0,,,0.033,-0.03,,,2.0,,,,,2.0,True,1.0,,,,,,,,,,,,,,
14167927,home,Stade Brestois,Junior Dina Ebimbe,junior-dina-ebimbe,J. D. Ebimbe,M,7,183,2068,M,904994,EUR,974764800,M,7,7,False,10.0,6.0,,,0.0,,2.0,6.0,8.0,1.0,,,67.0,20.0,6.9,7.0,0.186505,,0,,0.31,0.28,-0.09,,1.0,,4.0,,,,,,3.0,1.0,1.0,,,,1.0,3.0,,1.0,,,2.0,,,1.0,1.0,2.0,,,,,,,,,,,
14167927,home,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,825681,EUR,828057600,M,10,10,False,24.0,19.0,1.0,,0.0,9.0,9.0,10.0,15.0,1.0,,,89.0,44.0,5.5,14.0,0.0703694,,2,,0.01,0.12,-0.21,,6.0,3.0,3.0,2.0,,2.0,,1.0,2.0,4.0,1.0,0.8254,-1.0,,,2.0,,2.0,,,1.0,,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,
14167927,home,Stade Brestois,Pathé Mboup,pathe-mboup,P. Mboup,M,99,175,1976,M,1410231,EUR,1066521600,M,99,99,False,11.0,10.0,,,0.0,7.0,7.0,3.0,4.0,9.0,,,67.0,26.0,6.6,4.0,0.00349646,,3,,0.02,0.08,-0.06,,1.0,,7.0,2.0,1.0,2.0,,1.0,4.0,1.0,1.0,0.5033,-0.56,Pathé Mboup,,2.0,,4.0,,1.0,1.0,,,,,,1.0,,,1.0,0.3787,,,,,,
