match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_bigChanceCreated,stat_wasFouled,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_goals,stat_bigChanceMissed,stat_fouls,player_firstName,player_lastName,stat_accurateCross,stat_shotOffTarget,stat_totalOffside,stat_lastManTackle,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14572996,home,ŠK Slovan Bratislava,Martin Trnovský,martin-trnovsky,M. Trnovský,G,31,191.0,36,M,856203,EUR,960336000,G,31,31,False,29.0,19.0,14.0,4.0,0.0,18.0,22.0,1.0,7.0,6.0,2.0,1.0,90.0,35.0,7.1,10.0,0.00011255,15.182571737556,2.0,-2.835,-0.84,0.1002,0,0.3301,-0.01,-0.04,0.36,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572996,home,ŠK Slovan Bratislava,Kenan Bajrić,kenan-bajric,K. Bajrić,D,12,190.0,155,M,230932,EUR,787881600,D,12,12,False,37.0,31.0,1.0,,0.0,22.0,26.0,9.0,11.0,2.0,,,78.0,50.0,6.7,8.0,0.00580629,17.06080890471,3.0,-2.73,3.57,,0,,0.03,0.02,0.81,,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572996,home,ŠK Slovan Bratislava,Guram Kashia,guram-kashia,G. Kashia,D,4,185.0,888,M,43136,EUR,552355200,D,4,4,False,39.0,33.0,3.0,2.0,1.0,24.0,26.0,9.0,13.0,1.0,,,90.0,53.0,7.5,7.0,0.00247194,50.924619620896,7.0,13.65,13.125,,3,,0.04,0.02,0.48,,1.0,2.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,True,1.0,2.0,1.0,0.3507,0.7826,1.0,0.21,,,,,,,,,,,,,,,,,,,
14572996,home,ŠK Slovan Bratislava,Kevin Wimmer,kevin-wimmer,K. Wimmer,D,6,187.0,138,M,141203,EUR,721785600,D,6,6,False,48.0,37.0,8.0,4.0,0.0,28.0,33.0,9.0,15.0,7.0,,,90.0,63.0,7.4,12.0,0.00629505,41.303449899823,6.0,25.095,18.06,,0,,0.16,0.04,0.57,,2.0,,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,
14572996,home,ŠK Slovan Bratislava,César Blackman,cesar-blackman,C. Blackman,D,28,174.0,601,M,841793,EUR,891475200,M,28,28,False,43.0,40.0,2.0,2.0,0.0,19.0,21.0,21.0,22.0,8.0,,,90.0,67.0,8.5,10.0,0.177648,98.516397459992,11.0,35.385,32.025,,1,,0.08,0.38,0.25,,1.0,,5.0,7.0,4.0,1.0,1.0,,,2.0,,1.0,1.0,,0.18,0.7071,1.0,0.53,,1.0,1.0,1.0,8.0,6.0,1.0,,,,,,,,,,,,
14572996,home,ŠK Slovan Bratislava,Kyriakos Savvidis,kyriakos-savvidis,K. Savvidis,M,88,181.0,101,M,551338,EUR,803606400,M,88,88,False,40.0,35.0,2.0,1.0,0.0,16.0,18.0,19.0,22.0,4.0,,,89.0,57.0,7.0,8.0,0.0224928,85.476043023099,11.0,43.89,11.97,,1,,0.06,0.04,0.28,,,1.0,4.0,5.0,3.0,,,3.0,1.0,1.0,,,,1.0,0.1812,,,-0.63,,1.0,1.0,1.0,,,,1.0,3.0,,,,,,,,,,
14572996,home,ŠK Slovan Bratislava,Danylo Ignatenko,danylo-ignatenko,D. Ignatenko,M,77,189.0,342,M,793995,EUR,858211200,M,77,77,False,41.0,36.0,3.0,3.0,0.0,22.0,25.0,14.0,16.0,5.0,,,90.0,75.0,7.8,9.0,0.012562,66.885626188641,10.0,19.53,9.345,,2,,0.18,0.18,0.68,,3.0,,7.0,10.0,6.0,2.0,2.0,8.0,3.0,1.0,,,2.0,,0.0629,0.1343,2.0,0.01,,2.0,,,3.0,,,,1.0,,,,,,,,,,
14572996,home,ŠK Slovan Bratislava,Sandro Cruz,cruz-sandro,S. Cruz,D,57,182.0,281,M,982146,EUR,989625600,M,57,57,False,33.0,25.0,5.0,2.0,0.0,9.0,15.0,16.0,18.0,5.0,,,90.0,75.0,7.6,21.0,0.421087,135.27762428583,12.0,110.25,27.195,,0,,0.51,0.11,0.37,,,1.0,3.0,8.0,5.0,1.0,1.0,3.0,,1.0,,1.0,,,,,2.0,,1.0,4.0,6.0,1.0,,,,,1.0,,,1.0,,,,,,,
14572996,home,ŠK Slovan Bratislava,Tigran Barseghyan,tigran-barseghyan,T. Barseghyan,M,11,179.0,950,M,95494,EUR,748656000,F,11,11,False,27.0,19.0,4.0,3.0,0.0,6.0,7.0,13.0,20.0,5.0,,,89.0,42.0,7.4,13.0,0.0675597,104.96560488174,10.0,75.18,19.845,,3,,0.33,0.5,0.15,,1.0,1.0,5.0,6.0,,,,2.0,1.0,1.0,,,2.0,,0.3999,0.8897,,-0.53,,3.0,1.0,,3.0,,,1.0,1.0,,,,1.0,1.0,,,,,
14572996,home,ŠK Slovan Bratislava,Marko Tolić,marko-tolic,M. Tolić,M,10,187.0,714,M,784673,EUR,836524800,F,10,10,False,27.0,19.0,3.0,2.0,0.0,12.0,13.0,7.0,14.0,2.0,,,56.0,36.0,6.3,12.0,0.211999,110.3720166308,11.0,60.27,21.945,,2,,0.1,0.21,0.0,,3.0,1.0,6.0,3.0,,,,,,,,,,1.0,0.1484,,1.0,-0.49,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,1.0,2.0,,,,,
14572996,home,ŠK Slovan Bratislava,Nino Marcelli,marcelli-nino,N. Marcelli,M,18,178.0,358,M,1397170,EUR,1117324800,F,18,18,False,29.0,22.0,1.0,,0.0,8.0,11.0,14.0,18.0,4.0,,,90.0,42.0,6.6,11.0,0.214582,138.61100586596,12.0,59.535,35.595,,4,,0.36,0.56,-0.06,,3.0,,7.0,1.0,,,,,,1.0,,2.0,2.0,1.0,0.6023,0.4748,4.0,-0.53,,,3.0,,3.0,1.0,,1.0,,,,2.0,1.0,,,,,,
