match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_bigChanceMissed,stat_hitWoodwork,stat_totalClearance,stat_outfielderBlock,stat_errorLeadToAShot,stat_bigChanceCreated,stat_totalOffside,stat_shotOffTarget,stat_blockedScoringAttempt,captain,stat_goals,stat_errorLeadToAGoal,stat_punches
12764994,home,SK Rapid Wien,Niklas Hedl,,,niklas-hedl,N. Hedl,G,1,188,295,M,918421,EUR,984787200,G,45,45,False,32.0,32.0,7.0,7.0,0.0,28.0,28.0,4.0,4.0,4.0,1.0,2.0,90.0,37.0,7.3,0.00058351,0,0.4436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764994,home,SK Rapid Wien,Bendegúz Bolla,,,bendeguz-bolla,B. Bolla,D,77,179,1205,M,921140,EUR,943228800,D,77,77,False,55.0,40.0,11.0,6.0,0.0,23.0,28.0,18.0,33.0,9.0,,,90.0,82.0,7.5,0.0524517,1,,6.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,24.0,0.0456,0.3,2.0,,,,,,,,,,,,,,
12764994,home,SK Rapid Wien,Nenad Cvetković,,,nenad-cvetkovic,N. Cvetković,D,55,194,154,M,878471,EUR,820886400,D,55,55,False,58.0,54.0,5.0,3.0,0.0,31.0,33.0,23.0,25.0,6.0,,,90.0,73.0,7.9,0.0136705,1,,,,1.0,5.0,4.0,2.0,,1.0,,1.0,3.0,2.0,2.0,,1.0,1.0,5.0,0.0909,0.5024,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,
12764994,home,SK Rapid Wien,Serge-Philippe Raux-Yao,,,serge-philippe-raux-yao,S. Raux-Yao,D,6,196,187,M,989887,EUR,928022400,D,6,6,False,84.0,82.0,7.0,7.0,0.0,66.0,66.0,16.0,18.0,6.0,,,90.0,87.0,7.0,0.0256296,0,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,3.0,,,1.0,,,,1.0,,1.0,,,,,,,,
12764994,home,SK Rapid Wien,Jonas Antonius Auer,,,jonas-antonius-auer,J. A. Auer,D,23,182,189,M,978405,EUR,965433600,D,23,23,False,45.0,37.0,3.0,2.0,0.0,14.0,15.0,26.0,40.0,2.0,,,90.0,66.0,8.2,0.541655,0,,10.0,3.0,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,16.0,,,5.0,,,,1.0,1.0,,1.0,1.0,,,,,,
12764994,home,SK Rapid Wien,Mamadou Sangare,Mamadou Sangare,,mamadou-sangare,M. Sangare,M,8,181,4848,M,1064697,EUR,1025049600,M,17,17,False,46.0,42.0,3.0,3.0,0.0,17.0,17.0,25.0,29.0,7.0,,,68.0,73.0,7.7,0.0347553,3,,,,,4.0,10.0,1.0,1.0,4.0,3.0,,1.0,6.0,3.0,3.0,1.0,,10.0,0.1081,,,1.0,,,1.0,,,,,2.0,1.0,,,,
12764994,home,SK Rapid Wien,Lukas Grgić,,,lukas-grgic,L. Grgić,M,8,183,183,M,576080,EUR,808617600,M,8,8,False,75.0,71.0,8.0,7.0,0.0,40.0,40.0,31.0,35.0,3.0,,,90.0,90.0,7.4,0.0219582,1,,,,,3.0,4.0,,1.0,1.0,,,3.0,4.0,1.0,,,1.0,6.0,0.195,,,,,,1.0,,,,,,1.0,,,,
12764994,home,SK Rapid Wien,Christoph Lang,,,lang-christoph,C. Lang,M,27,178,102,M,1104216,EUR,1010361600,M,10,10,False,23.0,19.0,2.0,2.0,0.0,8.0,8.0,11.0,16.0,6.0,,,84.0,40.0,6.6,0.0808639,1,,1.0,,,7.0,4.0,1.0,,3.0,1.0,,,2.0,,3.0,1.0,4.0,10.0,0.0304,,1.0,,,,1.0,,,,,1.0,,,,,
12764994,home,SK Rapid Wien,Matthias Seidl,,,matthias-seidl,M. Seidl,M,18,175,248,M,1006268,EUR,980294400,M,18,18,False,43.0,37.0,,,0.0,13.0,14.0,24.0,33.0,7.0,,,89.0,70.0,7.9,0.358192,5,,4.0,,,5.0,5.0,1.0,2.0,1.0,,2.0,1.0,4.0,3.0,1.0,1.0,1.0,14.0,0.2839,0.3561,3.0,,,,,,,,,2.0,1.0,True,,,
12764994,home,SK Rapid Wien,Dion Drena Beljo,,,dion-drena-beljo,D. D. Beljo,F,9,195,3451,M,995773,EUR,1014940800,F,7,7,False,19.0,16.0,,,0.0,3.0,3.0,13.0,16.0,2.0,,,89.0,32.0,7.1,0.0185921,4,,,,2.0,5.0,4.0,,3.0,3.0,1.0,1.0,,,,,1.0,,9.0,0.9786,0.9877,,,1.0,,,,,,,2.0,1.0,,1.0,,
