match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialLost,stat_penaltyConceded,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_wonContest,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_lastManTackle,stat_totalOffside,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_penaltyMiss
10388384,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,20,20,False,31.0,25.0,12.0,6.0,21.0,22.0,4.0,9.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,3.0,90.0,41.0,7.2,6.0,0.0,0.0,0.00347634,0,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388384,home,1. FC Köln,Benno Schmitz,,,benno-schmitz,B. Schmitz,D,6,182,70,M,147775,EUR,785030400,D,2,2,False,23.0,16.0,4.0,1.0,10.0,12.0,7.0,13.0,1.0,2.0,,,,,,,62.0,40.0,6.5,11.0,0.0,0.0,0.0205996,0,,2.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10388384,home,1. FC Köln,Luca Kilian,,,kilian-luca,L. Kilian,D,15,190,102,M,855676,EUR,936144000,D,15,15,False,53.0,51.0,5.0,4.0,36.0,37.0,15.0,16.0,1.0,1.0,,,,,,,81.0,59.0,5.7,2.0,0.0,0.0,0.00730523,0,,,,1.0,7.0,1.0,,2.0,,2.0,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
10388384,home,1. FC Köln,Timo Hübers,,,timo-hubers,T. Hübers,D,4,190,271,M,387220,EUR,837820800,D,4,4,False,82.0,65.0,11.0,5.0,50.0,58.0,15.0,24.0,11.0,7.0,1.0,,,,,,90.0,95.0,7.1,17.0,0.0,0.0,0.0296709,0,,,,7.0,5.0,,,4.0,1.0,1.0,,4.0,,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,
10388384,home,1. FC Köln,Kristian Pedersen,,,kristian-pedersen,K. Pedersen,D,24,189,74,M,773591,EUR,775958400,D,3,3,False,30.0,19.0,3.0,1.0,10.0,13.0,9.0,18.0,4.0,3.0,1.0,,,,,,62.0,45.0,6.2,14.0,0.1,0.0,0.0158959,1,,1.0,,2.0,5.0,1.0,,2.0,,2.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
10388384,home,1. FC Köln,Ellyes Skhiri,,,ellyes-skhiri,E. Skhiri,M,15,185,4745,M,591706,EUR,800064000,M,28,28,False,50.0,43.0,1.0,1.0,30.0,33.0,13.0,17.0,13.0,5.0,1.0,,,,,,90.0,74.0,7.6,11.0,0.0,0.0,0.0310844,0,,,,3.0,3.0,1.0,1.0,4.0,1.0,1.0,,,,1.0,6.0,3.0,,3.0,,,ellyes_skhiri,3.0,3.0,,,,,,,,,,,
10388384,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,M,6,6,False,55.0,43.0,4.0,1.0,30.0,35.0,13.0,21.0,8.0,8.0,1.0,,,,,,90.0,74.0,7.1,17.0,0.1221,0.091,0.0246599,2,,1.0,,4.0,8.0,1.0,1.0,2.0,2.0,1.0,,5.0,,,2.0,,,1.0,,1.0,,1.0,3.0,1.0,1.0,,,,,,,,,
10388384,home,1. FC Köln,Linton Maina,,,linton-maina,L. Maina,M,37,173,490,M,921033,EUR,930096000,M,37,37,False,11.0,5.0,,,1.0,3.0,4.0,11.0,,2.0,,,,,,,85.0,27.0,6.4,13.0,0.2092,0.2705,0.00926409,2,,3.0,,,4.0,,,1.0,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,3.0,2.0,,1.0,,,,,,,,
10388384,home,1. FC Köln,Jonas Hector,,,jonas-hector,J. Hector,D,,185,234,,124544,EUR,643766400,M,14,14,False,37.0,25.0,3.0,1.0,9.0,10.0,16.0,29.0,8.0,4.0,4.0,,,,,,90.0,55.0,6.9,18.0,0.0207,0.0,0.156875,1,,2.0,,4.0,4.0,,,2.0,,,1.0,4.0,,,,,,,,1.0,,,4.0,,,,True,,,,,,,
10388384,home,1. FC Köln,Florian Kainz,,,florian-kainz,F. Kainz,M,11,176,502,M,78781,EUR,719884800,M,11,11,False,18.0,13.0,3.0,1.0,5.0,5.0,10.0,21.0,3.0,2.0,,,,,,,75.0,36.0,7.0,16.0,0.0788,0.0,0.134252,1,,8.0,2.0,2.0,3.0,,1.0,2.0,,1.0,2.0,,,,,,,2.0,,,,1.0,2.0,,,,,2.0,1.0,,,,,
