match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,stat_aerialLost,stat_totalTackle,stat_ownGoals,player_lastName,stat_wonTackle,stat_errorLeadToAGoal,stat_wonContest,stat_dispossessed,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,captain,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_punches
10913477,home,Al Tai,Victor Braga,victor-braga,V. Braga,G,1,193.0,79,M,805020,EUR,698284800.0,G,1,1,False,16.0,13.0,5.0,2.0,13.0,13.0,3.0,8.0,2.0,1.0,90.0,25.0,5.8,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913477,home,Al Tai,Collins Fai,collins-fai,C. Fai,D,,167.0,535,,336551,EUR,713664000.0,D,40,40,False,62.0,49.0,13.0,5.0,25.0,29.0,41.0,9.0,,,90.0,89.0,7.0,21.0,1,26.0,8.0,2.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,
10913477,home,Al Tai,Hassan Al-Jubairi,hassan-al-jubairi,H. Al-Jubairi,D,,176.0,2,M,1066586,EUR,694224000.0,D,19,19,False,54.0,46.0,7.0,2.0,42.0,45.0,9.0,6.0,,,78.0,59.0,5.6,8.0,0,4.0,,,,5.0,1.0,2.0,,,,1.0,,,,,2.0,,Hassan Al-Jubairi,1.0,1.0,1.0,,,,,,,,,,,,,,
10913477,home,Al Tai,Abdulkarim Al Sulaima,abdulkarim-al-sulaima,A. A. Sulaima,D,4,,5,M,1127119,EUR,961804800.0,D,4,4,False,77.0,69.0,9.0,5.0,48.0,52.0,25.0,5.0,,,90.0,87.0,6.2,8.0,0,21.0,,,2.0,,4.0,,,,,6.0,,1.0,,,,,Abdulkarim Al Sulaima,,2.0,,,1.0,1.0,,,,,,,,,,,
10913477,home,Al Tai,Hussain Qasim,hussain-qasim,H. Qasim,D,12,179.0,18,M,948595,EUR,874800000.0,D,12,12,False,69.0,61.0,4.0,2.0,35.0,36.0,34.0,3.0,,,90.0,90.0,6.8,9.0,0,26.0,1.0,,1.0,4.0,7.0,1.0,2.0,,,2.0,,1.0,,1.0,1.0,1.0,,2.0,3.0,,,3.0,,2.0,,,,,,,,,,
10913477,home,Al Tai,Alfa Semedo,alfa-semedo,A. Semedo,M,30,190.0,367,M,887343,EUR,872899200.0,M,30,30,False,53.0,49.0,7.0,7.0,31.0,34.0,19.0,9.0,,,78.0,75.0,6.7,11.0,3,18.0,,,2.0,7.0,8.0,2.0,4.0,,2.0,,,1.0,2.0,1.0,1.0,2.0,,,3.0,,,3.0,,2.0,2.0,1.0,,,,,,,,
10913477,home,Al Tai,Mukhtar Ali,ali-mukhtar,A. Mukhtar,M,7,185.0,334,M,788258,EUR,878169600.0,M,7,7,False,79.0,70.0,6.0,2.0,47.0,50.0,31.0,6.0,,,90.0,86.0,6.2,12.0,0,23.0,2.0,,1.0,4.0,2.0,1.0,,,,,,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,
10913477,home,Al Tai,Amir Saâyoud,amir-saayoud,A. Saâyoud,F,11,170.0,2347,M,309154,EUR,654652800.0,M,10,10,False,35.0,28.0,5.0,3.0,9.0,10.0,31.0,7.0,,,90.0,67.0,5.8,23.0,2,21.0,6.0,2.0,,12.0,7.0,1.0,6.0,,2.0,,,,2.0,2.0,,1.0,,2.0,2.0,,,1.0,,3.0,6.0,,1.0,1.0,,,,,,
10913477,home,Al Tai,Knowledge Musona,knowledge-musona,K. Musona,M,,174.0,675,M,118368,EUR,645926400.0,M,11,11,False,37.0,31.0,4.0,2.0,17.0,17.0,23.0,5.0,,,90.0,49.0,6.8,11.0,1,16.0,3.0,2.0,,6.0,3.0,,,1.0,,,,,1.0,3.0,3.0,2.0,,1.0,,,,,,,3.0,,,,True,1.0,,,,
10913477,home,Al Tai,Mohammed Harzan Mohsen,mohammed-harzan-mohsen,M. H. Mohsen,M,,167.0,4,M,868439,EUR,600566400.0,M,75,75,False,25.0,19.0,1.0,1.0,11.0,12.0,14.0,3.0,,,64.0,36.0,6.7,12.0,1,8.0,1.0,,,6.0,2.0,1.0,2.0,,,,,,1.0,2.0,2.0,,Mohammed,1.0,,,Harzan Mohsen,,,,,,,,,1.0,1.0,,,
