match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_ownGoals,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,captain,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltyWon,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_errorLeadToAGoal
11396365,home,FC Augsburg,Finn Dahmen,finn-dahmen,F. Dahmen,G,1,188,564,M,822564,EUR,890956800,G,1,1,False,33.0,24.0,14.0,6.0,18.0,19.0,6.0,14.0,1.0,2.0,10.0,1.0,1.0,2.0,3.0,6.0,2.0,2.0,90.0,48.0,7.6,9.0,0.00323974,0,-0.3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Kevin Mbabu,kevin-mbabu,K. Mbabu,D,43,184,780,M,227900,EUR,798249600,D,43,43,False,23.0,14.0,4.0,2.0,6.0,9.0,9.0,19.0,2.0,4.0,3.0,,,,,,,,90.0,52.0,6.7,17.0,0.0170678,0,,5.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,J. Gouweleeuw,D,6,187,229,M,146853,EUR,679104000,D,6,6,False,59.0,45.0,11.0,5.0,25.0,27.0,20.0,33.0,4.0,1.0,7.0,,,,,,,,90.0,72.0,7.1,15.0,0.0478404,1,,1.0,,1.0,,,,,1.0,3.0,2.0,,1.0,1.0,1.0,1.0,0.0175,,,,,,,,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Felix Uduokhai,felix-uduokhai,F. Uduokhai,D,14,193,1726,M,792142,EUR,873763200,D,19,19,False,52.0,45.0,10.0,7.0,33.0,38.0,12.0,14.0,7.0,16.0,9.0,,3.0,,,,,,90.0,76.0,7.4,7.0,0.134832,0,,,,3.0,1.0,,,1.0,1.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Mads Pedersen,mads-pedersen,M. Pedersen,D,3,179,157,M,809219,EUR,841536000,D,3,3,False,26.0,18.0,4.0,,11.0,12.0,7.0,15.0,6.0,2.0,7.0,,1.0,,,,,,90.0,56.0,6.8,19.0,0.00767053,0,,1.0,,2.0,1.0,,2.0,,1.0,3.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Elvis Rexhbeçaj,elvis-rexhbecaj,E. Rexhbeçaj,M,8,178,483,M,842188,EUR,878342400,M,8,8,False,34.0,28.0,5.0,3.0,8.0,9.0,20.0,25.0,3.0,,7.0,,1.0,,,,,,90.0,47.0,6.8,11.0,0.094978,1,,,,4.0,,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,0.0744,,1.0,2.0,,,,,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Niklas Dorsch,dorsch-niklas,N. Dorsch,M,30,175,332,M,794995,EUR,884822400,M,30,30,False,32.0,27.0,3.0,1.0,18.0,18.0,9.0,14.0,6.0,1.0,5.0,,2.0,,,,,,84.0,49.0,6.8,9.0,0.0079561,0,,,,4.0,1.0,,,,2.0,4.0,2.0,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Fredrik Jensen,fredrik-jensen,F. Jensen,M,97,183,325,M,846356,EUR,873763200,M,24,24,False,13.0,11.0,,,2.0,2.0,11.0,14.0,1.0,,2.0,,,,,,,,67.0,28.0,7.3,7.0,0.245017,1,,3.0,2.0,6.0,,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,,,2.0,0.0816,,,,1.0,1.0,0.8313,1.0,,,,,,,,,,,,,,
11396365,home,FC Augsburg,Ermedin Demirović,ermedin-demirovic,E. Demirović,F,9,184,5628,M,878081,EUR,890784000,M,9,9,False,14.0,11.0,1.0,1.0,4.0,4.0,7.0,10.0,6.0,,3.0,,1.0,,,,,,84.0,26.0,7.7,5.0,0.258556,2,,,,4.0,1.0,,,,,4.0,2.0,1.0,2.0,1.0,,,0.8361,,,2.0,2.0,,1.0121,2.0,,,e.demirovic29,True,2.0,1.0,1.0,1.0,,,,,,
11396365,home,FC Augsburg,Iago Borduchi,iago,I. Borduchi,D,25,181,849,M,869644,EUR,859075200,M,22,22,False,22.0,11.0,1.0,,5.0,6.0,8.0,19.0,7.0,1.0,3.0,,1.0,,,,,,90.0,48.0,7.3,21.0,0.544987,1,,3.0,2.0,9.0,2.0,2.0,3.0,,,3.0,1.0,1.0,2.0,2.0,,2.0,0.0903,1.0,,5.0,1.0,1.0,0.5095,1.0,,,,,,1.0,,,,,,,,
