match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_fouls,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wasFouled,player_firstName,player_sofascoreId,stat_dispossessed,stat_shotOffTarget,stat_totalCross,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,player_lastName,stat_bigChanceMissed
11598377,home,Ipswich Town,Václav Hladký,vaclav-hladky,V. Hladký,G,32,189,173,M,151518,EUR,658540800,G,31,31,False,43.0,32.0,18.0,8.0,29.0,31.0,3.0,12.0,14.0,1.0,1.0,1.0,2.0,2.0,90.0,49.0,6.5,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598377,home,Ipswich Town,Dominic Ball,dominic-ball,D. Ball,M,4,184,26,M,149821,EUR,807321600,D,12,12,False,37.0,32.0,4.0,2.0,24.0,25.0,8.0,12.0,7.0,,,,,,90.0,54.0,6.8,6.0,0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11598377,home,Ipswich Town,George Edmundson,george-edmundson,G. Edmundson,D,25,191,107,M,803678,EUR,872985600,D,4,4,False,63.0,51.0,15.0,7.0,41.0,44.0,10.0,19.0,11.0,,,,,,90.0,79.0,7.4,12.0,0,7.0,3.0,12.0,,4.0,2.0,1.0,1.0,,,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
11598377,home,Ipswich Town,Elkan Baggott,elkan-baggott,E. Baggott,D,25,194,5609,M,1066814,EUR,1035331200,D,26,26,False,35.0,24.0,4.0,,21.0,24.0,3.0,11.0,5.0,1.0,,,,,90.0,55.0,6.8,16.0,2,4.0,5.0,8.0,1.0,3.0,1.0,4.0,1.0,1.0,,2.0,,,2.0,,Elkan Baggott,elkanbaggot,1.0,2.0,,,,,,,,,,,
11598377,home,Ipswich Town,Brandon Williams,williams-brandon,B. Williams,D,,180,1776,M,927368,EUR,967939200,D,18,18,False,31.0,28.0,1.0,,11.0,11.0,17.0,21.0,7.0,,,,,,90.0,49.0,6.8,8.0,0,,2.0,3.0,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,,
11598377,home,Ipswich Town,Lee Evans,lee-evans,L. Evans,M,8,186,80,M,219060,EUR,775008000,M,8,8,False,48.0,43.0,6.0,3.0,28.0,29.0,16.0,21.0,6.0,2.0,,,,,90.0,66.0,7.1,8.0,2,,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,,,,1.0,1.0,,,,1.0,2.0,True,1.0,1.0,,,,,,,
11598377,home,Ipswich Town,Jack Taylor,jack-taylor,J. Taylor,M,14,185,327,M,856669,EUR,898560000,M,14,14,False,28.0,24.0,3.0,2.0,14.0,15.0,10.0,13.0,4.0,,,,,,82.0,39.0,7.6,7.0,2,,2.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,,,,1.0,,,,,2.0,1.0,,,,,,
11598377,home,Ipswich Town,Kayden Jackson,kayden-jackson,K. Jackson,F,19,181,95,M,340689,EUR,761875200,M,19,19,False,8.0,7.0,,,3.0,3.0,4.0,5.0,2.0,2.0,,,,,82.0,18.0,6.3,4.0,0,2.0,7.0,2.0,,,,,,2.0,1.0,4.0,1.0,,,,,,,,,,,,,3.0,,,,,
11598377,home,Ipswich Town,Marcus Harness,marcus-harness,M. Harness,M,10,182,157,M,368146,EUR,825120000,M,11,11,False,28.0,19.0,3.0,1.0,9.0,9.0,10.0,19.0,1.0,3.0,,,,,70.0,33.0,7.9,11.0,1,,6.0,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,,,,1.0,,,,,,,,3.0,1.0,1.0,,
11598377,home,Ipswich Town,Omari Hutchinson,omari-hutchinson,O. Hutchinson,M,21,174,3679,M,1090963,EUR,1067385600,M,20,20,False,28.0,19.0,,,10.0,12.0,9.0,18.0,3.0,1.0,,,,,70.0,45.0,7.2,15.0,3,,4.0,4.0,,,,1.0,,1.0,,,2.0,1.0,,2.0,,,2.0,,2.0,,,2.0,1.0,,,,1.0,,
11598377,home,Ipswich Town,Freddie Ladapo,freddie-ladapo,F. Ladapo,F,45,183,154,M,254813,EUR,728524800,F,9,9,False,12.0,10.0,1.0,1.0,4.0,4.0,6.0,8.0,,,,,,,70.0,28.0,7.3,9.0,3,,3.0,3.0,,,,,,3.0,1.0,,,,,3.0,,,3.0,1.0,,,,1.0,1.0,,,,1.0,,
11598377,home,Ipswich Town,Cameron Humphreys,cameron-humphreys,C. Humphreys,M,8,178,146,M,1130909,EUR,1067472000,M,30,30,True,1.0,,,,,1.0,1.0,1.0,,,,,,,20.0,7.0,6.7,2.0,1,,3.0,2.0,3.0,,,,,,1.0,,,,1.0,2.0,,,,1.0,1.0,,1.0,,,,,,,,
11598377,home,Ipswich Town,Sone Aluko,sone-aluko,S. Aluko,F,,173,56,M,13251,EUR,603849600,F,23,23,True,8.0,5.0,,,3.0,3.0,2.0,7.0,1.0,1.0,,,,,20.0,16.0,6.7,6.0,0,,3.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,
11598377,home,Ipswich Town,George Hirst,george-hirst,G. Hirst,F,9,191,459,M,839712,EUR,919036800,F,27,27,True,4.0,2.0,,,1.0,1.0,1.0,3.0,1.0,,,,,,20.0,9.0,6.4,4.0,1,1.0,4.0,1.0,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,1.0,,,1.0,,
11598377,home,Ipswich Town,Massimo Luongo,massimo-luongo,M. Luongo,M,21,174,250,M,204300,EUR,717379200,M,25,25,True,3.0,2.0,,,,,2.0,3.0,,1.0,,,,,8.0,4.0,6.5,1.0,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11598377,home,Ipswich Town,Wes Burns,wes-burns,W. Burns,M,7,173,185,M,305302,EUR,784684800,F,7,7,True,5.0,3.0,1.0,,,1.0,3.0,5.0,2.0,,,,,,8.0,7.0,6.6,3.0,0,1.0,,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
11598377,home,Ipswich Town,Cieran Slicker,cieran-slicker,C. Slicker,G,29,187,193,M,1001845,EUR,1032048000,G,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598377,home,Ipswich Town,Janoi Donacien,janoi-donacien,J. Donacien,D,44,183,54,M,371364,EUR,752284800,D,44,44,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
