match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_fouls,stat_outfielderBlock,stat_blockedScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_totalOffside,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine,stat_ownGoals
11227333,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,21.0,7.0,21.0,7.0,1.0,2.0,6.0,19.0,2.0,10.0,1.0,1.0,1.0,1.0,90.0,28.0,6.4,14.0,0.0,0.0,0.00301824,0,-0.7872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11227333,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,27.0,16.0,14.0,4.0,11.0,13.0,9.0,23.0,1.0,9.0,,,,,89.0,49.0,7.8,19.0,0.0,0.0,0.354794,0,,True,1.0,9.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
11227333,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,29.0,17.0,10.0,4.0,13.0,15.0,5.0,15.0,3.0,6.0,,,,,90.0,37.0,6.7,12.0,0.3353,0.1347,0.0184014,3,,,,1.0,1.0,,2.0,2.0,3.0,,,,,,1.0,,1.0,3.0,2.0,,,,,,,,,,,,
11227333,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3377,M,,910046,EUR,947635200,D,4,4,False,28.0,23.0,3.0,,18.0,20.0,5.0,8.0,1.0,5.0,,,,,90.0,32.0,6.5,5.0,0.0,0.0,0.0144366,0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
11227333,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,25.0,19.0,4.0,1.0,8.0,9.0,12.0,17.0,,7.0,,,,,90.0,50.0,7.0,9.0,0.6528,0.4976,0.0228791,4,,,,1.0,1.0,,1.0,3.0,4.0,3.0,,,3.0,2.0,,,,1.0,,,3.0,1.0,2.0,1.0,,,,,,,
11227333,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,False,16.0,14.0,2.0,,5.0,5.0,9.0,12.0,,2.0,,,,,61.0,26.0,6.6,6.0,0.0985,0.0,0.147316,1,,,,1.0,,,1.0,5.0,3.0,2.0,1.0,,,,1.0,2.0,,,1.0,,,,1.0,,1.0,2.0,1.0,1.0,,,
11227333,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,30.0,23.0,3.0,1.0,8.0,9.0,15.0,21.0,1.0,6.0,,,,,90.0,52.0,8.1,9.0,0.2176,0.1493,0.0264342,2,,,,,,1.0,,4.0,10.0,1.0,,4.0,4.0,4.0,5.0,1.0,,1.0,2.0,,,1.0,2.0,,,1.0,1.0,1.0,,,
11227333,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,25.0,18.0,1.0,1.0,6.0,8.0,12.0,17.0,1.0,6.0,,,,,89.0,44.0,6.0,13.0,0.0724,0.0,0.0149251,1,,,,,,2.0,4.0,15.0,8.0,2.0,,2.0,,,2.0,1.0,1.0,,8.0,1.0,1.0,,2.0,,1.0,4.0,2.0,,,,
11227333,home,Newcastle United,Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8461,M,miguel_almiron,333373,EUR,760838400,F,24,24,False,19.0,17.0,,,7.0,7.0,11.0,13.0,,11.0,,,,,89.0,43.0,7.6,8.0,0.4973,0.3727,0.500523,4,,,1.0,1.0,1.0,,,10.0,9.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,,2.0,,2.0,,2.0,5.0,3.0,1.0,,,
11227333,home,Newcastle United,Callum Wilson,,,callum-wilson,C. Wilson,F,9,180,3241,M,,113956,EUR,699148800,F,9,9,False,10.0,8.0,,,3.0,3.0,5.0,7.0,,3.0,,,,,90.0,26.0,7.9,10.0,1.6652,1.5811,0.287975,4,,,1.0,,,1.0,1.0,3.0,4.0,,2.0,,,,2.0,3.0,2.0,2.0,,,,1.0,6.0,,1.0,2.0,1.0,2.0,,,
