match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_interceptionWon,stat_fouls,stat_expectedGoalsOnTarget,stat_accurateCross,stat_challengeLost,stat_keyPass,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,captain,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox
14109661,home,Gaziantep FK,Mustafa Burak Bozan,bozan-mustafa-burak,M. B. Bozan,G,71,196.0,107,M,934201,EUR,966988800,G,71,71,False,28.0,21.0,10.0,3.0,0.0,21.0,25.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,90.0,35.0,6.9,7.0,5.706e-05,0.1556,0,-0.1161,-0.02,-0.11,-0.07,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109661,home,Gaziantep FK,Arda Kızıldağ,arda-kizildag,A. Kızıldağ,D,4,187.0,127,M,904228,EUR,908409600,D,4,4,False,69.0,61.0,3.0,3.0,0.0,33.0,37.0,32.0,2.0,6.0,5.0,5.0,1.0,,,,90.0,89.0,7.2,10.0,0.0317777,,1,,0.23,0.27,-0.04,,,,28.0,1.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,0.0168,-0.17,,,,,,,,,,,,,,,,,,,,
14109661,home,Gaziantep FK,Myenty Abena,myenty-abena,M. Abena,D,14,191.0,242,M,555422,EUR,787190400,D,14,14,False,65.0,60.0,2.0,2.0,0.0,42.0,44.0,21.0,4.0,6.0,4.0,5.0,2.0,,,,90.0,78.0,7.3,6.0,0.00674557,,3,,0.07,0.12,-0.33,,,,18.0,,6.0,7.0,1.0,,,,,0.4441,0.45,1.0,1.0,1.0,1.0,2.0,1.0,0.7049,,,,,,,,,,,,,
14109661,home,Gaziantep FK,Tayyip Talha Sanuç,tayyip-talha-sanuc,T. T. Sanuç,D,23,188.0,911,M,851909,EUR,945388800,D,23,23,False,28.0,28.0,,,0.0,24.0,24.0,4.0,,,,2.0,,,,,30.0,30.0,5.9,,0.00056842,,1,,0.02,0.02,-0.36,,,,4.0,,1.0,2.0,1.0,,,,,0.1151,-0.22,,,,,,1.0,,,,,,,,,,,,,,
14109661,home,Gaziantep FK,Luis Pérez,luis-perez,L. Pérez,D,2,173.0,259,M,843180,EUR,791856000,M,2,2,False,47.0,40.0,4.0,3.0,0.0,17.0,20.0,27.0,1.0,2.0,2.0,5.0,1.0,,,,90.0,68.0,7.0,17.0,0.797407,,0,,0.57,0.15,-0.2,,,,23.0,8.0,2.0,6.0,,,,,,,,2.0,,,,1.0,1.0,,1.0,1.0,4.0,,,,,,,,,,
14109661,home,Gaziantep FK,Melih Kabasakal,kabasakal-melih,M. Kabasakal,M,6,178.0,97,M,828872,EUR,824601600,M,6,6,False,56.0,50.0,6.0,3.0,0.0,17.0,22.0,34.0,,2.0,2.0,2.0,1.0,,,,87.0,65.0,6.4,8.0,0.04739,,2,,0.08,0.15,-0.18,,,,33.0,,1.0,4.0,1.0,,,,,0.0764,-0.15,1.0,1.0,,,1.0,1.0,0.0267,,,,2.0,1.0,1.0,,,,,,,
14109661,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177.0,793,M,180511,EUR,647395200,M,44,44,False,63.0,56.0,6.0,5.0,0.0,20.0,22.0,41.0,,8.0,,3.0,3.0,,,,90.0,97.0,8.1,17.0,0.88095,,3,,0.75,0.15,-0.1,,,,36.0,13.0,1.0,2.0,2.0,,1.0,1.0,1.0,0.2556,0.03,1.0,,1.0,,1.0,,,5.0,,8.0,4.0,4.0,,True,,,,,,
14109661,home,Gaziantep FK,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,77,169.0,248,M,234232,EUR,762825600,M,77,77,False,64.0,59.0,9.0,5.0,1.0,23.0,23.0,41.0,,10.0,,,3.0,,,,90.0,92.0,8.2,8.0,0.527468,,5,,0.67,0.19,-0.07,,,,36.0,3.0,2.0,4.0,1.0,,7.0,5.0,,0.0602,-0.12,2.0,1.0,3.0,,1.0,,0.1013,3.0,,7.0,,,,,2.0,1.0,,,,
14109661,home,Gaziantep FK,Kacper Kozłowski,kacper-kozlowski,K. Kozłowski,M,10,182.0,3151,M,984602,EUR,1066262400,F,10,10,False,28.0,24.0,1.0,1.0,0.0,7.0,7.0,21.0,1.0,6.0,,3.0,2.0,,,,90.0,43.0,7.2,8.0,0.0299247,,2,,0.12,0.15,0.13,,,,17.0,3.0,,1.0,,,1.0,1.0,,0.0965,-0.22,1.0,1.0,1.0,,,,0.3256,,,,2.0,2.0,,,,,,,,
14109661,home,Gaziantep FK,Deian Sorescu,deian-sorescu,D. Sorescu,M,18,175.0,703,M,797602,EUR,872812800,F,18,18,False,7.0,6.0,1.0,1.0,0.0,3.0,3.0,4.0,,,1.0,,,,,,30.0,13.0,6.4,3.0,0.00128707,,0,,0.01,-0.03,0.15,,,,3.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
