match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_fouls,stat_aerialWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_aerialLost,stat_wasFouled,captain,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_hitWoodwork,stat_errorLeadToAShot,stat_goals
12451026,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188,2069,M,1154630,EUR,1110499200,G,50,50,False,12.0,4.0,10.0,2.0,0.0,3.0,4.0,1.0,8.0,3.0,1.0,3.0,43.0,15.0,6.9,8.0,0.00013877,0,0.6515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451026,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179,643,M,863133,EUR,893030400,D,15,15,False,22.0,17.0,2.0,1.0,0.0,8.0,10.0,11.0,16.0,9.0,,,90.0,50.0,7.6,13.0,0.193467,3,,4.0,2.0,6.0,4.0,1.0,1.0,7.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.1125,0.0191,4.0,,,,,,,,,,,,,
12451026,home,Toulouse,Jaydee Canvot,Jaydee Canvot,,jaydee-canvot,J. Canvot,D,23,188,804,M,1471671,EUR,1154131200,D,29,29,False,19.0,13.0,1.0,1.0,0.0,9.0,12.0,4.0,7.0,1.0,,,90.0,28.0,6.5,7.0,0.00101688,0,,,,4.0,3.0,2.0,,2.0,1.0,,,,1.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,
12451026,home,Toulouse,Charlie Cresswell,,,charlie-cresswell,C. Cresswell,D,4,190,1084,M,1020744,EUR,1029456000,D,4,4,False,23.0,15.0,7.0,,0.0,13.0,14.0,2.0,9.0,4.0,,,90.0,34.0,6.5,9.0,0.00364445,3,,,,2.0,4.0,1.0,,1.0,,,,1.0,5.0,,,1.0,,,0.2565,0.1466,,,3.0,1.0,2.0,,,,,,,,,
12451026,home,Toulouse,Ümit Akdağ,Umit Akdag,,umit-akdag,Ü. Akdağ,D,50,192,604,M,1215071,EUR,1065398400,D,6,6,False,16.0,11.0,3.0,2.0,0.0,9.0,12.0,2.0,4.0,1.0,,,79.0,23.0,6.5,5.0,0.00072397,0,,,,4.0,,1.0,,,,,,,4.0,1.0,,,,,,,1.0,2.0,,,,1.0,,,,,,,,
12451026,home,Toulouse,Gabriel Suazo,,,gabriel-suazo,G. Suazo,M,12,178,3981,M,818986,EUR,871084800,D,17,17,False,26.0,23.0,1.0,1.0,0.0,12.0,13.0,11.0,13.0,3.0,,,90.0,49.0,7.1,6.0,0.0212722,0,,,,4.0,6.0,1.0,,1.0,,,,,3.0,,2.0,6.0,4.0,1.0,,,1.0,2.0,,,,,,,,,,,,
12451026,home,Toulouse,Shavy Warren Babicka,,,babicka-shavy-warren,S. W. Babicka,F,80,180,1188,M,1136280,EUR,959817600,M,80,80,False,7.0,6.0,1.0,,0.0,3.0,3.0,4.0,7.0,4.0,,,79.0,21.0,6.4,6.0,0.144426,1,,3.0,1.0,6.0,2.0,2.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,0.036,,2.0,,,,,1.0,1.0,,,,,,,
12451026,home,Toulouse,Cristian Cásseres Jr.,,,cristian-casseres-jr,C. Cásseres Jr.,M,23,174,1378,M,878938,EUR,948326400,M,23,23,False,33.0,27.0,3.0,2.0,0.0,13.0,14.0,14.0,19.0,10.0,,,90.0,48.0,7.2,7.0,0.0126413,0,,,,3.0,7.0,2.0,,2.0,2.0,,,,,1.0,,4.0,3.0,1.0,,,,1.0,,,,,1.0,,,,,,,
12451026,home,Toulouse,Vincent Sierro,,,vincent-sierro,V. Sierro,M,14,184,461,M,794412,EUR,813110400,M,8,8,False,30.0,19.0,6.0,,0.0,11.0,13.0,9.0,19.0,1.0,,,70.0,46.0,6.3,18.0,0.105378,0,,2.0,1.0,6.0,7.0,,2.0,3.0,1.0,,,,,1.0,,3.0,1.0,2.0,,,1.0,1.0,1.0,,,1.0,2.0,True,,,,,,
12451026,home,Toulouse,Zakaria Aboukhlal,,,zakaria-aboukhlal,Z. Aboukhlal,F,7,179,8018,M,856737,EUR,950832000,M,7,7,False,11.0,9.0,1.0,1.0,0.0,3.0,4.0,6.0,8.0,7.0,,,90.0,22.0,6.7,6.0,0.017287,5,,1.0,,5.0,2.0,2.0,,1.0,,,3.0,1.0,,,,1.0,1.0,1.0,0.3139,0.013,1.0,,1.0,1.0,1.0,2.0,,,zakariaaboukhlal,,,,,
