match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_clearanceOffLine,stat_outfielderBlock,stat_fouls,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_wonContest,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAShot,stat_errorLeadToAGoal
14572784,home,Nice,Maxime Dupé,maxime-dupe,M. Dupé,G,31,186.0,173,M,96542,EUR,731203200,G,31,31,False,True,29.0,20.0,18.0,9.0,0.0,14.0,15.0,6.0,14.0,1.0,1.0,2.0,9.0,3.0,2.0,3.0,2.0,90.0,39.0,6.8,9.0,0.00073229,15.847293569116,3.0,2.52,3.885,0.0967,0,-0.386,0.08,0.0,-0.01,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Kojo Peprah Oppong,peprah-oppong-kojo,K. P. Oppong,D,37,185.0,1405,M,1473092,EUR,1086307200,D,37,37,False,,22.0,14.0,5.0,,0.0,6.0,9.0,8.0,13.0,3.0,9.0,5.0,1.0,,,,,90.0,42.0,7.0,10.0,0.00361603,36.105128485176,7.0,6.3,5.46,,1,,0.31,0.01,-0.18,,,,2.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,0.0586,-0.11,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Abdulay Juma Bah,abdulay-juma-bah,A. J. Bah,D,28,195.0,5967,M,1606792,EUR,1144713600,D,28,28,False,,24.0,22.0,4.0,3.0,0.0,14.0,15.0,8.0,9.0,1.0,3.0,4.0,2.0,,,,,76.0,33.0,7.6,2.0,0.00214461,56.217082788906,10.0,7.56,10.395,,0,,0.01,0.02,0.46,,,,1.0,1.0,,,,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Brad-Hamilton Mantsounga,brad-hamilton-mantsounga,B. Mantsounga,D,3,182.0,58,M,2168291,EUR,1189036800,D,36,36,False,,23.0,15.0,6.0,1.0,0.0,9.0,11.0,6.0,12.0,2.0,3.0,3.0,,,,,,90.0,30.0,6.4,8.0,0.00580639,41.187154637819,4.0,-28.77,-0.63,,0,,-0.03,-0.19,-0.1,,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
14572784,home,Nice,Ali Abdi,ali-abdi,A. Abdi,M,2,183.0,4221,M,919027,EUR,756345600,D,2,2,False,,16.0,15.0,2.0,1.0,0.0,7.0,8.0,8.0,8.0,1.0,5.0,5.0,,,,,,90.0,42.0,7.1,7.0,0.230026,35.564268815853,4.0,8.4,15.54,,0,,0.37,0.1,0.18,,,,3.0,5.0,,,2.0,3.0,1.0,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,18.931216125754,1.0,1.0,,,,,,,,,
14572784,home,Nice,Charles Vanhoutte,charles-vanhoutte,C. Vanhoutte,M,24,182.0,633,M,928033,EUR,905904000,M,24,24,False,,33.0,26.0,3.0,,0.0,10.0,11.0,16.0,22.0,1.0,1.0,,1.0,,,,,82.0,42.0,7.4,8.0,0.0217094,68.06988214239,9.0,-8.61,9.135,,3,,0.17,0.06,-0.06,,,,,1.0,,1.0,1.0,,,1.0,,0.529,0.49,,,1.0,,,,,,,,,1.0,1.0,1.0,0.9423,,,,,
14572784,home,Nice,Salis Abdul Samed,abdul-samed-salis,S. A. Samed,M,99,180.0,2024,M,993455,EUR,954028800,M,99,99,False,,34.0,32.0,1.0,1.0,0.0,15.0,15.0,17.0,19.0,,1.0,2.0,8.0,,,,,90.0,46.0,6.7,6.0,0.0265516,95.684865515739,12.0,38.325,26.145,,1,,0.14,0.24,0.2,,,,,4.0,1.0,1.0,,1.0,1.0,2.0,,0.0241,0.02,,1.0,1.0,,,,2.0,1.0,36.907341411494,2.0,2.0,,,,,,,,,
14572784,home,Nice,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182.0,1762,M,1063235,EUR,1074470400,M,25,25,False,,17.0,13.0,,,1.0,5.0,6.0,8.0,11.0,,1.0,1.0,3.0,,,,,62.0,32.0,7.4,12.0,0.703727,261.39251134655,18.0,172.2,45.255,,0,,0.47,0.45,-0.02,,,,1.0,5.0,,,,,,1.0,,,,,,,5.0,2.0,,5.0,2.0,198.59380933742,8.0,2.0,,,,,1.0,,,,
14572784,home,Nice,Tom Louchet,tom-louchet,T. Louchet,M,20,176.0,404,M,1127313,EUR,1052006400,M,20,20,False,,12.0,7.0,2.0,,0.0,2.0,3.0,5.0,9.0,,4.0,1.0,1.0,,,,,62.0,26.0,7.1,11.0,0.083198,48.791880451775,6.0,28.035,20.475,,0,,0.07,0.5,0.13,,,,,2.0,,,,,,,2.0,,,,,,5.0,1.0,2.0,2.0,,25.88793538649,2.0,1.0,,,,,2.0,,,,
14572784,home,Nice,Tiago Gouveia,tiago-gouveia,T. Gouveia,F,47,176.0,1490,M,976410,EUR,992822400,M,47,47,False,,21.0,14.0,3.0,1.0,0.0,4.0,5.0,10.0,16.0,1.0,3.0,3.0,9.0,,,,,76.0,43.0,8.8,12.0,0.0157977,167.15038803267,12.0,108.885,32.235,,5,,-0.18,0.82,0.13,,,,,6.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.6445,0.89,,,3.0,,,,2.0,,111.85755584415,4.0,,,3.0,2.0,1.2757,,,,,
14572784,home,Nice,Kevin Carlos Omoruyi,kevin-omoruyi,K. Carlos,F,90,188.0,484,M,1035619,EUR,986860800,F,90,90,False,,13.0,11.0,,,0.0,4.0,4.0,7.0,9.0,6.0,8.0,3.0,2.0,,,,,90.0,31.0,6.7,6.0,0.00275291,65.81053196311,5.0,20.895,16.485,,6,,0.03,0.67,0.28,,Kevin,,7.0,9.0,,1.0,,,,3.0,1.0,0.9018,-0.87,,,1.0,,,1.0,1.0,,43.340068961354,3.0,,3.0,2.0,,0.3494,1.0,4.0,1.0,,
14572784,home,Nice,Morgan Sanson,morgan-sanson,M. Sanson,M,8,182.0,502,M,250133,EUR,777168000,M,8,8,True,,17.0,12.0,,,0.0,5.0,7.0,7.0,10.0,1.0,1.0,,4.0,,,,,28.0,25.0,6.9,7.0,0.0258027,66.720432879281,7.0,15.33,14.175,,0,,0.39,0.1,-0.1,,,,,1.0,1.0,,2.0,,,1.0,,,,,1.0,,2.0,1.0,,,,15.041663771006,1.0,3.0,,,,,,,,,
14572784,home,Nice,Jonathan Clauss,jonathan-clauss,J. Clauss,M,92,178.0,2004,M,821728,EUR,717379200,D,92,92,True,,11.0,7.0,1.0,,0.0,4.0,6.0,3.0,5.0,,2.0,1.0,1.0,,,,,28.0,22.0,6.1,9.0,0.0020587,31.045792779118,4.0,5.88,10.08,,3,,-0.26,0.13,-0.19,,,,,1.0,,1.0,,2.0,1.0,2.0,,0.2678,-0.47,,,1.0,3.0,,,,,7.1519734339552,1.0,,2.0,,,,,,,,
14572784,home,Nice,Dante,dante,Dante,D,4,188.0,1231,M,3577,EUR,435283200,D,4,4,True,,3.0,1.0,,,0.0,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,14.0,6.0,6.8,2.0,0.00024695,6.9603885667396,1.0,2.415,2.415,,0,,-0.02,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Kaïl Boudache,kail-boudache,K. Boudache,F,32,,376,M,1518669,EUR,1150329600,F,32,32,True,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,2.0,,2.0,,,,,14.0,9.0,6.6,3.0,0.00029901,109.11200122854,6.0,69.3,26.04,,0,,0.0,0.12,0.17,,Kaïl,Boudache,1.0,3.0,,,,,,1.0,2.0,,,,,,,,,2.0,,80.451816973919,3.0,,,,,,,,,,
14572784,home,Nice,Everton Pereira,everton-pereira,E. Pereira,M,41,181.0,45,M,1551242,EUR,1176336000,M,41,41,True,,3.0,2.0,,,0.0,2.0,3.0,,,,,2.0,,,,,,8.0,5.0,6.6,1.0,2.915e-05,,,,,,0,,0.0,,0.18,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Bartosz Żelazowski,bartosz-zelazowski,B. Żelazowski,G,30,195.0,90,M,1511924,EUR,1114387200,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Bartosz,Żelazowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Matys Youst,matys-youst,M. Youst,G,70,,5,M,2449843,EUR,1200268800,G,70,70,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Matys Youst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Tanguy Ndombélé,tanguy-ndombele,T. Ndombélé,M,22,181.0,2703,M,845486,EUR,851731200,M,22,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Millan Brignone,millan-brignone,M. Brignone,M,45,,48,M,2420279,EUR,1174694400,M,45,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Millan Brignone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,home,Nice,Jah Mason Telusson,jah-mason-telusson,J. M. Telusson,F,42,176.0,20,M,2203959,EUR,1211241600,F,42,42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572784,away,Go Ahead Eagles,Jari De Busser,jari-de-busser,J. D. Busser,G,22,190.0,291,M,837072,EUR,940464000,G,22,22,False,,31.0,26.0,11.0,6.0,0.0,23.0,24.0,3.0,7.0,,1.0,,4.0,,3.0,3.0,,90.0,40.0,6.6,5.0,0.00201489,51.124795014733,11.0,25.095,5.46,0.2757,0,-0.4326,0.07,0.01,-0.3,0.18,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
