match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_duelLost,stat_totalContest,stat_interceptionWon,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,player_sofascoreId,stat_bigChanceCreated,stat_errorLeadToAShot,stat_challengeLost,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_totalOffside,stat_errorLeadToAGoal
13981548,home,Como,Jean Butez,jean-butez,J. Butez,G,1,188.0,1319,M,599114,EUR,802569600,G,1,1,False,33.0,27.0,12.0,6.0,0.0,24.0,26.0,3.0,7.0,1.0,1.0,1.0,18.0,1.0,4.0,5.0,1.0,1.0,1.0,90.0,49.0,7.8,6.0,0.00353215,91.819430850007,13.0,45.78,10.71,0.1866,0,0.5547,0.22,0.05,0.3,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981548,home,Como,Mërgim Vojvoda,mergim-vojvoda,M. Vojvoda,D,31,187.0,1424,M,798147,EUR,791596800,D,31,31,False,43.0,39.0,3.0,2.0,0.0,18.0,18.0,21.0,25.0,,,,3.0,,,,,,,59.0,52.0,6.9,5.0,0.039491,184.0863043099,20.0,83.37,20.16,,0,,0.21,0.09,0.15,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981548,home,Como,Jacobo Ramón,jacobo-naveros,J. Ramón,D,14,196.0,13079,M,1403348,EUR,1104969600,D,14,14,False,92.0,89.0,6.0,5.0,0.0,55.0,56.0,34.0,36.0,,,2.0,2.0,,,,,,,90.0,101.0,7.6,4.0,0.0269426,330.66135854464,44.0,245.49,16.065,,0,,0.43,0.28,0.34,,,3.0,,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
13981548,home,Como,Diego Carlos,diego-carlos,D. Carlos,D,34,185.0,2746,M,604232,EUR,732153600,D,34,34,False,80.0,76.0,5.0,2.0,0.0,64.0,64.0,12.0,16.0,2.0,2.0,3.0,5.0,,,,,,,90.0,88.0,7.3,6.0,0.00983498,138.2930662675,19.0,84.63,16.485,,0,,0.26,0.19,0.36,,,2.0,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
13981548,home,Como,Alberto Moreno,alberto-moreno,A. Moreno,D,18,171.0,850,M,229740,EUR,710294400,D,18,18,False,58.0,53.0,3.0,2.0,0.0,32.0,32.0,21.0,26.0,,1.0,4.0,2.0,,,,,,,90.0,80.0,7.8,12.0,0.0226037,144.63753982837,17.0,4.725,8.925,,3,,0.06,0.04,0.18,,,2.0,2.0,,2.0,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7255,0.4361,0.48,,,,,,,,,,,
13981548,home,Como,Máximo Perrone,maximo-perrone,M. Perrone,M,23,178.0,8372,M,1086286,EUR,1041897600,M,23,23,False,94.0,87.0,3.0,2.0,0.0,59.0,60.0,28.0,34.0,,,2.0,3.0,,,,,,,89.0,105.0,6.7,9.0,0.30026,230.16536607771,31.0,97.125,22.155,,1,,0.18,0.19,-0.09,,,3.0,1.0,,5.0,,,1.0,2.0,Maximo Perrone,,1.0,1.0,,1.0,,1.0,,,0.2917,0.1609,0.08,maxiperrone16,1.0,1.0,,,,,,,,
13981548,home,Como,Maxence Caqueret,maxence-caqueret,M. Caqueret,M,6,174.0,2464,M,859027,EUR,950572800,M,6,6,False,69.0,63.0,2.0,1.0,0.0,27.0,28.0,36.0,41.0,,5.0,1.0,2.0,,,,,,,59.0,79.0,7.2,9.0,0.0433149,242.89780076639,30.0,64.05,19.635,,0,,0.26,0.16,0.55,,,4.0,2.0,,2.0,,,2.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,3.0,3.0,1.0,,,
13981548,home,Como,Jayden Addai,jayden-addai,J. Addai,M,42,176.0,2963,M,1177723,EUR,1125014400,M,42,42,False,18.0,14.0,1.0,,0.0,3.0,5.0,11.0,13.0,,3.0,,1.0,,,,,,,82.0,30.0,7.0,6.0,0.198769,78.611942193818,13.0,-4.2,9.765,,2,,0.27,0.05,0.0,,,1.0,1.0,,1.0,,,,1.0,,,2.0,,1.0,,,1.0,1.0,,0.1688,0.0552,0.05,,1.0,,,,1.0,,1.0,,,
13981548,home,Como,Nico Paz,nico-paz,N. Paz,M,10,185.0,88676,M,1171451,EUR,1094601600,M,10,10,False,53.0,47.0,1.0,1.0,1.0,23.0,24.0,24.0,29.0,1.0,5.0,,7.0,,,,,,,90.0,70.0,7.7,12.0,0.308115,184.97553885754,20.0,105.21,28.35,,6,,0.54,0.24,-0.12,,,2.0,3.0,,2.0,,,1.0,,,,3.0,,2.0,,2.0,4.0,,,0.2519,0.2826,0.08,nicopaz1o,1.0,1.0,,,2.0,1.0,,1.0,,
13981548,home,Como,Jesús Rodriguez,jesus-rodriguez,J. Rodriguez,M,17,185.0,4146,M,1800245,EUR,1132531200,M,17,17,False,18.0,11.0,1.0,,0.0,3.0,5.0,8.0,13.0,,3.0,,2.0,,,,,,,59.0,32.0,6.5,12.0,0.0298227,118.67539895846,12.0,34.335,21.84,,2,,-0.14,0.23,0.13,,,3.0,4.0,,1.0,,,1.0,,,,2.0,1.0,1.0,,,2.0,,,0.0404,0.0671,-0.44,,,,,,1.0,1.0,1.0,,2.0,
