match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_accurateCross,stat_totalContest,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_unsuccessfulTouch,stat_totalOffside,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_clearanceOffLine,stat_errorLeadToAShot,stat_goals
14061760,home,RC Lens,Robin Risser,Robin Risser,robin-risser,R. Risser,G,40,193,833,M,1387161,EUR,1101945600,G,40,40,False,31.0,27.0,8.0,5.0,0.0,24.0,27.0,3.0,4.0,8.0,2.0,2.0,1.0,1.0,90.0,34.0,6.9,4.0,0.0010318,0.6262,0,0.6392,0.05,0.01,-0.05,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14061760,home,RC Lens,Samson Baidoo,,samson-baidoo,S. Baidoo,D,6,190,1272,M,1099117,EUR,1080691200,D,6,6,False,51.0,46.0,2.0,,0.0,30.0,32.0,16.0,19.0,7.0,,,,,90.0,59.0,6.4,5.0,0.0288618,,0,,0.25,0.01,-0.18,,,1.0,2.0,6.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
14061760,home,RC Lens,Malang Sarr,,malang-sarr,M. Sarr,D,20,182,2159,M,826203,EUR,917049600,D,20,20,False,56.0,55.0,10.0,9.0,0.0,38.0,38.0,17.0,18.0,3.0,,,,,90.0,75.0,7.5,1.0,0.0093842,,1,,0.19,0.06,0.22,,,1.0,3.0,2.0,6.0,,6.0,4.0,2.0,,1.0,1.0,1.0,1.0,0.0657,-0.13,,,,,,,,,,,,,,,,,,
14061760,home,RC Lens,Matthieu Udol,,matthieu-udol,M. Udol,D,14,178,453,M,787827,EUR,827280000,D,14,14,False,46.0,41.0,3.0,1.0,0.0,25.0,27.0,16.0,19.0,3.0,,,,,90.0,64.0,7.1,11.0,0.296824,,0,,0.43,0.11,-0.17,,,,,3.0,3.0,2.0,3.0,2.0,1.0,1.0,,,,2.0,,,5.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
14061760,home,RC Lens,Ruben Aguilar,,ruben-aguilar,R. Aguilar,M,2,172,407,M,579576,EUR,735782400,M,2,2,False,43.0,33.0,5.0,4.0,0.0,17.0,18.0,16.0,25.0,4.0,,,,,85.0,70.0,7.7,20.0,0.258359,,1,,0.54,0.03,-0.01,,,1.0,2.0,1.0,3.0,,1.0,,,,,1.0,,,0.0078,0.01,9.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,,,,,,,,,,
14061760,home,RC Lens,Adrien Thomasson,,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,M,28,28,False,54.0,45.0,4.0,3.0,0.0,18.0,22.0,27.0,32.0,11.0,,,,,90.0,85.0,6.3,25.0,0.108153,,2,,-0.48,0.27,-0.2,,,,,4.0,4.0,2.0,,3.0,1.0,,,,,2.0,0.0709,0.15,10.0,1.0,1.0,,4.0,1.0,3.0,,True,2.0,1.0,1.0,0.197,,,,,
14061760,home,RC Lens,Andy Diouf,,andy-diouf,A. Diouf,M,17,187,3993,M,1048889,EUR,1053129600,M,18,18,False,40.0,33.0,2.0,1.0,0.0,11.0,11.0,22.0,29.0,7.0,,,,,90.0,58.0,7.2,14.0,0.0438223,,3,,0.14,0.52,-0.07,,,,,4.0,5.0,,,,1.0,,,1.0,,1.0,0.2194,0.2,,,5.0,,,3.0,3.0,,,2.0,1.0,1.0,0.7563,,,,,
14061760,home,RC Lens,Deiver Machado,,deiver-machado,D. Machado,M,27,179,1117,M,822110,EUR,746928000,M,3,3,False,27.0,21.0,4.0,3.0,0.0,11.0,14.0,10.0,13.0,3.0,,,,,76.0,57.0,6.9,11.0,0.0153434,,4,,0.1,0.2,0.21,,,2.0,,5.0,6.0,,2.0,,1.0,,1.0,3.0,,5.0,0.3306,-0.52,3.0,,,,,,,,,2.0,1.0,,0.2065,1.0,,,,
14061760,home,RC Lens,Wesley Saïd,,wesley-said,W. Saïd,F,22,171,742,M,227862,EUR,798249600,F,22,22,False,12.0,8.0,1.0,1.0,0.0,3.0,5.0,5.0,7.0,,,,,,86.0,23.0,6.8,7.0,0.0262637,,4,,0.13,0.44,0.13,,,1.0,,5.0,1.0,,1.0,,,,3.0,2.0,,,0.6036,0.07,,,1.0,,1.0,1.0,1.0,3.0,,1.0,2.0,,0.4833,3.0,,,,
14061760,home,RC Lens,Morgan Guilavogui,,morgan-guilavogui,M. Guilavogui,F,29,188,3076,M,990743,EUR,889488000,F,29,29,False,30.0,22.0,3.0,2.0,0.0,8.0,11.0,14.0,19.0,4.0,,,,,90.0,49.0,7.8,14.0,0.379443,,1,,0.36,0.28,0.29,,,,2.0,4.0,8.0,,1.0,,3.0,3.0,3.0,,,2.0,0.0125,-0.04,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,1.0,,,MorganGuila,,,
