match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_totalContest,stat_wonContest,stat_dispossessed,player_firstName,player_lastName,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceMissed,stat_onTargetScoringAttempt,player_sofascoreId,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10437955,home,FC Arouca,Ignacio de Arruabarrena,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,26.0,13.0,24.0,11.0,7.0,13.0,6.0,13.0,1.0,1.0,3.0,13.0,1.0,2.0,3.0,3.0,90.0,38.0,7.6,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437955,home,FC Arouca,Tiago Esgaio,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,27.0,13.0,11.0,4.0,4.0,7.0,11.0,24.0,1.0,5.0,2.0,3.0,,,,,90.0,56.0,7.5,19.0,0,4.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10437955,home,FC Arouca,João Basso,joao-basso,J. Basso,D,13,189,677,M,850955,EUR,853113600,D,13,13,False,35.0,27.0,8.0,3.0,14.0,17.0,13.0,18.0,1.0,3.0,4.0,12.0,,,,,90.0,44.0,6.9,9.0,0,,,1.0,,2.0,,,1.0,,True,1.0,2.0,,,,,,,,,,,,,,,,,,,
10437955,home,FC Arouca,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1396,M,920514,EUR,908323200,D,3,3,False,19.0,11.0,4.0,1.0,5.0,8.0,6.0,11.0,1.0,7.0,1.0,7.0,,,,,90.0,32.0,7.5,9.0,0,,,4.0,1.0,1.0,3.0,2.0,3.0,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10437955,home,FC Arouca,Mateus Quaresma,mateus-quaresma,M. Quaresma,D,66,181,70,M,874360,EUR,840672000,D,6,6,False,27.0,15.0,9.0,1.0,8.0,12.0,7.0,16.0,2.0,6.0,5.0,7.0,,,,,90.0,57.0,6.9,22.0,0,1.0,,6.0,,2.0,2.0,1.0,1.0,1.0,,,1.0,,3.0,1.0,3.0,,,,,,,,,,,,,,,
10437955,home,FC Arouca,Ismaila Soro,ismaila-soro,I. Soro,M,19,173,157,M,892808,EUR,894499200,M,23,23,False,38.0,23.0,11.0,4.0,11.0,16.0,13.0,23.0,2.0,8.0,,12.0,,,,,90.0,56.0,7.7,18.0,2,1.0,1.0,7.0,1.0,4.0,3.0,3.0,2.0,2.0,,2.0,3.0,2.0,,,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,
10437955,home,FC Arouca,David Simão,david-simao,D. Simão,M,8,183,75,M,54672,EUR,642729600,M,5,5,False,32.0,24.0,3.0,2.0,8.0,12.0,16.0,23.0,,4.0,2.0,9.0,,,,,88.0,49.0,6.7,15.0,1,3.0,,6.0,1.0,1.0,2.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,3.0,,,1.0,,1.0,,,,,,,,,,
10437955,home,FC Arouca,Antony Alves,antony-alves,A. Alves,M,11,178,335,M,1105971,EUR,999907200,M,11,11,False,26.0,16.0,1.0,1.0,1.0,1.0,15.0,26.0,,5.0,,6.0,,,,,88.0,41.0,7.4,13.0,3,1.0,,4.0,,,3.0,3.0,2.0,2.0,,,,,3.0,2.0,,Antony,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,
10437955,home,FC Arouca,Alan Ruiz,alan-ruiz,A. Ruiz,M,,181,154,M,158255,EUR,745718400,M,10,10,False,50.0,29.0,8.0,1.0,7.0,11.0,22.0,41.0,4.0,9.0,,8.0,,,,,90.0,71.0,7.3,29.0,3,2.0,,12.0,,1.0,,,3.0,,,3.0,4.0,6.0,2.0,1.0,2.0,,,,,,,,,3.0,,,,,,
10437955,home,FC Arouca,Morlaye Sylla,morlaye-sylla,M. Sylla,M,2,170,6425,M,822492,EUR,901497600,M,2,2,False,21.0,15.0,1.0,1.0,4.0,7.0,11.0,15.0,1.0,4.0,,5.0,,,,,71.0,37.0,6.8,13.0,3,1.0,,5.0,1.0,,3.0,3.0,2.0,2.0,,3.0,,,1.0,,2.0,,,,,1.0,1.0,,1.0,1.0,morlayesylla2,,,,,
