match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_totalOffside,stat_expectedGoalsOnTarget,captain,stat_wonTackle,stat_fouls,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_bigChanceMissed,player_sofascoreId
14053742,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,31.0,21.0,19.0,9.0,0.0,17.0,17.0,4.0,14.0,13.0,1.0,5.0,6.0,90.0,44.0,7.2,10.0,0.00257674,44.38294159083,5.0,24.15,16.275,0.319,0,0.8035,0.04,0.01,-0.06,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053742,home,FC Utrecht,Siebe Horemans,,,siebe-horemans,S. Horemans,D,2,186,201,M,794990,EUR,896745600,D,2,2,False,49.0,38.0,8.0,3.0,1.0,16.0,19.0,22.0,30.0,4.0,,,,90.0,74.0,6.8,18.0,0.290715,62.78688730259,9.0,30.87,12.81,,1,,0.44,0.06,-0.36,,6.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0483,1.0,-0.11,,,,,,,,,,,,,,,,
14053742,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,3,3,False,35.0,27.0,8.0,2.0,0.0,19.0,22.0,8.0,13.0,2.0,,,,90.0,46.0,7.0,9.0,0.133768,25.411644011326,5.0,12.39,4.62,,3,,0.26,0.01,-0.36,,,,4.0,4.0,1.0,,,,,,1.0,,5.0,,,1.0,0.5562,,0.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9174,,,,,,,,
14053742,home,FC Utrecht,Nick Viergever,,,nick-viergever,N. Viergever,D,24,182,150,M,46900,EUR,618105600,D,24,24,False,29.0,26.0,1.0,1.0,0.0,20.0,20.0,6.0,9.0,5.0,,,,83.0,45.0,6.7,4.0,0.00217338,41.854184065483,6.0,17.535,13.335,,0,,-0.02,0.13,0.16,,,,,1.0,3.0,,,1.0,1.0,,,,5.0,3.0,2.0,,,,,,,,,2.0,,,,True,1.0,1.0,,,,,
14053742,home,FC Utrecht,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,27.0,19.0,4.0,1.0,0.0,11.0,15.0,8.0,12.0,8.0,,,,90.0,66.0,7.2,18.0,0.294522,109.04201031477,11.0,93.11,31.185,,2,,0.53,0.14,-0.15,,14.0,5.0,2.0,5.0,4.0,1.0,,1.0,,1.0,1.0,,4.0,2.0,2.0,,0.0892,5.0,0.01,,1.0,,,,,,0.0731,,1.0,1.0,2.0,32.234916240003,1.0,,
14053742,home,FC Utrecht,Miguel Rodríguez,,,miguel-rodriguez,M. Rodríguez,M,22,179,648,M,1014118,EUR,1051574400,M,22,22,False,28.0,19.0,1.0,1.0,0.0,7.0,8.0,12.0,20.0,2.0,,,,90.0,61.0,6.8,22.0,0.0571525,110.54872863163,14.0,30.765,27.825,,5,,0.14,0.2,-0.07,,9.0,1.0,1.0,3.0,7.0,,2.0,,,,2.0,,1.0,,3.0,3.0,0.119,,-0.49,2.0,,3.0,,,,,,,3.0,,2.0,41.103896369757,2.0,1.0,
14053742,home,FC Utrecht,Alonzo Engwanda,,,alonzo-engwanda,A. Engwanda,M,27,173,362,M,1000548,EUR,1043625600,M,27,27,False,37.0,34.0,7.0,7.0,0.0,15.0,17.0,19.0,20.0,4.0,,,,90.0,51.0,7.0,5.0,0.0251848,86.467010716319,10.0,7.35,7.98,,0,,0.23,0.02,-0.05,,,,,3.0,4.0,,1.0,1.0,,,,,4.0,1.0,2.0,,,,,2.0,,,,,,,,,1.0,1.0,,,,,
14053742,home,FC Utrecht,Gjivai Zechiël,,,gjivai-zechiel,G. Zechiël,M,21,179,686,M,1433802,EUR,1086048000,M,21,21,False,44.0,41.0,5.0,4.0,0.0,19.0,20.0,22.0,24.0,2.0,,,,90.0,60.0,6.6,10.0,0.0342232,94.848828761346,12.0,20.37,16.485,,0,,0.13,0.14,-0.13,,2.0,1.0,,9.0,3.0,2.0,1.0,7.0,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,
14053742,home,FC Utrecht,Yoann Cathline,,,cathline-yoann,Y. Cathline,M,10,176,517,M,1105700,EUR,1027296000,M,10,10,False,22.0,18.0,1.0,1.0,0.0,3.0,3.0,15.0,19.0,1.0,,,,90.0,46.0,6.8,12.0,0.0366127,217.41526831442,17.0,90.655,25.935,,2,,0.03,0.32,-0.06,,,,,6.0,8.0,,1.0,5.0,1.0,,1.0,,1.0,,1.0,3.0,0.0386,2.0,-0.05,,,1.0,,,,,,,1.0,1.0,6.0,89.34932503001,4.0,,
14053742,home,FC Utrecht,Victor Jensen,,,victor-jensen,V. Jensen,M,7,175,409,M,856648,EUR,949968000,F,7,7,False,27.0,23.0,1.0,,0.0,11.0,12.0,12.0,15.0,2.0,,,,90.0,38.0,7.0,6.0,0.631957,29.949108583049,4.0,15.855,6.405,,1,,0.36,0.02,0.16,,1.0,,3.0,4.0,5.0,,,1.0,1.0,,1.0,,1.0,1.0,2.0,1.0,0.0417,3.0,-0.23,1.0,,,,,,,,,,1.0,1.0,,,,
