match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,captain,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,player_firstName,player_lastName,player_sofascoreId,stat_bigChanceCreated
11407504,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6222,M,356160,EUR,856396800,G,32,32,False,19.0,9.0,12.0,2.0,7.0,8.0,2.0,11.0,2.0,2.0,1.0,11.0,1.0,1.0,3.0,1.0,90.0,34.0,6.9,11.0,0.00094608,0,-0.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407504,home,Torino,Adrien Tameze,adrien-tameze,A. Tameze,M,61,182,371,M,139235,EUR,760320000,D,61,61,False,55.0,49.0,2.0,1.0,32.0,33.0,17.0,22.0,1.0,2.0,2.0,3.0,,,,,90.0,67.0,6.6,9.0,0.00562397,0,,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11407504,home,Torino,Alessandro Buongiorno,alessandro-buongiorno,A. Buongiorno,D,4,191,3972,M,870263,EUR,928627200,D,4,4,False,50.0,46.0,1.0,1.0,31.0,31.0,15.0,19.0,2.0,6.0,3.0,3.0,,,,,90.0,63.0,7.1,5.0,0.00338047,1,,1.0,3.0,,,1.0,4.0,2.0,,1.0,1.0,1.0,2.0,0.3743,,,,,,,,,,,,,,,,,
11407504,home,Torino,Ricardo Rodríguez,ricardo-rodriguez,R. Rodríguez,D,12,182,1729,M,67769,EUR,714700800,D,13,13,False,79.0,73.0,7.0,5.0,34.0,35.0,40.0,45.0,,2.0,1.0,6.0,,,,,90.0,87.0,7.2,7.0,0.064676,0,,,2.0,1.0,,1.0,2.0,,1.0,,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,
11407504,home,Torino,Brandon Soppy,brandon-soppy,B. Soppy,M,2,181,434,M,963211,EUR,1014249600,M,93,93,False,20.0,14.0,1.0,,7.0,9.0,7.0,12.0,,3.0,1.0,,,,,,59.0,35.0,6.3,9.0,0.0183566,1,,1.0,4.0,3.0,,,,,,,,1.0,,0.0069,,,1.0,,1.0,1.0,3.0,,,,,,,,,,
11407504,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,M,28,28,False,44.0,40.0,2.0,2.0,18.0,18.0,22.0,28.0,1.0,4.0,1.0,2.0,,,,,90.0,60.0,6.8,10.0,0.0216287,2,,1.0,4.0,,3.0,,2.0,1.0,,1.0,,1.0,1.0,0.0666,,,2.0,,1.0,,1.0,,,,,,,,,,
11407504,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,8,8,False,73.0,66.0,2.0,1.0,27.0,28.0,40.0,51.0,2.0,4.0,,6.0,,,,,90.0,92.0,7.8,16.0,0.115844,3,,1.0,4.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,0.1016,,,6.0,1.0,,,2.0,2.0,1.0,2.0,1.0,1.0,0.5821,,,,
11407504,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,M,20,20,False,45.0,40.0,3.0,2.0,18.0,19.0,27.0,37.0,1.0,3.0,,4.0,,,,,86.0,75.0,7.4,17.0,0.515178,0,,,2.0,2.0,,1.0,1.0,1.0,4.0,,,2.0,,,,,11.0,5.0,,,,1.0,1.0,,,,,,,,
11407504,home,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,F,16,16,False,20.0,15.0,2.0,1.0,2.0,2.0,13.0,19.0,,2.0,,4.0,,,,,75.0,36.0,6.4,11.0,0.0736979,3,,3.0,11.0,3.0,1.0,,1.0,,,1.0,,,2.0,0.1588,,,1.0,,1.0,,1.0,3.0,,1.0,,,0.0671,,,niksivlasic_,
11407504,home,Torino,Antonio Sanabria,antonio-sanabria,A. Sanabria,F,99,181,3538,M,333261,EUR,825897600,F,9,9,False,29.0,24.0,1.0,,10.0,12.0,14.0,18.0,1.0,2.0,,6.0,,,,,90.0,45.0,6.5,14.0,0.0419883,2,,2.0,8.0,,1.0,,,,1.0,1.0,,3.0,1.0,0.1792,,,1.0,,1.0,,,5.0,1.0,,,,,,,,
