match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_duelLost,stat_fouls,stat_goalAssist,stat_aerialLost,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_dispossessed,stat_wonContest,stat_goals,stat_aerialWon,stat_blockedScoringAttempt,stat_totalOffside
10408318,home,Sevilla,Bono,,,bono,Bono,G,37,195,54576,M,BonoY,360938,EUR,670809600,G,13,13,False,41.0,22.0,26.0,7.0,22.0,24.0,17.0,12.0,2.0,6.0,7.0,1.0,1.0,90.0,52.0,7.5,20.0,0.0,0.0,0.00019056,0,0.9528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408318,home,Sevilla,Jesús Navas,,,jesus-navas,J. Navas,D,16,170,1580,M,,11869,EUR,501379200,D,16,16,False,48.0,33.0,6.0,4.0,14.0,19.0,32.0,5.0,,,,,,90.0,77.0,6.9,19.0,0.0176,0.0604,0.0878214,1,,True,20.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
10408318,home,Sevilla,Tanguy Nianzou,,,tanguy-nianzou,T. Nianzou,D,5,192,1231,M,,1003007,EUR,1023408000,D,14,14,False,11.0,10.0,2.0,1.0,6.0,6.0,5.0,2.0,,,,,,34.0,13.0,5.3,1.0,0.0,0.0,0.00222402,0,,,4.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
10408318,home,Sevilla,Karim Rekik,,,karim-rekik,K. Rekik,D,4,185,255,M,,138827,EUR,786326400,D,4,4,False,20.0,18.0,3.0,1.0,16.0,16.0,4.0,1.0,,,,,,45.0,23.0,6.3,2.0,0.0,0.0,0.00093654,0,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
10408318,home,Sevilla,Alex Telles,,,alex-telles,A. Telles,D,13,181,7654,M,alextelles13,312110,EUR,724377600,D,3,3,False,24.0,22.0,2.0,1.0,12.0,13.0,19.0,5.0,,,,,,90.0,43.0,7.0,10.0,0.0,0.0,0.151745,0,,,12.0,8.0,2.0,4.0,,,,,,1.0,2.0,5.0,,1.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,
10408318,home,Sevilla,Ivan Rakitić,,,ivan-rakitic,I. Rakitić,M,,184,13189,M,ivan_rakitic,7635,EUR,573955200,M,10,10,False,15.0,12.0,2.0,1.0,8.0,9.0,6.0,1.0,,,,,,28.0,19.0,5.5,3.0,0.0,0.0,0.197055,0,,,4.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,
10408318,home,Sevilla,Nemanja Gudelj,,,nemanja-gudelj,N. Gudelj,M,6,187,1647,M,,68332,EUR,690249600,M,6,6,False,30.0,24.0,5.0,1.0,15.0,17.0,13.0,2.0,,,,,,90.0,38.0,6.5,6.0,0.1688,0.0,0.00679067,1,,,9.0,,,2.0,,2.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,
10408318,home,Sevilla,Erik Lamela,,,erik-lamela,E. Lamela,M,,183,2389,M,,122702,EUR,699667200,M,17,17,False,24.0,19.0,2.0,2.0,6.0,9.0,15.0,4.0,,,,,,89.0,45.0,6.6,13.0,0.0,0.0,0.0621005,0,,,13.0,,,7.0,,,,,2.0,1.0,,15.0,4.0,,3.0,2.0,4.0,4.0,3.0,,,,4.0,2.0,,,,
10408318,home,Sevilla,Óliver Torres,,,oliver-torres,Ó. Torres,M,8,178,952,M,,231776,EUR,784425600,M,21,21,False,26.0,19.0,5.0,4.0,5.0,6.0,21.0,2.0,,,,,,64.0,38.0,6.5,11.0,0.0,0.0,0.149056,0,,,14.0,1.0,,3.0,,1.0,,1.0,2.0,2.0,,4.0,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,
10408318,home,Sevilla,Isco,,,isco,Isco,M,22,176,26276,M,iscoalarcon,103417,EUR,703814400,M,22,22,False,23.0,20.0,1.0,,9.0,10.0,14.0,3.0,,,,,,45.0,34.0,6.5,9.0,0.3004,0.1331,0.0145444,1,,,11.0,1.0,,3.0,1.0,,,,3.0,1.0,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,
