match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_keyPass,stat_challengeLost,stat_hitWoodwork,stat_blockedScoringAttempt,stat_penaltyWon,stat_bigChanceCreated,stat_goalAssist,stat_bigChanceMissed,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_lastManTackle
11369446,home,Villarreal,Filip Jørgensen,filip-jorgensen,F. Jørgensen,G,12,190,13907,M,filipjorgensen1,962053,EUR,1018915200,G,13,13,False,28.0,20.0,12.0,4.0,16.0,18.0,4.0,10.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,1.0,1.0,90.0,37.0,6.7,8.0,0.00038534,0,-0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369446,home,Villarreal,Adrià Altimira,altimira-adria,A. Altimira,D,2,170,365,M,,980732,EUR,985737600,D,26,26,False,52.0,41.0,7.0,3.0,24.0,30.0,17.0,23.0,,6.0,1.0,5.0,,,,,,90.0,90.0,7.3,18.0,0.0077488,0,,,,1.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
11369446,home,Villarreal,Raúl Albiol,raul-albiol,R. Albiol,D,39,190,1235,M,,3041,EUR,494640000,D,3,3,False,51.0,47.0,8.0,6.0,36.0,37.0,11.0,14.0,1.0,1.0,3.0,5.0,,,,,,60.0,56.0,6.6,5.0,0.00358998,1,,,,,,1.0,,,,,,,,,,1.0,True,1.0,1.0,0.0087,,,,,,,,,,,,,,,,
11369446,home,Villarreal,Aïssa Mandi,aissa-mandi,A. Mandi,D,23,186,10320,M,aissamandi23,122810,EUR,688089600,D,23,23,False,52.0,48.0,5.0,3.0,31.0,33.0,17.0,19.0,1.0,3.0,4.0,2.0,,,,,,90.0,59.0,7.3,4.0,0.00796004,1,,,,,1.0,1.0,,,,,,,,,2.0,,,,,0.5154,1.0,1.0,0.9586,,,,,,,,,,,,,
11369446,home,Villarreal,Alfonso Pedraza,alfonso-pedraza,A. Pedraza,D,24,184,576,M,,797290,EUR,829008000,D,24,24,False,13.0,11.0,2.0,,5.0,5.0,7.0,10.0,,1.0,,1.0,,,,,,22.0,22.0,7.6,4.0,0.110598,2,,,,2.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,0.094,2.0,1.0,0.7488,1.0,1.0,,,,,,,,,,,
11369446,home,Villarreal,Ilias Akhomach,ilias-akhomach,I. Akhomach,M,12,175,15826,M,iliasakhomach,1089108,EUR,1082073600,M,27,27,False,20.0,13.0,1.0,1.0,4.0,4.0,9.0,18.0,1.0,6.0,,4.0,,,,,,89.0,48.0,6.0,26.0,0.0131425,1,,,,2.0,,17.0,4.0,9.0,1.0,,1.0,,3.0,,1.0,3.0,,,5.0,0.0703,1.0,,0.2122,,,2.0,1.0,,,,,,,,,
11369446,home,Villarreal,Santi Comesaña,santi-comesana,S. Comesaña,M,14,187,1066,M,,843678,EUR,844473600,M,4,4,False,53.0,48.0,3.0,2.0,24.0,29.0,24.0,24.0,1.0,5.0,1.0,7.0,,,,,,90.0,70.0,7.0,6.0,0.0149315,1,,,,,2.0,5.0,,3.0,2.0,,1.0,2.0,2.0,1.0,,1.0,,,,0.0167,,,,,,1.0,,1.0,,,,,,,,
11369446,home,Villarreal,Dani Parejo,dani-parejo,D. Parejo,M,10,180,1999,M,,39182,EUR,608688000,M,10,10,False,59.0,55.0,8.0,7.0,27.0,27.0,30.0,34.0,1.0,7.0,,3.0,,,,,,90.0,76.0,8.1,7.0,0.186258,1,,,,2.0,,3.0,2.0,2.0,2.0,,,1.0,2.0,2.0,2.0,,,,1.0,0.7884,1.0,1.0,0.9797,2.0,3.0,1.0,,,,,,,,,,
11369446,home,Villarreal,Alberto Moreno,alberto-moreno,A. Moreno,D,18,171,850,M,,229740,EUR,710294400,M,18,18,False,20.0,14.0,2.0,1.0,8.0,8.0,7.0,13.0,1.0,4.0,,4.0,,,,,,60.0,32.0,7.3,10.0,0.0652032,0,,,,1.0,1.0,3.0,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,4.0,,,,,1.0,,1.0,,,1.0,,,,,,,
11369446,home,Villarreal,Alejandro Baena,alejandro-baena,A. Baena,M,10,174,9564,M,alexbaena,910031,EUR,995587200,F,16,16,False,30.0,23.0,2.0,1.0,8.0,13.0,15.0,18.0,,2.0,,2.0,,,,,,88.0,40.0,7.3,10.0,0.247455,2,,,,1.0,,4.0,1.0,,,,,,,,2.0,2.0,,1.0,1.0,0.0889,1.0,,0.1187,,2.0,1.0,,,,1.0,,,,,,
