match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_totalTackle,stat_challengeLost,stat_wonTackle,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,player_sofascoreId,stat_bigChanceMissed
12501572,home,Empoli,Devis Vásquez,devis-vasquez,D. Vásquez,G,32,195.0,2465,M,925285,EUR,894931200,G,23,23,False,28.0,12.0,22.0,7.0,0.0,5.0,7.0,7.0,21.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,90.0,42.0,6.8,18.0,0.00330515,0,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501572,home,Empoli,Saba Goglichidze,saba-goglichidze,S. Goglichidze,D,3,192.0,1618,M,1126175,EUR,1088121600,D,2,2,False,20.0,14.0,7.0,3.0,0.0,9.0,9.0,5.0,12.0,2.0,4.0,5.0,5.0,,2.0,,,,,,,90.0,37.0,6.6,10.0,0.00129125,1,,,,1.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0544,,,,,,,,,,,,,,,
12501572,home,Empoli,Luca Marianucci,marianucci-luca,L. Marianucci,D,35,186.0,890,M,1165371,EUR,1090540800,D,35,35,False,36.0,29.0,9.0,7.0,0.0,20.0,22.0,9.0,14.0,5.0,6.0,6.0,1.0,,1.0,,,,,,,90.0,52.0,7.1,8.0,0.00280165,0,,,,,3.0,3.0,,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,
12501572,home,Empoli,Mattia Viti,mattia-viti,M. Viti,D,2,190.0,528,M,1009268,EUR,1011830400,D,21,21,False,28.0,22.0,2.0,1.0,0.0,16.0,19.0,6.0,9.0,3.0,6.0,4.0,2.0,,1.0,,,,,,,90.0,42.0,6.6,8.0,0.00278832,0,,,,,3.0,5.0,,1.0,,,2.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,
12501572,home,Empoli,Emmanuel Gyasi,emmanuel-gyasi,E. Gyasi,M,11,182.0,716,M,541578,EUR,758246400,M,11,11,False,22.0,16.0,3.0,1.0,0.0,3.0,4.0,13.0,19.0,1.0,5.0,3.0,3.0,,1.0,,,,,,,77.0,51.0,6.6,12.0,0.0651897,0,,,,1.0,2.0,9.0,2.0,,,,,4.0,4.0,,1.0,,1.0,,1.0,,,,,,,,,,
12501572,home,Empoli,Liam Henderson,liam-henderson,L. Henderson,M,16,183.0,304,M,287573,EUR,830390400,M,6,6,False,31.0,25.0,7.0,5.0,1.0,9.0,10.0,17.0,26.0,,1.0,1.0,2.0,,,,,,,,,77.0,42.0,7.2,11.0,0.481295,1,,,,5.0,,3.0,,,,,1.0,,2.0,0.0183,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
12501572,home,Empoli,Alberto Grassi,alberto-grassi,A. Grassi,M,33,183.0,263,M,186845,EUR,794534400,M,5,5,False,28.0,18.0,9.0,3.0,0.0,7.0,7.0,11.0,23.0,1.0,3.0,2.0,,,1.0,,,,,,,90.0,39.0,6.4,13.0,0.00663787,0,,,,2.0,1.0,3.0,,,,,3.0,1.0,3.0,,,1.0,,,,,,,True,,,,,,
12501572,home,Empoli,Liberato Cacace,liberato-cacace,L. Cacace,D,13,184.0,514,M,905264,EUR,970012800,M,13,13,False,26.0,19.0,5.0,2.0,1.0,6.0,7.0,16.0,25.0,,5.0,,2.0,,1.0,,,,,,,90.0,53.0,7.3,12.0,0.169461,1,,,,6.0,1.0,3.0,,,,1.0,2.0,2.0,2.0,0.026,1.0,3.0,,,1.0,3.0,,,,1.0,,,,,
12501572,home,Empoli,Lorenzo Colombo,lorenzo-colombo,L. Colombo,F,29,183.0,2440,M,930191,EUR,1015545600,F,29,29,False,13.0,8.0,2.0,2.0,0.0,1.0,2.0,7.0,11.0,3.0,6.0,1.0,2.0,,6.0,,,,,,,70.0,27.0,7.2,11.0,0.0806534,2,,,,,4.0,6.0,,,,1.0,,3.0,2.0,0.1118,,,,,2.0,,,,,,1.0,0.0452,,,
12501572,home,Empoli,Jacopo Fazzini,jacopo-fazzini,J. Fazzini,F,22,178.0,840,M,1012179,EUR,1047772800,F,10,10,False,20.0,14.0,3.0,1.0,0.0,3.0,4.0,11.0,16.0,,6.0,2.0,5.0,,2.0,,,,,,,90.0,35.0,7.6,9.0,0.019312,2,,,,,1.0,2.0,,2.0,1.0,,,2.0,,0.7018,,3.0,,3.0,,,,1.0,,,1.0,0.9795,1.0,,
12501572,home,Empoli,Sebastiano Esposito,sebastiano-esposito,S. Esposito,F,94,186.0,4178,M,965008,EUR,1025568000,F,99,99,False,19.0,16.0,3.0,1.0,0.0,3.0,3.0,14.0,21.0,1.0,5.0,1.0,2.0,,4.0,,,,,,,90.0,45.0,6.7,18.0,0.0750249,2,,,,5.0,2.0,8.0,3.0,4.0,2.0,1.0,,,1.0,0.2075,,2.0,,,1.0,1.0,,,,,1.0,0.0206,,,
12501572,home,Empoli,Tyronne Ebuehi,tyronne-ebuehi,T. Ebuehi,D,24,187.0,664,M,580512,EUR,819072000,D,24,24,True,9.0,7.0,,,0.0,1.0,1.0,6.0,8.0,,1.0,,2.0,,1.0,,,,,,,20.0,16.0,6.4,4.0,0.0127896,0,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
