match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_shotOffTarget,stat_totalTackle,stat_ownGoals,stat_dispossessed,stat_wonContest,stat_wonTackle,stat_totalOffside,stat_keyPass,captain,stat_unsuccessfulTouch,stat_challengeLost,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_punches,stat_outfielderBlock
14083163,home,Valencia,Julen Agirrezabala,,,julen-agirrezabala,J. Agirrezabala,G,25,187,1097,M,1014412,EUR,977788800,G,25,25,False,27.0,18.0,11.0,2.0,0.0,17.0,19.0,1.0,8.0,1.0,3.0,1.0,1.0,2.0,2.0,90.0,30.0,7.0,9.0,0.00033195,45.312285061073,8.0,38.22,9.975,0.4998,0,-0.6015,0.02,0.01,-0.1,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083163,home,Valencia,Thierry Correia,,,correia-thierry,T. Correia,D,12,176,798,M,851282,EUR,920937600,D,12,12,False,37.0,28.0,4.0,1.0,0.0,17.0,19.0,11.0,18.0,1.0,2.0,,,,,90.0,67.0,6.3,15.0,0.00753258,90.793158786306,12.0,55.755,10.71,,1,,-0.02,0.05,-0.15,,2.0,2.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0,2.0,0.1457,0.02,,,,,,,,,,,,,,,,,,,,
14083163,home,Valencia,César Tárrega,,,cesar-tarrega,C. Tárrega,D,5,193,816,M,996928,EUR,1014681600,D,5,5,False,54.0,50.0,1.0,1.0,0.0,44.0,45.0,6.0,9.0,3.0,3.0,,,,,90.0,65.0,6.0,6.0,0.00227199,116.15482038908,13.0,25.725,9.45,,1,,-0.21,0.35,-0.76,,,,3.0,,4.0,,,2.0,,,0.0128,-0.08,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14083163,home,Valencia,José Copete,,,jose-copete,J. Copete,D,3,190,437,M,913695,EUR,939513600,D,3,3,False,71.0,59.0,10.0,5.0,0.0,35.0,38.0,24.0,33.0,6.0,5.0,,,,,90.0,87.0,7.1,15.0,0.0605421,241.08550251073,25.0,135.24,20.685,,0,,0.39,0.08,-0.11,,,3.0,3.0,5.0,7.0,2.0,,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14083163,home,Valencia,José Luis Gayà,,,jose-luis-gaya,J. L. Gayà,D,14,172,1685,M,227922,EUR,801360000,D,14,14,False,21.0,12.0,4.0,,0.0,8.0,10.0,4.0,11.0,1.0,4.0,,,,,77.0,38.0,6.0,13.0,0.00870282,22.333616962564,4.0,-5.775,3.78,,0,,-0.04,-0.39,-0.17,,,1.0,1.0,6.0,4.0,3.0,,1.0,2.0,2.0,,,,1.0,,,,,,,True,,,,,,,,,,,
14083163,home,Valencia,Javier Guerra,,,javier-guerra,J. Guerra,M,8,187,1800,M,1122610,EUR,1052784000,M,8,8,False,27.0,20.0,2.0,,0.0,14.0,17.0,6.0,10.0,,3.0,,,,,63.0,35.0,6.3,11.0,0.00811361,75.103858973015,12.0,43.155,9.345,,0,,0.0,0.07,-0.03,,,1.0,,4.0,1.0,1.0,,1.0,,,,,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,
14083163,home,Valencia,Pepelu,,,pepelu,Pepelu,M,18,185,1838,M,826948,EUR,902793600,M,18,18,False,58.0,51.0,8.0,3.0,0.0,23.0,24.0,28.0,34.0,,5.0,,,,,90.0,68.0,6.9,9.0,0.024964,164.34594341531,20.0,72.555,13.23,,1,,0.32,0.13,-0.1,,,,1.0,6.0,4.0,,1.0,,,3.0,0.1091,0.03,,3.0,,2.0,,1.0,,,,,1.0,,,,,,,,,
14083163,home,Valencia,Luis Rioja,,,luis-rioja,L. Rioja,M,11,173,860,M,900433,EUR,750729600,M,11,11,False,16.0,12.0,1.0,1.0,0.0,5.0,6.0,7.0,10.0,,1.0,,,,,68.0,33.0,6.9,11.0,0.012129,124.67440055097,10.0,21.525,24.045,,0,,0.07,0.08,-0.04,,6.0,,,,4.0,1.0,,,2.0,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,
14083163,home,Valencia,André Almeida,,,andre-almeida,A. Almeida,M,10,176,1200,M,845693,EUR,959644800,M,10,10,False,22.0,18.0,3.0,2.0,0.0,6.0,6.0,12.0,16.0,,3.0,,,,,63.0,33.0,6.3,12.0,0.0105853,52.937104636519,6.0,9.555,18.69,,0,,0.15,-0.09,-0.11,,3.0,,,8.0,3.0,3.0,,,1.0,3.0,,,,2.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,
14083163,home,Valencia,Arnaut Danjuma,,,arnaut-danjuma,A. Danjuma,F,7,178,3536,M,827064,EUR,854668800,M,7,7,False,9.0,7.0,1.0,1.0,0.0,4.0,4.0,3.0,5.0,,4.0,,,,,63.0,17.0,6.7,6.0,0.0681409,155.73588555868,8.0,98.28,44.94,,1,,0.2,0.43,-0.04,,2.0,,,3.0,1.0,3.0,1.0,,,,0.0811,-0.51,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,
