match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_goalAssist,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAGoal
10652686,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,44.0,33.0,20.0,9.0,30.0,33.0,3.0,11.0,1.0,1.0,10.0,1.0,2.0,2.0,4.0,90.0,59.0,7.7,12.0,0.000357862,0,1.0608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10652686,home,Liverpool,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,58.0,44.0,12.0,6.0,15.0,21.0,30.0,42.0,2.0,,5.0,,,,,90.0,81.0,7.9,19.0,0.192857,0,,5.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,
10652686,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,49.0,43.0,2.0,,35.0,38.0,8.0,11.0,4.0,1.0,4.0,1.0,,,,90.0,62.0,6.6,8.0,0.00144951,1,,,,1.0,,2.0,1.0,1.0,,3.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.2215,,,,,,,,,
10652686,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,47.0,41.0,8.0,4.0,31.0,33.0,10.0,14.0,3.0,1.0,2.0,,,,,90.0,52.0,6.8,6.0,0.0032639,0,,,,1.0,1.0,2.0,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10652686,home,Liverpool,Andrew Robertson,andrew-robertson,A. Robertson,D,26,178,24820,M,andyrobertson94,262911,EUR,763344000,D,26,26,False,44.0,31.0,2.0,1.0,12.0,13.0,21.0,39.0,4.0,1.0,7.0,3.0,,,,90.0,78.0,8.1,24.0,0.345933,2,,8.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,,1.0,4.0,3.0,1.0,3.0,,,,,1.0,,1.0,0.1633,1.0,1.0,,,,,,,
10652686,home,Liverpool,Harvey Elliott,harvey-elliott,H. Elliott,M,9,170,21132,M,harvelliott,955245,EUR,1049414400,M,19,19,False,55.0,45.0,2.0,,18.0,20.0,27.0,35.0,3.0,1.0,10.0,1.0,,,,85.0,71.0,7.8,12.0,0.84532,3,,,,1.0,1.0,6.0,1.0,1.0,1.0,,1.0,4.0,3.0,1.0,1.0,,,1.0,,1.0,,,0.1754,1.0,1.0,1.0,0.0257,,,,,
10652686,home,Liverpool,Fabinho,fabinho,Fabinho,M,8,187,9273,M,Fabinho,243585,EUR,751334400,M,3,3,False,39.0,33.0,6.0,4.0,17.0,18.0,16.0,21.0,1.0,,5.0,1.0,,,,79.0,45.0,6.9,7.0,0.0422679,0,,,,,,,,,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
10652686,home,Liverpool,Jordan Henderson,jordan-henderson,J. Henderson,M,6,183,6378,M,jordanhenderson,42694,EUR,645580800,M,14,14,False,40.0,35.0,1.0,,24.0,26.0,13.0,17.0,2.0,,11.0,,,,,78.0,53.0,7.3,6.0,0.191714,1,,3.0,2.0,,1.0,3.0,,,,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,0.053,1.0,1.0,,,True,,,,
10652686,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,33.0,23.0,2.0,2.0,4.0,6.0,20.0,28.0,5.0,1.0,4.0,6.0,,,,90.0,60.0,10.0,20.0,0.505329,3,,1.0,1.0,1.0,,8.0,3.0,1.0,2.0,,,1.0,,,3.0,,,1.0,,1.0,,6.0,0.6703,2.0,,2.0,0.9468,,2.0,,,
10652686,home,Liverpool,Cody Gakpo,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,F,18,18,False,24.0,15.0,2.0,1.0,4.0,6.0,11.0,19.0,12.0,3.0,2.0,3.0,,,,79.0,42.0,8.2,17.0,0.0936702,3,,1.0,,3.0,3.0,8.0,4.0,1.0,,,,1.0,1.0,2.0,1.0,,,1.0,,,,3.0,0.3156,,1.0,2.0,1.507,,2.0,,,
