match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalContest,captain,stat_dispossessed,stat_wonContest,stat_keyPass,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_accurateCross,stat_penaltyWon,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_clearanceOffLine,stat_penaltyConceded
12514006,home,Sporting CP,Vladan Kovačević,vladan-kovacevic,V. Kovačević,G,1,191,1483,M,857997,EUR,892252800,G,13,13,False,27.0,21.0,8.0,2.0,0.0,19.0,24.0,2.0,3.0,13.0,2.0,90.0,34.0,7.1,6.0,0.00028167,0,0.1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514006,home,Sporting CP,Eduardo Quaresma,eduardo-quaresma,E. Quaresma,D,72,185,2167,M,989841,EUR,1015027200,D,72,72,False,77.0,69.0,5.0,1.0,0.0,48.0,51.0,21.0,26.0,2.0,,80.0,84.0,6.7,11.0,0.00693262,0,,Eduardo,Quaresma,3.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514006,home,Sporting CP,Ousmane Diomande,diomande-ousmane,O. Diomande,D,26,190,4976,M,1394342,EUR,1070496000,D,26,26,False,96.0,86.0,8.0,3.0,0.0,73.0,78.0,13.0,18.0,5.0,,90.0,109.0,7.5,10.0,0.00606383,3,,Ousmane,Diomande,1.0,2.0,5.0,4.0,2.0,,1.0,1.0,ousdiomande,2.0,2.0,1.0,2.0,1.0,0.1031,0.0392,,,,,,,,,,,,,,,,,,,
12514006,home,Sporting CP,Gonçalo Inácio,goncalo-inacio,G. Inácio,D,25,186,6686,M,1001196,EUR,998697600,D,25,25,False,78.0,68.0,6.0,2.0,0.0,50.0,53.0,18.0,26.0,4.0,,90.0,89.0,7.3,11.0,0.00964848,1,,Gonçalo,Inácio,1.0,4.0,3.0,,2.0,,,2.0,goncaloinacio_25,1.0,,,4.0,1.0,0.1161,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12514006,home,Sporting CP,Geovany Quenda,geovany-quenda,G. Quenda,M,7,172,12851,M,1403165,EUR,1177891200,M,57,57,False,34.0,28.0,5.0,1.0,0.0,14.0,15.0,14.0,24.0,6.0,,80.0,55.0,6.6,16.0,0.0180179,0,,Geovany,Quenda,,2.0,5.0,2.0,1.0,3.0,2.0,1.0,GeoQuenda07,2.0,,,,,,,5.0,,,,2.0,,,,,,,,,,,,,,
12514006,home,Sporting CP,Morten Hjulmand,hjulmand-morten,M. Hjulmand,M,42,185,4443,M,859917,EUR,930268800,M,42,42,False,35.0,31.0,,,0.0,17.0,19.0,14.0,16.0,7.0,,86.0,49.0,7.1,8.0,0.00826295,1,,Morten,Hjulmand,1.0,4.0,6.0,,1.0,1.0,2.0,1.0,,2.0,,,1.0,1.0,0.0724,,,,1.0,1.0,1.0,True,2.0,1.0,1.0,,,,,,,,,,
12514006,home,Sporting CP,Hidemasa Morita,hidemasa-morita,H. Morita,M,5,177,3106,M,926560,EUR,800064000,M,5,5,False,36.0,33.0,4.0,4.0,0.0,17.0,17.0,16.0,20.0,5.0,,90.0,44.0,6.6,7.0,0.0973568,0,,Hidemasa,Morita,3.0,8.0,3.0,1.0,1.0,2.0,,1.0,,1.0,,,,1.0,,,1.0,3.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,
12514006,home,Sporting CP,Geny Catamo,geny-catamo,G. Catamo,M,10,172,10919,M,1001140,EUR,980467200,M,21,21,False,28.0,23.0,5.0,4.0,0.0,9.0,10.0,14.0,19.0,1.0,,90.0,49.0,7.6,11.0,0.272167,2,,,,,4.0,4.0,2.0,,1.0,3.0,1.0,,,1.0,1.0,,,0.1456,0.6102,1.0,,,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
12514006,home,Sporting CP,Francisco Trincão,francisco-trincao,F. Trincão,F,17,184,11949,M,830431,EUR,946425600,F,17,17,False,17.0,11.0,,,0.0,2.0,4.0,9.0,13.0,3.0,,89.0,29.0,6.5,9.0,0.12749,3,,Francisco,Trincão,,1.0,5.0,,,2.0,4.0,,trincao,,2.0,1.0,,,0.7444,,,,,,2.0,,,1.0,,,,,3.0,,,,,,
12514006,home,Sporting CP,Pedro Gonçalves,pedro-goncalves,P. Gonçalves,F,8,173,8267,M,895764,EUR,898992000,F,8,8,False,18.0,16.0,1.0,1.0,1.0,2.0,2.0,16.0,18.0,3.0,,90.0,42.0,8.2,7.0,1.00037,2,,,,3.0,9.0,4.0,,3.0,1.0,1.0,1.0,pedroogoncalves28,,1.0,,1.0,1.0,0.1287,,2.0,1.0,1.0,1.0,2.0,,2.0,,9.0,2.0,,,1.0,2.0,,,,,
12514006,home,Sporting CP,Viktor Gyökeres,viktor-gyokeres,V. Gyökeres,F,14,187,198098,M,804508,EUR,896918400,F,9,9,False,20.0,16.0,,,0.0,3.0,3.0,13.0,17.0,6.0,,90.0,40.0,8.2,9.0,0.72936,5,,,,3.0,8.0,9.0,,,2.0,3.0,2.0,VGyökeres,2.0,2.0,2.0,,,1.6301,0.9044,,,1.0,,6.0,,1.0,4.0,1.0,1.0,1.0,,1.0,,1.0,,,,
