match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_totalClearance,stat_penaltyWon,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_totalOffside,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_hitWoodwork,stat_penaltyConceded
10385687,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3777,M,lukasz.fabianski,15479,EUR,482630400,G,1,1,False,23.0,15.0,11.0,3.0,12.0,12.0,3.0,11.0,1.0,7.0,1.0,1.0,1.0,90.0,31.0,6.6,9.0,0.0,0.0,0.0001813,0,-0.0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385687,home,West Ham United,Thilo Kehrer,thilo-kehrer,T. Kehrer,D,5,186,1925,M,,281277,EUR,843264000,D,24,24,False,39.0,33.0,,,18.0,22.0,15.0,20.0,2.0,3.0,,,,90.0,58.0,6.5,10.0,0.0428,0.0,0.113048,1,,3.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10385687,home,West Ham United,Craig Dawson,craig-dawson,C. Dawson,D,,188,419,M,,50027,EUR,641952000,D,15,15,False,47.0,40.0,12.0,6.0,30.0,32.0,10.0,15.0,5.0,4.0,2.0,,,90.0,55.0,7.2,7.0,0.0,0.0,0.00430768,0,,,,,1.0,,,,3.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10385687,home,West Ham United,Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2248,M,,139227,EUR,783216000,D,4,4,False,48.0,41.0,5.0,3.0,35.0,42.0,6.0,6.0,,6.0,,,,90.0,56.0,6.7,8.0,0.0,0.0,0.00117906,0,,,1.0,,1.0,,,2.0,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,
10385687,home,West Ham United,Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,763,M,,43443,EUR,629683200,D,3,3,False,54.0,46.0,5.0,2.0,21.0,26.0,27.0,34.0,1.0,5.0,,,,90.0,75.0,7.3,13.0,0.0,0.0,0.120628,0,,6.0,1.0,,2.0,,,1.0,1.0,,,3.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10385687,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,,799041,EUR,793843200,M,28,28,False,49.0,40.0,5.0,4.0,20.0,23.0,20.0,26.0,4.0,4.0,,,,90.0,62.0,7.5,10.0,0.0,0.0,0.0274785,0,,,3.0,2.0,3.0,,,4.0,2.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,
10385687,home,West Ham United,Declan Rice,declan-rice,D. Rice,M,41,188,64734,M,DeclanRice,856714,EUR,916272000,M,41,41,False,70.0,63.0,4.0,4.0,26.0,28.0,37.0,43.0,3.0,9.0,,,,90.0,81.0,7.0,10.0,0.0,0.0,0.0362804,0,,1.0,1.0,1.0,2.0,1.0,,3.0,2.0,2.0,,,1.0,,,,1.0,,,,,,True,,,,,,,,,,,
10385687,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,jarrodbowen,552884,EUR,851040000,M,20,20,False,23.0,19.0,,,8.0,10.0,11.0,16.0,2.0,2.0,1.0,,,90.0,43.0,6.9,14.0,1.7157,1.9562,0.0321269,5,,3.0,,,2.0,2.0,3.0,,1.0,,,2.0,,,,,4.0,,,,,,,1.0,2.0,1.0,,,,,,,,
10385687,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,Paqueta,839981,EUR,872640000,M,11,11,False,54.0,45.0,3.0,1.0,25.0,27.0,20.0,28.0,6.0,7.0,2.0,,,84.0,70.0,7.5,15.0,0.2391,0.278,0.281687,4,,1.0,,2.0,3.0,3.0,1.0,,1.0,1.0,,2.0,,,,,2.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,,,,
10385687,home,West Ham United,Pablo Fornals,pablo-fornals,P. Fornals,M,8,178,2735,M,,816763,EUR,824947200,M,8,8,False,45.0,37.0,7.0,5.0,11.0,14.0,26.0,35.0,,7.0,,,,89.0,54.0,6.9,13.0,0.0,0.0,0.174358,0,,4.0,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
