match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalClearance,captain,stat_challengeLost,stat_totalCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,player_sofascoreId,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,stat_errorLeadToAGoal,stat_outfielderBlock,stat_accurateCross,stat_hitWoodwork
11407459,home,Frosinone,Stefano Turati,stefano-turati,S. Turati,G,13,188,559,M,893752,EUR,999648000,G,80,80,False,48.0,42.0,10.0,5.0,42.0,45.0,3.0,15.0,1.0,2.0,2.0,1.0,1.0,90.0,59.0,6.9,6.0,0.00012582,0,0.3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407459,home,Frosinone,Anthony Oyono,anthony-oyono,A. Oyono,D,20,179,394,M,1106257,EUR,987033600,D,22,22,False,57.0,50.0,4.0,1.0,20.0,22.0,35.0,5.0,,,,,,90.0,79.0,6.6,14.0,0.105744,0,,Anthony Oyono,,1.0,30.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11407459,home,Frosinone,Caleb Okoli,caleb-okoli,C. Okoli,D,5,191,938,M,967722,EUR,994982400,D,5,5,False,68.0,62.0,6.0,2.0,44.0,45.0,23.0,4.0,,,,,,90.0,78.0,6.9,8.0,0.00670267,0,,,,,18.0,2.0,5.0,,,,1.0,3.0,2.0,2.0,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
11407459,home,Frosinone,Simone Romagnoli,simone-romagnoli,S. Romagnoli,D,4,193,92,M,111487,EUR,634521600,D,6,6,False,87.0,84.0,4.0,3.0,74.0,76.0,11.0,3.0,,,,,,90.0,94.0,6.9,3.0,0.00714853,0,,,,,10.0,3.0,4.0,,,,1.0,2.0,1.0,,,,2.0,2.0,2.0,True,1.0,,,,,,,,,,,,,,,,,
11407459,home,Frosinone,Riccardo Marchizza,marchizza-riccardo,R. Marchizza,D,5,185,121,M,792311,EUR,890870400,D,3,3,False,29.0,20.0,2.0,,12.0,17.0,13.0,3.0,,,,,,69.0,49.0,7.1,11.0,0.00420552,2,,,,,8.0,2.0,1.0,,,,,1.0,,,1.0,,1.0,,4.0,,,1.0,2.0,0.0625,0.1986,,,,,,,,,,,,,
11407459,home,Frosinone,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,404,M,98003,EUR,681523200,M,24,24,False,26.0,22.0,1.0,,10.0,11.0,16.0,2.0,,,,,,61.0,32.0,6.7,6.0,0.0110286,1,,,,,12.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,0.0348,,1.0,,,,,,,,,,,,
11407459,home,Frosinone,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,1087316,EUR,990489600,M,45,45,False,86.0,71.0,7.0,2.0,38.0,44.0,42.0,16.0,,,,,,90.0,112.0,7.0,19.0,0.0238418,1,,,,,33.0,6.0,11.0,1.0,4.0,2.0,,5.0,2.0,1.0,,2.0,1.0,2.0,2.0,,2.0,,,0.0271,,,1.0,1.0,3.0,,,,,,,,,
11407459,home,Frosinone,Matías Soulé,matias-soule,M. Soulé,F,18,182,12526,M,1082406,EUR,1050364800,M,18,18,False,57.0,45.0,4.0,1.0,11.0,12.0,48.0,4.0,,,,,,90.0,85.0,7.9,24.0,0.147002,3,,,,,34.0,5.0,5.0,3.0,2.0,2.0,,2.0,1.0,3.0,,1.0,1.0,,,,1.0,3.0,1.0,0.1481,0.2352,,2.0,,1.0,matiassoule11,1.0,,,,,,,
11407459,home,Frosinone,Reinier,reinier,Reinier,F,19,185,23831,M,978562,EUR,1011398400,M,12,12,False,28.0,20.0,2.0,1.0,11.0,12.0,17.0,6.0,,,,,,80.0,41.0,6.6,15.0,0.0757423,0,,,,,9.0,7.0,3.0,2.0,2.0,1.0,,1.0,1.0,3.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,1.0,reinier.jesus,,1.0,,,,,,
11407459,home,Frosinone,Arijon Ibrahimović,arijon-ibrahimovic,A. Ibrahimović,F,22,176,2968,M,1142248,EUR,1134259200,M,27,27,False,12.0,9.0,1.0,1.0,3.0,4.0,8.0,1.0,,,,,,61.0,23.0,6.8,8.0,0.0361993,1,,,,,6.0,,4.0,,,,,1.0,1.0,4.0,,1.0,,1.0,,,,,1.0,0.0987,0.5186,,,,2.0,,,,1.0,,,,,
11407459,home,Frosinone,Walid Cheddira,walid-cheddira,W. Cheddira,F,99,187,3794,M,917485,EUR,885427200,F,70,70,False,16.0,10.0,,,4.0,6.0,10.0,,,,,,,80.0,22.0,6.6,8.0,0.00534267,0,,,,,6.0,,4.0,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,2.0,walo_98,,,,1.0,,,,
