match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves
10433891,home,Konyaspor,Ibrahim Šehić,ibrahim-sehic,I. Šehić,G,13,190,350,M,63952,EUR,589161600,G,13,13,False,True,33.0,27.0,14.0,9.0,27.0,28.0,5.0,2.0,9.0,1.0,2.0,1.0,1.0,90.0,41.0,5.9,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433891,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,,50.0,36.0,6.0,1.0,20.0,25.0,30.0,2.0,5.0,,,,,90.0,89.0,7.5,25.0,0,,,17.0,5.0,1.0,1.0,4.0,4.0,11.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,
10433891,home,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,,57.0,53.0,6.0,6.0,31.0,33.0,24.0,4.0,8.0,,,,,90.0,66.0,6.9,5.0,0,,,22.0,,,1.0,3.0,3.0,5.0,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,
10433891,home,Konyaspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,677,M,156400,EUR,710553600,D,15,15,False,,62.0,54.0,13.0,9.0,34.0,35.0,27.0,3.0,7.0,,,,,72.0,72.0,6.8,10.0,1,,,20.0,,,2.0,3.0,5.0,4.0,,,1.0,,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,
10433891,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,,41.0,35.0,5.0,4.0,18.0,21.0,31.0,3.0,6.0,,,,,90.0,68.0,8.0,15.0,1,,,22.0,11.0,5.0,3.0,,4.0,,,,2.0,,,1.0,,,5.0,1.0,,,1.0,1.0,,,,,,,,,,
10433891,home,Konyaspor,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,20,179,1356,M,795421,EUR,857779200,M,18,18,False,,57.0,43.0,10.0,5.0,20.0,22.0,38.0,,7.0,,,,,90.0,77.0,7.9,19.0,2,,,25.0,3.0,2.0,1.0,1.0,3.0,5.0,,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,2.0,1.0,,,,,,,
10433891,home,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,71,174,588,M,851243,EUR,874627200,M,77,77,False,,14.0,8.0,,,1.0,1.0,15.0,,1.0,,,,,78.0,25.0,6.4,12.0,1,Konrad,Michalak,7.0,2.0,,,,1.0,2.0,1.0,,,,,4.0,2.0,,,,,,,,,,1.0,1.0,,,,,,
10433891,home,Konyaspor,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,False,,10.0,10.0,1.0,1.0,8.0,8.0,4.0,1.0,,,,,,45.0,21.0,6.8,5.0,2,Ogulcan Ülgün,,2.0,2.0,,1.0,2.0,5.0,4.0,,,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,
10433891,home,Konyaspor,Endri Çekiçi,endri-cekici,E. Çekiçi,M,22,179,229,M,187153,EUR,848707200,M,23,23,False,,37.0,30.0,3.0,1.0,13.0,15.0,23.0,1.0,7.0,,,,,90.0,56.0,6.6,12.0,4,,,17.0,1.0,,,2.0,5.0,8.0,2.0,,,2.0,1.0,2.0,3.0,2.0,,2.0,2.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,
10433891,home,Konyaspor,Zymer Bytyqi,zymer-bytyqi,Z. Bytyqi,M,,176,255,M,226784,EUR,842400000,M,7,7,False,,28.0,18.0,2.0,1.0,9.0,12.0,18.0,1.0,3.0,,,,,56.0,39.0,6.7,14.0,2,,,9.0,2.0,,,,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,
