match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_aerialWon,stat_interceptionWon,stat_challengeLost,stat_wasFouled,captain,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_totalOffside,stat_goals,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyMiss
11407487,home,Fiorentina,Pietro Terracciano,pietro-terracciano,P. Terracciano,G,1,193,1591,M,136856,EUR,636854400,G,1,1,False,37.0,21.0,23.0,7.0,16.0,19.0,5.0,18.0,2.0,1.0,1.0,9.0,1.0,1.0,6.0,1.0,1.0,7.0,1.0,90.0,49.0,8.5,18.0,0.00151124,0,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407487,home,Fiorentina,Michael Kayode,michael-kayode,M. Kayode,D,33,179,2419,M,1137431,EUR,1089417600,D,33,33,False,38.0,31.0,4.0,1.0,22.0,23.0,10.0,16.0,5.0,,2.0,5.0,,1.0,,,,,,90.0,65.0,7.4,14.0,0.0535755,0,,,,1.0,1.0,2.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,
11407487,home,Fiorentina,Lucas Martínez Quarta,lucas-martinez-quarta,L. M. Quarta,D,28,183,3115,M,795297,EUR,831686400,D,28,28,False,44.0,30.0,7.0,1.0,22.0,28.0,8.0,16.0,4.0,,,3.0,,,,,,,,72.0,54.0,6.9,15.0,0.00285936,0,,,,,,4.0,8.0,,,,2.0,2.0,,chinomartinezquarta96,6.0,2.0,,,,,,,,,,,,,,,,,,
11407487,home,Fiorentina,Luca Ranieri,luca-ranieri,L. Ranieri,D,6,187,1115,M,893998,EUR,924825600,D,16,16,False,51.0,43.0,11.0,7.0,24.0,27.0,20.0,26.0,6.0,,3.0,2.0,,,,,,,,90.0,59.0,7.0,9.0,0.00918766,0,,,,2.0,1.0,5.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
11407487,home,Fiorentina,Cristiano Biraghi,cristiano-biraghi,C. Biraghi,D,34,184,1338,M,122848,EUR,715305600,D,3,3,False,45.0,37.0,6.0,1.0,12.0,13.0,27.0,38.0,6.0,,1.0,3.0,,2.0,,,,,,90.0,76.0,7.1,16.0,0.181147,0,,,,6.0,2.0,,4.0,1.0,1.0,,2.0,1.0,,,,,4.0,1.0,True,1.0,,,,,,,,,,,,,,
11407487,home,Fiorentina,Maxime López,maxime-lopez,M. López,M,21,167,1284,M,352802,EUR,881193600,M,8,8,False,29.0,22.0,2.0,1.0,11.0,12.0,11.0,18.0,2.0,,1.0,2.0,,2.0,,,,,,45.0,32.0,6.6,8.0,0.0104231,0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11407487,home,Fiorentina,Rolando Mandragora,rolando-mandragora,R. Mandragora,M,8,183,2103,M,548178,EUR,867542400,M,38,38,False,36.0,26.0,7.0,4.0,11.0,12.0,16.0,25.0,4.0,,,2.0,,,,,,,,85.0,43.0,7.2,10.0,0.191869,1,,,,1.0,1.0,4.0,5.0,,,,4.0,2.0,,,,,,1.0,,1.0,1.0,0.2133,0.1662,,,,,,,,,,,
11407487,home,Fiorentina,Jonathan Ikoné,jonathan-ikone,J. Ikoné,M,93,180,1415,M,802142,EUR,894067200,M,11,11,False,27.0,18.0,1.0,1.0,8.0,8.0,10.0,20.0,6.0,2.0,,4.0,,1.0,,,,,,90.0,39.0,7.0,13.0,0.0670205,1,,,,1.0,,2.0,7.0,2.0,2.0,,3.0,1.0,1.0,,2.0,,1.0,,,,,0.0373,,1.0,1.0,,,,,,,,,
11407487,home,Fiorentina,Lucas Beltrán,lucas-beltran,L. Beltrán,M,15,177,3780,M,962029,EUR,985824000,M,9,9,False,24.0,16.0,,,5.0,6.0,11.0,19.0,7.0,1.0,1.0,4.0,,1.0,,,,,,90.0,40.0,7.6,15.0,0.157127,1,,,,1.0,,4.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,beltranlucass,2.0,,,,,,1.0,0.1282,0.2614,,,1.0,,,,,,,,
11407487,home,Fiorentina,Riccardo Sottil,riccardo-sottil,R. Sottil,M,23,180,1381,M,893640,EUR,928368000,M,7,7,False,14.0,9.0,1.0,1.0,4.0,6.0,5.0,10.0,3.0,,,2.0,,,,,,,,45.0,23.0,6.6,10.0,0.0317567,0,,,,2.0,,1.0,3.0,2.0,1.0,,,,2.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,
