match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_dribbleValueNormalized,stat_challengeLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_shotValueNormalized,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_accurateCross,stat_wasFouled,captain,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal,stat_lastManTackle
14082849,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,18.0,11.0,17.0,10.0,0.0,1.0,1.0,10.0,17.0,5.0,2.0,2.0,90.0,21.0,6.4,7.0,0.00566568,0.053,0,0.3422,0.14,-0.05,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14082849,home,Deportivo Alavés,Jonny Otto,jonny-otto,J. Otto,D,17,175.0,572,M,235648,EUR,762652800,D,17,17,False,57.0,52.0,5.0,2.0,0.0,24.0,26.0,28.0,31.0,4.0,,,90.0,80.0,7.1,8.0,0.0323204,,0,,0.44,-0.1,,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.14,,,,,,,,,,,,,,,,,,,,,,,
14082849,home,Deportivo Alavés,Facundo Garcés,facundo-garces,F. Garcés,D,2,191.0,1959,M,879875,EUR,936489600,D,2,2,False,48.0,41.0,8.0,3.0,0.0,28.0,31.0,13.0,17.0,5.0,,,90.0,60.0,6.5,8.0,0.00780462,,1,,0.18,-0.04,,,6.0,3.0,8.0,4.0,,6.0,1.0,1.0,1.0,,1.0,,0.05,1.0,1.0,1.0,1.0,0.0084,-0.1,,,,,,,,,,,,,,,,,
14082849,home,Deportivo Alavés,Nahuel Tenaglia,nahuel-tenaglia,N. Tenaglia,D,14,182.0,1025,M,896073,EUR,824860800,D,14,14,False,46.0,37.0,7.0,2.0,0.0,24.0,26.0,13.0,20.0,2.0,,,90.0,65.0,8.1,11.0,0.00786526,,1,,0.2,-0.04,,,2.0,2.0,4.0,4.0,,9.0,,1.0,2.0,2.0,,,-0.12,1.0,,1.0,,0.2325,0.51,1.0,1.0,1.0,0.9269,,,,,,,,,,,,,
14082849,home,Deportivo Alavés,Victor Parada,victor-parada,V. Parada,D,24,184.0,129,M,985726,EUR,1017878400,D,24,24,False,34.0,24.0,2.0,,0.0,10.0,14.0,14.0,20.0,4.0,,,89.0,54.0,6.5,11.0,0.170168,,0,,0.3,-0.17,,4.0,2.0,,2.0,1.0,,1.0,,,,,,3.0,0.01,,,,,,,,,,,,,3.0,1.0,,,,,,,,,
14082849,home,Deportivo Alavés,Antonio Blanco,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,8,8,False,68.0,60.0,10.0,8.0,0.0,21.0,24.0,39.0,44.0,7.0,,,90.0,90.0,7.4,13.0,0.181072,,1,,0.41,0.14,,4.0,1.0,3.0,4.0,5.0,2.0,4.0,,4.0,2.0,1.0,1.0,1.0,0.07,,1.0,,,0.0089,-0.14,,,,,,,1.0,,True,,,,,,,,
14082849,home,Deportivo Alavés,Carlos Vicente,vicente-carlos,C. Vicente,M,23,179.0,1926,M,1084399,EUR,924825600,M,7,7,False,24.0,18.0,1.0,,0.0,4.0,5.0,14.0,19.0,3.0,,,86.0,50.0,6.6,20.0,0.122757,,1,,-0.23,-0.01,,8.0,1.0,1.0,6.0,7.0,,,,,2.0,2.0,1.0,1.0,0.39,1.0,1.0,3.0,,0.0725,-0.36,4.0,,,,,,1.0,3.0,,1.0,,,,,,,
14082849,home,Deportivo Alavés,Jon Guridi,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,31.0,25.0,2.0,2.0,0.0,8.0,8.0,17.0,23.0,1.0,,,77.0,43.0,6.7,10.0,0.0323281,,1,,0.04,-0.05,,2.0,,1.0,2.0,4.0,,,,,1.0,1.0,2.0,,0.14,,,2.0,,0.172,-0.21,,,,,,,,2.0,,,1.0,,,,,,
14082849,home,Deportivo Alavés,Pablo Ibáñez,pablo-ibanez-lumbreras,P. Ibáñez,M,19,179.0,350,M,1084381,EUR,883612800,M,19,19,False,34.0,31.0,2.0,1.0,0.0,11.0,12.0,20.0,22.0,2.0,,,77.0,55.0,6.7,11.0,0.0254577,,1,,0.08,-0.04,,3.0,1.0,1.0,7.0,6.0,1.0,,1.0,1.0,1.0,,2.0,,0.15,,1.0,1.0,,0.0075,-0.01,4.0,,,,,,,3.0,,1.0,,,,,,,
14082849,home,Deportivo Alavés,Carles Aleñá,carles-alena,C. Aleñá,M,10,180.0,1587,M,794937,EUR,883958400,M,10,10,False,67.0,57.0,5.0,,1.0,17.0,17.0,40.0,50.0,6.0,,,89.0,85.0,7.1,18.0,0.543139,,2,,0.45,-0.06,,8.0,,1.0,4.0,3.0,1.0,,,1.0,2.0,1.0,3.0,2.0,0.09,,1.0,2.0,,0.069,-0.25,,,,,,,3.0,,,,1.0,1.0,,,,,
