match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_outfielderBlock,stat_challengeLost,stat_shotOffTarget,stat_bigChanceCreated,stat_keyPass,captain,player_sofascoreId,stat_totalOffside,stat_bigChanceMissed,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12437885,home,Mallorca,Dominik Greif,dominik-greif,D. Greif,G,1,197,925,M,791046,EUR,860284800,G,1,1,False,24.0,14.0,18.0,8.0,0.0,8.0,11.0,6.0,13.0,9.0,2.0,2.0,90.0,32.0,6.5,10.0,0.00073565,0,-0.3113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437885,home,Mallorca,Pablo Maffeo,pablo-maffeo,P. Maffeo,D,23,173,2206,M,788216,EUR,868665600,D,23,23,False,30.0,27.0,4.0,3.0,0.0,10.0,11.0,19.0,23.0,3.0,,,90.0,64.0,7.2,13.0,0.102243,0,,4.0,2.0,1.0,3.0,9.0,2.0,1.0,1.0,6.0,1.0,6.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12437885,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,54.0,46.0,9.0,2.0,0.0,32.0,33.0,14.0,22.0,7.0,,,90.0,69.0,7.3,9.0,0.00504129,1,,1.0,,1.0,1.0,2.0,,,,10.0,,1.0,,,,,1.0,1.0,1.0,0.0471,0.5885,,,,,,,,,,,,,,,
12437885,home,Mallorca,José Copete,jose-copete,J. Copete,D,3,190,437,M,913695,EUR,939513600,D,6,6,False,56.0,43.0,7.0,1.0,0.0,37.0,43.0,6.0,14.0,5.0,,,90.0,72.0,6.8,15.0,0.00195915,1,,1.0,,1.0,1.0,3.0,,,,6.0,1.0,1.0,,,1.0,1.0,,,,0.0131,,,,1.0,2.0,,,,,,,,,,,
12437885,home,Mallorca,Johan Mojica,johan-mojica,J. Mojica,D,22,185,3950,M,344847,EUR,714355200,D,22,22,False,41.0,28.0,13.0,7.0,0.0,15.0,17.0,13.0,25.0,3.0,,,90.0,67.0,6.3,19.0,0.0116961,0,,1.0,,,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,
12437885,home,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178,430,M,826004,EUR,916099200,M,8,8,False,26.0,26.0,,,0.0,13.0,13.0,13.0,13.0,2.0,,,59.0,33.0,6.7,1.0,0.00790028,0,,,,1.0,2.0,5.0,,,,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,
12437885,home,Mallorca,Omar Mascarell,omar-mascarell,O. Mascarell,M,5,181,553,M,255999,EUR,728611200,M,5,5,False,37.0,31.0,5.0,3.0,0.0,18.0,18.0,13.0,19.0,5.0,,,90.0,50.0,7.2,7.0,0.00895245,1,,,,,2.0,2.0,,,,,6.0,1.0,1.0,1.0,1.0,,1.0,,,0.0207,,,,,,1.0,1.0,,,,,,,,,
12437885,home,Mallorca,Takuma Asano,takuma-asano,T. Asano,M,11,173,2033,M,309546,EUR,784425600,M,11,11,False,11.0,11.0,,,0.0,6.0,6.0,5.0,5.0,4.0,,,59.0,22.0,6.7,5.0,0.0643751,0,,,,,5.0,3.0,2.0,1.0,,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,
12437885,home,Mallorca,Dani Rodríguez,dani-rodriguez,D. Rodríguez,M,9,177,524,M,349526,EUR,581558400,M,14,14,False,12.0,9.0,1.0,,0.0,4.0,4.0,6.0,9.0,3.0,,,74.0,26.0,6.6,7.0,0.0235977,0,,1.0,1.0,,3.0,6.0,1.0,,,1.0,,3.0,,3.0,3.0,,2.0,,,,,,,,,,,,1.0,True,,,,,,
12437885,home,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180,979,M,110783,EUR,756518400,M,10,10,False,40.0,36.0,4.0,2.0,1.0,17.0,18.0,23.0,28.0,4.0,,,90.0,56.0,7.4,11.0,0.359531,0,,6.0,4.0,,6.0,3.0,2.0,1.0,1.0,,,,,1.0,2.0,,2.0,,,,,,,,,2.0,,1.0,5.0,,,,,,,
